tag,bin_ms,cca,krule,pair,n_cells_naive,frac_sig_naive,mean_n_sig_naive,median_cc_naive,max_cc_naive,frac_cc_ge_099_naive,median_ifi_naive,n_sig_dims_naive,n_cells_intermediate,frac_sig_intermediate,mean_n_sig_intermediate,median_cc_intermediate,max_cc_intermediate,frac_cc_ge_099_intermediate,median_ifi_intermediate,n_sig_dims_intermediate,n_cells_expert,frac_sig_expert,mean_n_sig_expert,median_cc_expert,max_cc_expert,frac_cc_ge_099_expert,median_ifi_expert,n_sig_dims_expert,delta_cc_expert_naive,delta_n_sig_expert_naive,cc_p_naive_vs0,cc_p_expert_vs0,cc_p_naive_vs_expert,ifi_p_naive_vs0,ifi_p_expert_vs0,ifi_p_naive_vs_expert,overfit_flag
landmark25_res_fix03,25,res,fix03,CA1-CA3,36,0.6111111111111112,0.8055555555555556,0.43650359002729083,0.576202443592814,0.0,-0.03409479739121288,29,36,0.6944444444444444,0.8055555555555556,0.4067459916507466,0.7190183151286921,0.0,-0.009345065585518734,29,36,0.6666666666666666,0.75,0.4161040531424172,0.6118426197099623,0.0,-0.009065884250272016,27,-0.020399536884873615,-0.05555555555555558,3.725290298461914e-09,1.4901161193847656e-08,0.2187729746579723,0.33573371544480324,0.8779177963733673,0.4217044888862306,False
landmark25_res_fix03,25,res,fix03,CA1-DG,48,0.4583333333333333,0.5208333333333334,0.4203475610698976,0.6338444967533581,0.0,-0.05205741672334281,25,48,0.6458333333333334,0.8125,0.40945419184946197,0.6970523601570927,0.0,-0.026063830764031064,39,48,0.6041666666666666,0.75,0.4218385307964331,0.5275798816308562,0.0,-0.07938913448702659,36,0.0014909697265354516,0.22916666666666663,5.960464477539063e-08,2.9103830456733704e-11,0.7749073226114355,0.05157625675201416,0.02096025293576531,0.8660765258340379,False
landmark25_res_fix03,25,res,fix03,CA1-RSC,48,0.22916666666666666,0.2708333333333333,0.40710662406834075,0.6789028557882688,0.0,0.09181948528843484,13,48,0.22916666666666666,0.22916666666666666,0.3890274549107668,0.5500722170911915,0.0,0.03015288362463413,11,48,0.25,0.25,0.36142287935665374,0.45157199841618134,0.0,-0.14921065354525692,12,-0.04568374471168701,-0.020833333333333315,0.000244140625,0.00048828125,0.2648277100467564,0.2734375,0.01220703125,0.009775828400024715,False
landmark25_res_fix03,25,res,fix03,CA1-SUB,24,0.2916666666666667,0.2916666666666667,0.40068563590665496,0.48474353015162386,0.0,0.05927595056523171,7,24,0.2916666666666667,0.4166666666666667,0.4528972227482298,0.5099488642328314,0.0,0.0694109478842658,10,24,0.4583333333333333,0.5,0.40281389947354773,0.5224068505716908,0.0,-0.05663374292866223,12,0.002128263566892774,0.20833333333333331,0.015625,0.00048828125,0.9018020163530999,0.46875,0.5693359375,0.5918075732317218,False
landmark25_res_fix03,25,res,fix03,CA1-V1,60,0.23333333333333334,0.23333333333333334,0.40460873121934404,0.4921539993902148,0.0,-0.04229529795711653,14,60,0.18333333333333332,0.18333333333333332,0.35616575884564117,0.5347503466053636,0.0,-0.18199708592823516,11,60,0.15,0.15,0.35822448887908764,0.41843525371511836,0.0,0.13767027083533376,9,-0.0463842423402564,-0.08333333333333334,0.0001220703125,0.00390625,0.08321354796087602,0.267578125,0.65234375,0.15637572175964462,False
landmark25_res_fix03,25,res,fix03,CA3-DG,24,0.4583333333333333,0.5416666666666666,0.40701340128913815,0.5506897272100031,0.0,-0.037668737067773295,13,24,0.875,1.1666666666666667,0.4272848676533685,0.7523632297200651,0.0,0.020554987476969287,28,24,0.8333333333333334,0.9166666666666666,0.42713773257309684,0.5463662311086483,0.0,0.02045988506678946,22,0.020124331283958685,0.375,0.000244140625,4.76837158203125e-07,0.48401570132552474,0.587890625,0.6101517677307129,0.5732301332745355,False
landmark25_res_fix03,25,res,fix03,RSC-SUB,24,0.25,0.25,0.3995325236855622,0.4273682824692741,0.0,-0.04471528673367968,6,24,0.375,0.4583333333333333,0.39519223953539895,0.5036244081488824,0.0,-0.081487537320054,11,24,0.375,0.5416666666666666,0.40678933143692453,0.6461699251188984,0.0,0.07266449122811776,13,0.0072568077513623375,0.29166666666666663,0.03125,0.000244140625,0.6388028895768834,0.84375,0.10986328125,0.6388028895768834,False
landmark25_res_fix03,25,res,fix03,V1-RSC,36,0.25,0.3055555555555556,0.44372127897995395,0.6638481752018185,0.0,0.1833265660096723,11,36,0.19444444444444445,0.2222222222222222,0.4310719221991648,0.678588665140007,0.0,0.11160783767180947,8,36,0.3055555555555556,0.3611111111111111,0.3956665394325275,0.6596508712896874,0.0,0.01668864874150461,13,-0.04805473954742645,0.055555555555555525,0.0009765625,0.000244140625,0.03700438758047722,0.365234375,1.0,0.3539344599024651,False
landmark25_res_fix05,25,res,fix05,CA1-CA3,36,0.75,1.1666666666666667,0.4311173232857284,0.7427633727829351,0.0,-0.021859648258645108,42,36,0.9166666666666666,1.5,0.4162081596055186,0.7228815949367813,0.0,-0.05877918411512237,54,36,0.7777777777777778,1.1111111111111112,0.4508712773644891,0.6319946628733487,0.0,-0.03158627935982707,40,0.019753954078760738,-0.05555555555555558,4.547473508864641e-13,1.8189894035458565e-12,0.12021793409924782,0.25288445331625553,0.27069234351074556,0.7559740331821937,False
landmark25_res_fix05,25,res,fix05,CA1-DG,48,0.75,1.125,0.428909198570143,0.6382675273595804,0.0,-0.00818928479614122,54,48,0.7708333333333334,1.125,0.42808030457539414,0.6456375822941719,0.0,0.0002946670447001891,54,48,0.7083333333333334,1.1041666666666667,0.44582529153315453,0.632069645943716,0.0,0.036565608980524036,53,0.016916092963011553,-0.02083333333333326,1.6256984569330967e-10,2.386484752546066e-10,0.21385127298143536,0.44605744211768084,0.4438166551373439,0.3053788146750145,False
