scope,pair,landmark,stat,contrast,n,median_delta,wilcoxon_W,p,p_fdr_pass
per_landmark,CA1-V1,1,mi_sig,expert-naive,10,-0.010015354897855266,25.0,0.845703125,False
per_landmark,CA1-V1,2,mi_sig,expert-naive,10,-0.0654529499883031,21.0,0.556640625,False
per_landmark,CA1-V1,3,mi_sig,expert-naive,10,-0.016886164335115847,23.0,0.6953125,False
per_landmark,CA1-V1,4,mi_sig,expert-naive,10,0.0028073861409103062,23.0,0.6953125,False
per_landmark,CA1-V1,5,mi_sig,expert-naive,10,-0.09645445492546328,26.0,0.921875,False
per_landmark,CA1-V1,6,mi_sig,expert-naive,10,0.10673205852768758,12.0,0.130859375,False
per_landmark,CA1-DG,1,mi_sig,expert-naive,8,-0.04600745841342796,14.0,1.0,False
per_landmark,CA1-DG,2,mi_sig,expert-naive,8,0.06029118088358032,13.0,0.8657723749926214,False
per_landmark,CA1-DG,3,mi_sig,expert-naive,8,-0.018630106542962814,16.0,0.84375,False
per_landmark,CA1-DG,4,mi_sig,expert-naive,8,-0.014455766447083518,11.0,0.6120898800892568,False
per_landmark,CA1-DG,5,mi_sig,expert-naive,8,0.043353168454542824,10.0,0.49896229860376107,False
per_landmark,CA1-DG,6,mi_sig,expert-naive,8,0.06304639613927987,14.0,0.640625,False
per_landmark,CA1-CA3,1,mi_sig,expert-naive,6,0.06127615332043482,8.0,0.6875,False
per_landmark,CA1-CA3,2,mi_sig,expert-naive,6,-0.03166536739118378,7.0,0.5625,False
per_landmark,CA1-CA3,3,mi_sig,expert-naive,6,-0.09563091606185234,4.0,0.21875,False
per_landmark,CA1-CA3,4,mi_sig,expert-naive,6,0.012109713096505798,9.0,0.84375,False
per_landmark,CA1-CA3,5,mi_sig,expert-naive,6,0.28311038997206883,0.0,0.03125,False
per_landmark,CA1-CA3,6,mi_sig,expert-naive,6,0.02030144007930436,10.0,1.0,False
per_landmark,CA1-RSC,1,mi_sig,expert-naive,8,-0.06987089372690966,14.0,0.640625,False
per_landmark,CA1-RSC,2,mi_sig,expert-naive,8,-0.05387345967615712,8.0,0.3104944343172349,False
per_landmark,CA1-RSC,3,mi_sig,expert-naive,8,-0.08019880129840493,12.0,0.4609375,False
per_landmark,CA1-RSC,4,mi_sig,expert-naive,8,-0.05267887358929495,17.0,0.9453125,False
per_landmark,CA1-RSC,5,mi_sig,expert-naive,8,0.1406943371198504,9.0,0.25,False
per_landmark,CA1-RSC,6,mi_sig,expert-naive,8,0.048004547544698004,10.0,0.49896229860376107,False
per_landmark,CA1-SUB,1,mi_sig,expert-naive,4,0.0358080536348817,3.0,0.625,False
per_landmark,CA1-SUB,2,mi_sig,expert-naive,4,0.04576992292308633,3.0,0.625,False
per_landmark,CA1-SUB,3,mi_sig,expert-naive,4,-0.11290225186496015,0.0,0.125,False
per_landmark,CA1-SUB,4,mi_sig,expert-naive,4,0.2334660528338427,1.0,0.25,False
per_landmark,CA1-SUB,5,mi_sig,expert-naive,4,0.02830188388348981,3.0,0.625,False
per_landmark,CA1-SUB,6,mi_sig,expert-naive,4,0.21383165441367516,0.0,0.125,False
per_landmark,V1-RSC,1,mi_sig,expert-naive,6,-0.1837014959279681,4.0,0.21875,False
per_landmark,V1-RSC,2,mi_sig,expert-naive,6,-0.06391438481689897,8.0,0.6875,False
per_landmark,V1-RSC,3,mi_sig,expert-naive,6,0.045775033428769596,7.0,0.5625,False
per_landmark,V1-RSC,4,mi_sig,expert-naive,6,-0.03742953152102629,8.0,0.6875,False
per_landmark,V1-RSC,5,mi_sig,expert-naive,6,0.08571812080615543,2.0,0.13801073756865956,False
per_landmark,V1-RSC,6,mi_sig,expert-naive,6,-0.009737912876249644,6.0,0.6858304344516057,False
per_landmark,RSC-SUB,1,mi_sig,expert-naive,4,-0.026557847265815934,3.0,0.625,False
per_landmark,RSC-SUB,2,mi_sig,expert-naive,4,0.0027897472817924665,4.0,0.875,False
per_landmark,RSC-SUB,3,mi_sig,expert-naive,4,0.03908007641518695,3.0,0.625,False
per_landmark,RSC-SUB,4,mi_sig,expert-naive,4,-0.03564319610540537,1.0,0.28504940740261275,False
per_landmark,RSC-SUB,5,mi_sig,expert-naive,4,0.007826794023240852,2.0,0.5929800980174267,False
per_landmark,RSC-SUB,6,mi_sig,expert-naive,4,0.012086837813079905,3.0,0.625,False
per_landmark,CA3-DG,1,mi_sig,expert-naive,4,-0.11929462971895793,3.0,0.625,False
per_landmark,CA3-DG,2,mi_sig,expert-naive,4,-0.004344736564132302,4.0,0.875,False
per_landmark,CA3-DG,3,mi_sig,expert-naive,4,0.06103844038313322,3.0,0.625,False
per_landmark,CA3-DG,4,mi_sig,expert-naive,4,-0.12112558918242308,2.0,0.375,False
per_landmark,CA3-DG,5,mi_sig,expert-naive,4,0.4731783293316817,0.0,0.10880943004054568,False
per_landmark,CA3-DG,6,mi_sig,expert-naive,4,0.10479169140802072,1.0,0.25,False
per_landmark,CA1-V1,1,mi_sig,expert-intermediate,10,0.0741467255661664,18.0,0.375,False
per_landmark,CA1-V1,2,mi_sig,expert-intermediate,10,0.10374849988061245,24.0,0.76953125,False
per_landmark,CA1-V1,3,mi_sig,expert-intermediate,10,0.05785919024037788,21.0,0.556640625,False
per_landmark,CA1-V1,4,mi_sig,expert-intermediate,10,-0.02842956869429726,27.0,1.0,False
per_landmark,CA1-V1,5,mi_sig,expert-intermediate,10,-0.005852275361794036,26.0,0.921875,False
per_landmark,CA1-V1,6,mi_sig,expert-intermediate,10,-0.009419707051259718,17.0,0.5146697234497355,False
per_landmark,CA1-DG,1,mi_sig,expert-intermediate,8,-0.01051475356269424,17.0,0.9453125,False
per_landmark,CA1-DG,2,mi_sig,expert-intermediate,8,0.06914789873956217,10.0,0.3125,False
per_landmark,CA1-DG,3,mi_sig,expert-intermediate,8,0.025340405405190586,14.0,0.640625,False
per_landmark,CA1-DG,4,mi_sig,expert-intermediate,8,0.08982279810149493,8.0,0.3104944343172349,False
per_landmark,CA1-DG,5,mi_sig,expert-intermediate,8,-0.04109614556866467,12.0,0.4609375,False
per_landmark,CA1-DG,6,mi_sig,expert-intermediate,8,-0.003861251925146421,16.0,0.84375,False
per_landmark,CA1-CA3,1,mi_sig,expert-intermediate,6,-0.20047265637903675,7.0,0.5625,False
per_landmark,CA1-CA3,2,mi_sig,expert-intermediate,6,0.050974695172219225,7.0,0.5625,False
per_landmark,CA1-CA3,3,mi_sig,expert-intermediate,6,-0.1017580644943618,3.0,0.15625,False
per_landmark,CA1-CA3,4,mi_sig,expert-intermediate,6,-0.04196436217315053,9.0,0.84375,False
per_landmark,CA1-CA3,5,mi_sig,expert-intermediate,6,0.26891310159169324,1.0,0.0625,False
per_landmark,CA1-CA3,6,mi_sig,expert-intermediate,6,0.017690794436012743,10.0,1.0,False
per_landmark,CA1-RSC,1,mi_sig,expert-intermediate,8,0.029294049462846555,17.0,0.9453125,False
per_landmark,CA1-RSC,2,mi_sig,expert-intermediate,8,-0.013858418798398518,10.0,0.49896229860376107,False
per_landmark,CA1-RSC,3,mi_sig,expert-intermediate,8,-0.10194727375602484,6.0,0.109375,False
per_landmark,CA1-RSC,4,mi_sig,expert-intermediate,8,0.008131863809724693,17.0,0.9453125,False
per_landmark,CA1-RSC,5,mi_sig,expert-intermediate,8,0.06889432254235571,6.0,0.109375,False
per_landmark,CA1-RSC,6,mi_sig,expert-intermediate,8,0.017875996294524965,13.0,0.546875,False
per_landmark,CA1-SUB,1,mi_sig,expert-intermediate,4,-0.08872063724666485,3.0,0.625,False
per_landmark,CA1-SUB,2,mi_sig,expert-intermediate,4,0.0918023402620746,0.0,0.10880943004054568,False
per_landmark,CA1-SUB,3,mi_sig,expert-intermediate,4,-0.031240628886106417,0.0,0.10880943004054568,False
per_landmark,CA1-SUB,4,mi_sig,expert-intermediate,4,0.3174640955201289,0.0,0.125,False
per_landmark,CA1-SUB,5,mi_sig,expert-intermediate,4,-0.09550446457182588,2.0,0.375,False
per_landmark,CA1-SUB,6,mi_sig,expert-intermediate,4,0.09623656431212482,3.0,0.625,False
per_landmark,V1-RSC,1,mi_sig,expert-intermediate,6,-0.006214639549437691,8.0,0.6875,False
per_landmark,V1-RSC,2,mi_sig,expert-intermediate,6,0.029963120625846905,4.0,0.34523107177184,False
per_landmark,V1-RSC,3,mi_sig,expert-intermediate,6,0.06035758781399476,10.0,1.0,False
per_landmark,V1-RSC,4,mi_sig,expert-intermediate,6,-0.012319000293693871,5.0,0.5001842570707944,False
per_landmark,V1-RSC,5,mi_sig,expert-intermediate,6,-0.05660686407133614,8.0,0.6875,False
per_landmark,V1-RSC,6,mi_sig,expert-intermediate,6,-0.009246440937520417,5.0,0.5001842570707944,False
per_landmark,RSC-SUB,1,mi_sig,expert-intermediate,4,0.03796113321480339,5.0,1.0,False
per_landmark,RSC-SUB,2,mi_sig,expert-intermediate,4,-0.07701812853815371,4.0,0.875,False
per_landmark,RSC-SUB,3,mi_sig,expert-intermediate,4,0.04966151995372137,1.0,0.28504940740261275,False
per_landmark,RSC-SUB,4,mi_sig,expert-intermediate,4,-0.029454532099204615,0.0,0.10880943004054568,False
per_landmark,RSC-SUB,5,mi_sig,expert-intermediate,4,-0.06412897452029542,1.0,0.28504940740261275,False
per_landmark,RSC-SUB,6,mi_sig,expert-intermediate,4,0.12733652064587184,0.0,0.125,False
per_landmark,CA3-DG,1,mi_sig,expert-intermediate,4,-0.09920724578624118,0.0,0.125,False
per_landmark,CA3-DG,2,mi_sig,expert-intermediate,4,-0.05742062385945899,3.0,0.625,False
per_landmark,CA3-DG,3,mi_sig,expert-intermediate,4,-0.03420007562314603,2.0,0.5929800980174267,False
per_landmark,CA3-DG,4,mi_sig,expert-intermediate,4,-0.0012307071095858657,5.0,1.0,False
per_landmark,CA3-DG,5,mi_sig,expert-intermediate,4,0.08725026168169253,1.0,0.28504940740261275,False
per_landmark,CA3-DG,6,mi_sig,expert-intermediate,4,-0.10236473316201626,3.0,0.625,False
per_landmark,CA1-V1,1,mi_sig,intermediate-naive,10,-0.11277685841512161,14.0,0.193359375,False
per_landmark,CA1-V1,2,mi_sig,intermediate-naive,10,0.024696228715024415,16.0,0.44126813332892967,False
per_landmark,CA1-V1,3,mi_sig,intermediate-naive,10,-0.07215737117996432,15.0,0.232421875,False
per_landmark,CA1-V1,4,mi_sig,intermediate-naive,10,0.03403184855140434,23.0,0.6953125,False
per_landmark,CA1-V1,5,mi_sig,intermediate-naive,10,-0.04030681760885693,24.0,0.76953125,False
per_landmark,CA1-V1,6,mi_sig,intermediate-naive,10,0.11262438099074462,11.0,0.10546875,False
