scope,pair,landmark,stat,contrast,n,median_delta,wilcoxon_W,p,p_fdr_pass
per_landmark,CA1-V1,1,mi_sig,expert-naive,10,0.025723152308184158,17.0,0.5146697234497355,False
per_landmark,CA1-V1,2,mi_sig,expert-naive,10,0.033737087938811944,8.0,0.16142946236708333,False
per_landmark,CA1-V1,3,mi_sig,expert-naive,10,-0.031110461175062377,22.0,0.9527650219907529,False
per_landmark,CA1-V1,4,mi_sig,expert-naive,10,-0.005264871224868392,16.0,0.44126813332892967,False
per_landmark,CA1-V1,5,mi_sig,expert-naive,10,0.022533411521530336,15.0,0.6744240722352938,False
per_landmark,CA1-V1,6,mi_sig,expert-naive,10,0.006575888296937567,20.0,0.7670968684102772,False
per_landmark,CA1-DG,1,mi_sig,expert-naive,8,0.0,4.0,0.34523107177184,False
per_landmark,CA1-DG,2,mi_sig,expert-naive,8,0.06717281633872633,0.0,0.027707849358079864,False
per_landmark,CA1-DG,3,mi_sig,expert-naive,8,0.038114522795178574,11.0,0.6120898800892568,False
per_landmark,CA1-DG,4,mi_sig,expert-naive,8,0.03517694997314974,12.0,0.7353166906373405,False
per_landmark,CA1-DG,5,mi_sig,expert-naive,8,-0.05173065597585812,4.0,0.09096894797535775,False
per_landmark,CA1-DG,6,mi_sig,expert-naive,8,0.0057844297070124215,3.0,0.22491588401596185,False
per_landmark,CA1-CA3,1,mi_sig,expert-naive,6,0.05237968119108464,4.0,0.34523107177184,False
per_landmark,CA1-CA3,2,mi_sig,expert-naive,6,-0.009364620390439352,9.0,0.84375,False
per_landmark,CA1-CA3,3,mi_sig,expert-naive,6,-0.002076889442984675,7.0,0.892738400944348,False
per_landmark,CA1-CA3,4,mi_sig,expert-naive,6,-0.06835806741033187,3.0,0.15625,False
per_landmark,CA1-CA3,5,mi_sig,expert-naive,6,0.04022424621475886,7.0,0.5625,False
per_landmark,CA1-CA3,6,mi_sig,expert-naive,6,0.043426985808935156,5.0,0.3125,False
per_landmark,CA1-RSC,1,mi_sig,expert-naive,8,-0.03846129569176368,11.0,0.6120898800892568,False
per_landmark,CA1-RSC,2,mi_sig,expert-naive,8,-0.027596810802330243,17.0,0.9453125,False
per_landmark,CA1-RSC,3,mi_sig,expert-naive,8,-0.00186243212581947,2.0,0.13801073756865956,False
per_landmark,CA1-RSC,4,mi_sig,expert-naive,8,0.0,4.0,0.7150006546880893,False
per_landmark,CA1-RSC,5,mi_sig,expert-naive,8,0.0,6.0,0.6858304344516057,False
per_landmark,CA1-RSC,6,mi_sig,expert-naive,8,-0.01829293142146624,5.0,0.24886387493792206,False
per_landmark,CA1-SUB,1,mi_sig,expert-naive,4,0.05265494956967455,3.0,1.0,False
per_landmark,CA1-SUB,2,mi_sig,expert-naive,4,0.016668641150880202,2.0,0.5929800980174267,False
per_landmark,CA1-SUB,3,mi_sig,expert-naive,4,-0.03051018703615299,3.0,0.625,False
per_landmark,CA1-SUB,4,mi_sig,expert-naive,4,-0.07790284862106349,4.0,0.875,False
per_landmark,CA1-SUB,5,mi_sig,expert-naive,4,-0.033620022502269906,1.0,0.28504940740261275,False
per_landmark,CA1-SUB,6,mi_sig,expert-naive,4,0.14354338221575497,0.0,0.125,False
per_landmark,V1-RSC,1,mi_sig,expert-naive,6,-0.09404809781308975,3.0,0.22491588401596185,False
per_landmark,V1-RSC,2,mi_sig,expert-naive,6,0.026387734800411657,5.0,0.5001842570707944,False
per_landmark,V1-RSC,3,mi_sig,expert-naive,6,0.031046797380090346,5.0,0.5001842570707944,False
per_landmark,V1-RSC,4,mi_sig,expert-naive,6,-0.056283246000088966,7.0,0.5625,False
per_landmark,V1-RSC,5,mi_sig,expert-naive,6,-0.01214844160790425,6.0,0.6858304344516057,False
per_landmark,V1-RSC,6,mi_sig,expert-naive,6,0.07568311884658258,1.0,0.07961580146011343,False
per_landmark,RSC-SUB,1,mi_sig,expert-naive,4,0.03904446861526253,1.0,0.28504940740261275,False
per_landmark,RSC-SUB,2,mi_sig,expert-naive,4,0.0,1.0,0.6547208460185769,False
