scope,pair,landmark,stat,contrast,n,median_delta,wilcoxon_W,p,p_fdr_pass
per_landmark,CA1-V1,1,mi_sig,expert-naive,10,-1.1203466545123528,10.0,0.1386406338132186,False
per_landmark,CA1-V1,2,mi_sig,expert-naive,10,0.08196315629704329,21.0,0.8589549227374824,False
per_landmark,CA1-V1,3,mi_sig,expert-naive,10,-0.9747663968792571,2.0,0.005859375,False
per_landmark,CA1-V1,4,mi_sig,expert-naive,10,0.07526921978489348,25.0,0.845703125,False
per_landmark,CA1-V1,5,mi_sig,expert-naive,10,-0.18630234932644085,13.0,0.26039294361048326,False
per_landmark,CA1-V1,6,mi_sig,expert-naive,10,-2.6990747384080533,10.0,0.083984375,False
per_landmark,CA1-DG,1,mi_sig,expert-naive,8,0.47405868834138876,13.0,0.546875,False
per_landmark,CA1-DG,2,mi_sig,expert-naive,8,0.0682811647628917,13.0,0.8657723749926214,False
per_landmark,CA1-DG,3,mi_sig,expert-naive,8,-0.7611175634843953,2.0,0.0234375,False
per_landmark,CA1-DG,4,mi_sig,expert-naive,8,-0.40968362687019755,14.0,0.640625,False
per_landmark,CA1-DG,5,mi_sig,expert-naive,8,-0.3139301165922497,8.0,0.3104944343172349,False
per_landmark,CA1-DG,6,mi_sig,expert-naive,8,-0.4238742415216566,10.0,0.3125,False
per_landmark,CA1-CA3,1,mi_sig,expert-naive,6,-0.325163090385749,5.0,0.3125,False
per_landmark,CA1-CA3,2,mi_sig,expert-naive,6,-0.22308541879080415,7.0,0.5625,False
per_landmark,CA1-CA3,3,mi_sig,expert-naive,6,-0.2831962394937909,7.0,0.5625,False
per_landmark,CA1-CA3,4,mi_sig,expert-naive,6,0.03498604691808416,9.0,0.84375,False
per_landmark,CA1-CA3,5,mi_sig,expert-naive,6,-0.23508142771584206,1.0,0.07961580146011343,False
per_landmark,CA1-CA3,6,mi_sig,expert-naive,6,-0.11791932458571538,6.0,0.4375,False
per_landmark,CA1-RSC,1,mi_sig,expert-naive,8,-0.06732898281823035,14.0,1.0,False
per_landmark,CA1-RSC,2,mi_sig,expert-naive,8,-0.0312360175111034,17.0,0.9453125,False
per_landmark,CA1-RSC,3,mi_sig,expert-naive,8,-0.5155847953444859,0.0,0.017960477526078766,False
per_landmark,CA1-RSC,4,mi_sig,expert-naive,8,-0.18180553043124087,8.0,0.1953125,False
per_landmark,CA1-RSC,5,mi_sig,expert-naive,8,0.09301418173269932,15.0,0.7421875,False
per_landmark,CA1-RSC,6,mi_sig,expert-naive,8,-0.16827002439240463,10.0,0.3125,False
per_landmark,CA1-SUB,1,mi_sig,expert-naive,4,0.0392133587491455,4.0,0.875,False
per_landmark,CA1-SUB,2,mi_sig,expert-naive,4,-0.26699459065710535,4.0,0.875,False
per_landmark,CA1-SUB,3,mi_sig,expert-naive,4,-0.15710175888455244,0.0,0.10880943004054568,False
per_landmark,CA1-SUB,4,mi_sig,expert-naive,4,0.15345073798143505,0.0,0.10880943004054568,False
per_landmark,CA1-SUB,5,mi_sig,expert-naive,4,-0.32434838381626885,1.0,0.25,False
per_landmark,CA1-SUB,6,mi_sig,expert-naive,4,-0.09817626148721066,4.0,0.875,False
per_landmark,V1-RSC,1,mi_sig,expert-naive,6,0.03855143388343257,7.0,0.892738400944348,False
per_landmark,V1-RSC,2,mi_sig,expert-naive,6,-0.09763078121593367,4.0,0.34523107177184,False
per_landmark,V1-RSC,3,mi_sig,expert-naive,6,-1.5299032437400433,2.0,0.09375,False
per_landmark,V1-RSC,4,mi_sig,expert-naive,6,-0.2927820978009117,3.0,0.15625,False
per_landmark,V1-RSC,5,mi_sig,expert-naive,6,-1.1147811482133365,1.0,0.07961580146011343,False
per_landmark,V1-RSC,6,mi_sig,expert-naive,6,-0.02027853657820708,7.0,0.5625,False
per_landmark,RSC-SUB,1,mi_sig,expert-naive,4,0.07052063643352906,2.0,0.5929800980174267,False
per_landmark,RSC-SUB,2,mi_sig,expert-naive,4,-0.45090939149550135,1.0,0.25,False
per_landmark,RSC-SUB,3,mi_sig,expert-naive,4,-17.64162744588371,1.0,0.25,False
per_landmark,RSC-SUB,4,mi_sig,expert-naive,4,-7.85020223681642,0.0,0.10880943004054568,False
