scope,pair,landmark,stat,contrast,n,median_delta,wilcoxon_W,p,p_fdr_pass
per_landmark,CA1-V1,1,mi_sig,expert-naive,10,0.05349843472484547,12.0,0.40081416938293446,False
per_landmark,CA1-V1,2,mi_sig,expert-naive,10,0.03637296869097577,20.0,0.7670968684102772,False
per_landmark,CA1-V1,3,mi_sig,expert-naive,10,0.004876163242152273,4.0,0.09096894797535775,False
per_landmark,CA1-V1,4,mi_sig,expert-naive,10,-0.04388908383496271,20.0,0.7670968684102772,False
per_landmark,CA1-V1,5,mi_sig,expert-naive,10,0.0,9.0,0.7531523647659145,False
per_landmark,CA1-V1,6,mi_sig,expert-naive,10,-0.05033398167644942,12.0,0.40081416938293446,False
per_landmark,CA1-DG,1,mi_sig,expert-naive,8,-0.014294680826845999,7.0,0.463071015014588,False
per_landmark,CA1-DG,2,mi_sig,expert-naive,8,-0.039864872627096024,12.0,0.7353166906373405,False
per_landmark,CA1-DG,3,mi_sig,expert-naive,8,0.0,7.0,0.892738400944348,False
per_landmark,CA1-DG,4,mi_sig,expert-naive,8,-0.006978083473462959,10.0,0.49896229860376107,False
per_landmark,CA1-DG,5,mi_sig,expert-naive,8,0.18142981606465922,5.0,0.078125,False
per_landmark,CA1-DG,6,mi_sig,expert-naive,8,-0.11649379446341174,13.0,0.546875,False
per_landmark,CA1-CA3,1,mi_sig,expert-naive,6,0.06991630980366173,9.0,0.84375,False
per_landmark,CA1-CA3,2,mi_sig,expert-naive,6,-0.05145190615007575,9.0,0.84375,False
per_landmark,CA1-CA3,3,mi_sig,expert-naive,6,0.006295192450710807,7.0,0.892738400944348,False
per_landmark,CA1-CA3,4,mi_sig,expert-naive,6,0.07311240094145496,4.0,0.34523107177184,False
per_landmark,CA1-CA3,5,mi_sig,expert-naive,6,0.04320392854639654,1.0,0.14412703481601533,False
per_landmark,CA1-CA3,6,mi_sig,expert-naive,6,0.0,3.0,1.0,False
