scope,pair,landmark,stat,contrast,n,median_delta,wilcoxon_W,p,p_fdr_pass
per_landmark,CA1-V1,1,mi_sig,expert-naive,10,0.0,3.0,0.4652088184521418,False
per_landmark,CA1-V1,2,mi_sig,expert-naive,10,0.0,10.0,0.916511907863894,False
per_landmark,CA1-V1,3,mi_sig,expert-naive,10,0.0,0.0,0.10880943004054568,False
per_landmark,CA1-V1,4,mi_sig,expert-naive,10,0.0,7.0,0.463071015014588,False
per_landmark,CA1-V1,5,mi_sig,expert-naive,10,0.0,14.0,1.0,False
per_landmark,CA1-V1,6,mi_sig,expert-naive,10,0.0,1.0,0.07961580146011343,False
per_landmark,CA1-DG,1,mi_sig,expert-naive,8,0.07075711464064618,3.0,0.22491588401596185,False
per_landmark,CA1-DG,2,mi_sig,expert-naive,8,0.0795975183619762,8.0,0.3104944343172349,False
per_landmark,CA1-DG,3,mi_sig,expert-naive,8,0.04025082980572947,7.0,0.463071015014588,False
per_landmark,CA1-DG,4,mi_sig,expert-naive,8,-0.07690712350059196,2.0,0.13801073756865956,False
per_landmark,CA1-DG,5,mi_sig,expert-naive,8,0.20268517301056727,6.0,0.109375,False
per_landmark,CA1-DG,6,mi_sig,expert-naive,8,0.03161521094616786,5.0,0.24886387493792206,False
per_landmark,CA1-CA3,1,mi_sig,expert-naive,6,-0.0047120634836004816,4.0,0.7150006546880893,False
per_landmark,CA1-CA3,2,mi_sig,expert-naive,6,-0.06736599988798,8.0,0.6875,False
per_landmark,CA1-CA3,3,mi_sig,expert-naive,6,-0.01751656896571313,1.0,0.14412703481601533,False
per_landmark,CA1-CA3,4,mi_sig,expert-naive,6,0.10972621962299267,1.0,0.07961580146011343,False
per_landmark,CA1-CA3,5,mi_sig,expert-naive,6,-0.056844265915104955,2.0,0.13801073756865956,False
per_landmark,CA1-CA3,6,mi_sig,expert-naive,6,0.18189403196668275,1.0,0.07961580146011343,False
per_landmark,CA1-RSC,1,mi_sig,expert-naive,8,0.0,0.0,0.17971249487899976,False
per_landmark,CA1-RSC,2,mi_sig,expert-naive,8,0.0,3.0,0.4652088184521418,False
per_landmark,CA1-RSC,3,mi_sig,expert-naive,8,0.0,3.0,0.22491588401596185,False
per_landmark,CA1-RSC,4,mi_sig,expert-naive,8,0.0,5.0,0.5001842570707944,False
per_landmark,CA1-RSC,5,mi_sig,expert-naive,8,0.027897556615066613,8.0,0.6001794871405538,False
per_landmark,CA1-RSC,6,mi_sig,expert-naive,8,0.0,3.0,1.0,False
per_landmark,CA1-SUB,1,mi_sig,expert-naive,4,0.07335139680212392,1.0,0.28504940740261275,False
per_landmark,CA1-SUB,2,mi_sig,expert-naive,4,-0.008775374873676425,5.0,1.0,False
per_landmark,CA1-SUB,3,mi_sig,expert-naive,4,0.09376373841446342,0.0,0.17971249487899976,False
per_landmark,CA1-SUB,4,mi_sig,expert-naive,4,0.0,1.0,0.6547208460185769,False
per_landmark,CA1-SUB,5,mi_sig,expert-naive,4,0.09223552609361708,0.0,0.17971249487899976,False
per_landmark,CA1-SUB,6,mi_sig,expert-naive,4,-0.11508467070319292,4.0,0.875,False
per_landmark,V1-RSC,1,mi_sig,expert-naive,6,0.05982800924552628,7.0,0.892738400944348,False
per_landmark,V1-RSC,2,mi_sig,expert-naive,6,0.0,3.0,1.0,False
per_landmark,V1-RSC,3,mi_sig,expert-naive,6,0.04344757204299754,5.0,0.5001842570707944,False
per_landmark,V1-RSC,4,mi_sig,expert-naive,6,-0.06399792864777842,2.0,0.27332167829229814,False
per_landmark,V1-RSC,5,mi_sig,expert-naive,6,0.14568574826910757,2.0,0.13801073756865956,False
per_landmark,V1-RSC,6,mi_sig,expert-naive,6,0.0,5.0,1.0,False
per_landmark,RSC-SUB,1,mi_sig,expert-naive,4,-0.0717673130949129,3.0,1.0,False
per_landmark,RSC-SUB,2,mi_sig,expert-naive,4,0.11389296627600415,0.0,0.125,False
per_landmark,RSC-SUB,3,mi_sig,expert-naive,4,0.0,0.0,0.31731050786291415,False
per_landmark,RSC-SUB,4,mi_sig,expert-naive,4,0.0,0.0,0.31731050786291415,False
per_landmark,RSC-SUB,5,mi_sig,expert-naive,4,0.051864584361812724,3.0,1.0,False
per_landmark,RSC-SUB,6,mi_sig,expert-naive,4,0.0,1.0,0.6547208460185769,False
per_landmark,CA3-DG,1,mi_sig,expert-naive,4,0.05825653928868798,1.0,0.28504940740261275,False
per_landmark,CA3-DG,2,mi_sig,expert-naive,4,0.16286260404100417,1.0,0.25,False
per_landmark,CA3-DG,3,mi_sig,expert-naive,4,-0.043047698180349286,5.0,1.0,False
per_landmark,CA3-DG,4,mi_sig,expert-naive,4,0.13253354150211039,3.0,0.625,False
per_landmark,CA3-DG,5,mi_sig,expert-naive,4,0.23844542289804369,0.0,0.10880943004054568,False
per_landmark,CA3-DG,6,mi_sig,expert-naive,4,0.2249139180780357,1.0,0.25,False
per_landmark,CA1-V1,1,mi_sig,expert-intermediate,10,0.0,5.0,0.5001842570707944,False
per_landmark,CA1-V1,2,mi_sig,expert-intermediate,10,0.0,6.0,0.3454475304692257,False
per_landmark,CA1-V1,3,mi_sig,expert-intermediate,10,0.0,8.0,0.6001794871405538,False
per_landmark,CA1-V1,4,mi_sig,expert-intermediate,10,0.0,9.0,0.7531523647659145,False
per_landmark,CA1-V1,5,mi_sig,expert-intermediate,10,-0.012866051069235628,9.0,0.39802471950693785,False
per_landmark,CA1-V1,6,mi_sig,expert-intermediate,10,0.0,1.0,0.07961580146011343,False
per_landmark,CA1-DG,1,mi_sig,expert-intermediate,8,0.07075711464064618,2.0,0.13801073756865956,False
per_landmark,CA1-DG,2,mi_sig,expert-intermediate,8,0.00028659332959888456,9.0,0.7531523647659145,False
per_landmark,CA1-DG,3,mi_sig,expert-intermediate,8,0.005559145673952798,13.0,0.8657723749926214,False
per_landmark,CA1-DG,4,mi_sig,expert-intermediate,8,-0.03140518138411193,4.0,0.34523107177184,False
per_landmark,CA1-DG,5,mi_sig,expert-intermediate,8,0.011729904599754745,11.0,0.6120898800892568,False
per_landmark,CA1-DG,6,mi_sig,expert-intermediate,8,0.0,8.0,0.6001794871405538,False
per_landmark,CA1-CA3,1,mi_sig,expert-intermediate,6,-0.0051799443606307255,7.0,0.892738400944348,False
per_landmark,CA1-CA3,2,mi_sig,expert-intermediate,6,-0.07203055389557811,7.0,0.5625,False
per_landmark,CA1-CA3,3,mi_sig,expert-intermediate,6,-0.016430602014277707,6.0,0.6858304344516057,False
per_landmark,CA1-CA3,4,mi_sig,expert-intermediate,6,0.06111945596246849,6.0,0.4375,False
per_landmark,CA1-CA3,5,mi_sig,expert-intermediate,6,0.02382398169337431,3.0,0.4652088184521418,False
per_landmark,CA1-CA3,6,mi_sig,expert-intermediate,6,0.1542106557259095,0.0,0.043114446783075355,False
per_landmark,CA1-RSC,1,mi_sig,expert-intermediate,8,0.0,3.0,1.0,False
per_landmark,CA1-RSC,2,mi_sig,expert-intermediate,8,-0.032361075024023696,1.0,0.07961580146011343,False
per_landmark,CA1-RSC,3,mi_sig,expert-intermediate,8,0.0,0.0,0.10880943004054568,False
per_landmark,CA1-RSC,4,mi_sig,expert-intermediate,8,0.0,3.0,1.0,False
per_landmark,CA1-RSC,5,mi_sig,expert-intermediate,8,-0.03989430387173255,9.0,0.39802471950693785,False
per_landmark,CA1-RSC,6,mi_sig,expert-intermediate,8,0.0,2.0,0.5929800980174267,False
per_landmark,CA1-SUB,1,mi_sig,expert-intermediate,4,0.07335139680212392,0.0,0.17971249487899976,False
per_landmark,CA1-SUB,2,mi_sig,expert-intermediate,4,-0.03566357607622628,3.0,1.0,False
per_landmark,CA1-SUB,3,mi_sig,expert-intermediate,4,0.025042150920417325,2.0,0.5929800980174267,False
per_landmark,CA1-SUB,4,mi_sig,expert-intermediate,4,-0.06258740332847909,0.0,0.17971249487899976,False
per_landmark,CA1-SUB,5,mi_sig,expert-intermediate,4,-0.33557264350710514,0.0,0.10880943004054568,False
per_landmark,CA1-SUB,6,mi_sig,expert-intermediate,4,0.12659567051733073,0.0,0.17971249487899976,False
per_landmark,V1-RSC,1,mi_sig,expert-intermediate,6,0.39463916737063576,0.0,0.043114446783075355,False
per_landmark,V1-RSC,2,mi_sig,expert-intermediate,6,0.0,5.0,1.0,False
per_landmark,V1-RSC,3,mi_sig,expert-intermediate,6,0.034045440664883575,0.0,0.10880943004054568,False
per_landmark,V1-RSC,4,mi_sig,expert-intermediate,6,0.013720105314518068,9.0,0.84375,False
per_landmark,V1-RSC,5,mi_sig,expert-intermediate,6,0.05555881289727283,3.0,0.4652088184521418,False
per_landmark,V1-RSC,6,mi_sig,expert-intermediate,6,0.0,1.0,0.6547208460185769,False
per_landmark,RSC-SUB,1,mi_sig,expert-intermediate,4,-0.03050736597642248,0.0,0.17971249487899976,False
per_landmark,RSC-SUB,2,mi_sig,expert-intermediate,4,0.1285840087888226,0.0,0.125,False
per_landmark,RSC-SUB,3,mi_sig,expert-intermediate,4,0.0,0.0,0.31731050786291415,False
per_landmark,RSC-SUB,4,mi_sig,expert-intermediate,4,0.0,0.0,0.31731050786291415,False
per_landmark,RSC-SUB,5,mi_sig,expert-intermediate,4,0.005560240741154215,3.0,1.0,False
per_landmark,RSC-SUB,6,mi_sig,expert-intermediate,4,0.014122742141454536,0.0,0.17971249487899976,False
per_landmark,CA3-DG,1,mi_sig,expert-intermediate,4,0.006994902199713479,3.0,1.0,False
per_landmark,CA3-DG,2,mi_sig,expert-intermediate,4,0.06670827790311344,3.0,0.625,False
per_landmark,CA3-DG,3,mi_sig,expert-intermediate,4,0.002316271335706069,5.0,1.0,False
per_landmark,CA3-DG,4,mi_sig,expert-intermediate,4,-0.016996294542127283,4.0,0.875,False
per_landmark,CA3-DG,5,mi_sig,expert-intermediate,4,0.003290655174414736,2.0,0.5929800980174267,False
per_landmark,CA3-DG,6,mi_sig,expert-intermediate,4,0.08961452327483524,0.0,0.125,False
per_landmark,CA1-V1,1,mi_sig,intermediate-naive,10,0.0,4.0,0.34523107177184,False
per_landmark,CA1-V1,2,mi_sig,intermediate-naive,10,0.0,7.0,0.463071015014588,False
per_landmark,CA1-V1,3,mi_sig,intermediate-naive,10,0.0,3.0,0.22491588401596185,False
per_landmark,CA1-V1,4,mi_sig,intermediate-naive,10,0.0,14.0,1.0,False
per_landmark,CA1-V1,5,mi_sig,intermediate-naive,10,0.05912227001668872,18.0,0.5939546753269146,False
per_landmark,CA1-V1,6,mi_sig,intermediate-naive,10,0.0,4.0,0.7150006546880893,False
per_landmark,CA1-DG,1,mi_sig,intermediate-naive,8,0.0,2.0,0.5929800980174267,False
per_landmark,CA1-DG,2,mi_sig,intermediate-naive,8,0.010242232696651109,7.0,0.463071015014588,False
per_landmark,CA1-DG,3,mi_sig,intermediate-naive,8,0.05521555005047213,6.0,0.3454475304692257,False
per_landmark,CA1-DG,4,mi_sig,intermediate-naive,8,0.0,6.0,0.3454475304692257,False
per_landmark,CA1-DG,5,mi_sig,intermediate-naive,8,0.1829139820476407,4.0,0.09096894797535775,False
per_landmark,CA1-DG,6,mi_sig,intermediate-naive,8,-0.003266656734264642,14.0,1.0,False
per_landmark,CA1-CA3,1,mi_sig,intermediate-naive,6,-0.02952273351031169,7.0,0.892738400944348,False
per_landmark,CA1-CA3,2,mi_sig,intermediate-naive,6,-0.018059406906749176,9.0,0.84375,False
per_landmark,CA1-CA3,3,mi_sig,intermediate-naive,6,-0.07367364609188773,8.0,0.6875,False
per_landmark,CA1-CA3,4,mi_sig,intermediate-naive,6,0.05831552944383231,6.0,0.6858304344516057,False
per_landmark,CA1-CA3,5,mi_sig,intermediate-naive,6,-0.04311422046905389,2.0,0.13801073756865956,False
per_landmark,CA1-CA3,6,mi_sig,intermediate-naive,6,0.0,5.0,1.0,False
per_landmark,CA1-RSC,1,mi_sig,intermediate-naive,8,0.0,0.0,0.17971249487899976,False
per_landmark,CA1-RSC,2,mi_sig,intermediate-naive,8,0.0,5.0,0.5001842570707944,False
per_landmark,CA1-RSC,3,mi_sig,intermediate-naive,8,-0.052488853946168146,1.0,0.07961580146011343,False
per_landmark,CA1-RSC,4,mi_sig,intermediate-naive,8,0.0,5.0,0.5001842570707944,False
per_landmark,CA1-RSC,5,mi_sig,intermediate-naive,8,0.17318082472992768,7.0,0.23672357063785732,False
per_landmark,CA1-RSC,6,mi_sig,intermediate-naive,8,0.0,1.0,0.28504940740261275,False
per_landmark,CA1-SUB,1,mi_sig,intermediate-naive,4,-0.03964515875361188,0.0,0.17971249487899976,False
per_landmark,CA1-SUB,2,mi_sig,intermediate-naive,4,0.0845338917236269,4.0,0.875,False
per_landmark,CA1-SUB,3,mi_sig,intermediate-naive,4,0.06018905230685747,0.0,0.17971249487899976,False
per_landmark,CA1-SUB,4,mi_sig,intermediate-naive,4,0.10061487861484134,0.0,0.17971249487899976,False
per_landmark,CA1-SUB,5,mi_sig,intermediate-naive,4,0.4278081696007222,0.0,0.10880943004054568,False
per_landmark,CA1-SUB,6,mi_sig,intermediate-naive,4,-0.22504020949534903,1.0,0.25,False
per_landmark,V1-RSC,1,mi_sig,intermediate-naive,6,-0.2649860596078696,4.0,0.34523107177184,False
per_landmark,V1-RSC,2,mi_sig,intermediate-naive,6,0.038506477433560116,4.0,0.7150006546880893,False
per_landmark,V1-RSC,3,mi_sig,intermediate-naive,6,0.0,5.0,1.0,False
per_landmark,V1-RSC,4,mi_sig,intermediate-naive,6,0.04703281474905985,6.0,0.6858304344516057,False
per_landmark,V1-RSC,5,mi_sig,intermediate-naive,6,0.0,3.0,0.4652088184521418,False
per_landmark,V1-RSC,6,mi_sig,intermediate-naive,6,0.0,5.0,1.0,False
per_landmark,RSC-SUB,1,mi_sig,intermediate-naive,4,0.01738941791563474,3.0,0.625,False
per_landmark,RSC-SUB,2,mi_sig,intermediate-naive,4,0.0,0.0,0.31731050786291415,False
per_landmark,RSC-SUB,3,mi_sig,intermediate-naive,4,0.0,0.0,0.31731050786291415,False
per_landmark,RSC-SUB,4,mi_sig,intermediate-naive,4,0.0,0.0,0.31731050786291415,False
per_landmark,RSC-SUB,5,mi_sig,intermediate-naive,4,0.06586308089310043,2.0,0.5929800980174267,False
per_landmark,RSC-SUB,6,mi_sig,intermediate-naive,4,0.0,0.0,0.31731050786291415,False
per_landmark,CA3-DG,1,mi_sig,intermediate-naive,4,0.08385485696436834,1.0,0.28504940740261275,False
per_landmark,CA3-DG,2,mi_sig,intermediate-naive,4,0.14129003404636453,4.0,0.875,False
per_landmark,CA3-DG,3,mi_sig,intermediate-naive,4,-0.04993991676178726,4.0,0.875,False
per_landmark,CA3-DG,4,mi_sig,intermediate-naive,4,0.11641409617262527,0.0,0.10880943004054568,False
per_landmark,CA3-DG,5,mi_sig,intermediate-naive,4,0.20684665998542148,0.0,0.10880943004054568,False
per_landmark,CA3-DG,6,mi_sig,intermediate-naive,4,0.05207929162486011,4.0,0.875,False
per_landmark,CA1-V1,1,ifi_weighted,expert-naive,10,0.04989554320403195,20.0,0.4921875,False
per_landmark,CA1-V1,2,ifi_weighted,expert-naive,10,-0.040213171140856825,27.0,1.0,False
per_landmark,CA1-V1,3,ifi_weighted,expert-naive,10,-0.21699636146112805,16.0,0.275390625,False
per_landmark,CA1-V1,4,ifi_weighted,expert-naive,10,-0.008780239037979407,27.0,1.0,False
per_landmark,CA1-V1,5,ifi_weighted,expert-naive,10,0.1253774691743399,23.0,0.6953125,False
per_landmark,CA1-V1,6,ifi_weighted,expert-naive,10,-0.13662740452974523,17.0,0.322265625,False
per_landmark,CA1-DG,1,ifi_weighted,expert-naive,8,-0.0324206773513209,13.0,0.546875,False
per_landmark,CA1-DG,2,ifi_weighted,expert-naive,8,0.0872803230212664,3.0,0.0390625,False
per_landmark,CA1-DG,3,ifi_weighted,expert-naive,8,0.15784939427972286,16.0,0.84375,False
per_landmark,CA1-DG,4,ifi_weighted,expert-naive,8,0.03890959043103262,17.0,0.9453125,False
per_landmark,CA1-DG,5,ifi_weighted,expert-naive,8,-0.16971111463896654,8.0,0.1953125,False
per_landmark,CA1-DG,6,ifi_weighted,expert-naive,8,-0.08945386846434125,10.0,0.3125,False
per_landmark,CA1-CA3,1,ifi_weighted,expert-naive,6,-0.1251251183548112,6.0,0.4375,False
per_landmark,CA1-CA3,2,ifi_weighted,expert-naive,6,0.10734702657062109,5.0,0.3125,False
per_landmark,CA1-CA3,3,ifi_weighted,expert-naive,6,-0.04164545664950017,1.0,0.0625,False
per_landmark,CA1-CA3,4,ifi_weighted,expert-naive,6,0.13600950983394508,1.0,0.0625,False
per_landmark,CA1-CA3,5,ifi_weighted,expert-naive,6,-0.03203335868800456,5.0,0.3125,False
per_landmark,CA1-CA3,6,ifi_weighted,expert-naive,6,-0.03902225400954979,10.0,1.0,False
per_landmark,CA1-RSC,1,ifi_weighted,expert-naive,8,0.020364517810431984,18.0,1.0,False
per_landmark,CA1-RSC,2,ifi_weighted,expert-naive,8,-0.17829453808807294,7.0,0.1484375,False
per_landmark,CA1-RSC,3,ifi_weighted,expert-naive,8,0.05977034219708906,12.0,0.4609375,False
per_landmark,CA1-RSC,4,ifi_weighted,expert-naive,8,-0.16761703333842254,8.0,0.1953125,False
per_landmark,CA1-RSC,5,ifi_weighted,expert-naive,8,-0.11993478665314161,9.0,0.25,False
per_landmark,CA1-RSC,6,ifi_weighted,expert-naive,8,0.20235947844680974,3.0,0.0390625,False
per_landmark,CA1-SUB,1,ifi_weighted,expert-naive,4,0.34942059457672947,1.0,0.25,False
per_landmark,CA1-SUB,2,ifi_weighted,expert-naive,4,-0.12256139906728677,0.0,0.125,False
per_landmark,CA1-SUB,3,ifi_weighted,expert-naive,4,0.133349403734528,3.0,0.625,False
per_landmark,CA1-SUB,4,ifi_weighted,expert-naive,4,0.21588888462933126,3.0,0.625,False
per_landmark,CA1-SUB,5,ifi_weighted,expert-naive,4,0.02055011003834046,5.0,1.0,False
per_landmark,CA1-SUB,6,ifi_weighted,expert-naive,4,0.10243225895735075,0.0,0.125,False
per_landmark,V1-RSC,1,ifi_weighted,expert-naive,6,0.16701179994558937,10.0,1.0,False
per_landmark,V1-RSC,2,ifi_weighted,expert-naive,6,-0.26986680564374177,3.0,0.15625,False
per_landmark,V1-RSC,3,ifi_weighted,expert-naive,6,-0.1434683944082434,2.0,0.09375,False
per_landmark,V1-RSC,4,ifi_weighted,expert-naive,6,-0.008064331350932763,8.0,0.6875,False
per_landmark,V1-RSC,5,ifi_weighted,expert-naive,6,0.07110718895727383,6.0,0.4375,False
per_landmark,V1-RSC,6,ifi_weighted,expert-naive,6,0.11878668121486179,5.0,0.3125,False
per_landmark,RSC-SUB,1,ifi_weighted,expert-naive,4,0.15053731784039015,1.0,0.25,False
per_landmark,RSC-SUB,2,ifi_weighted,expert-naive,4,0.1577615068682484,0.0,0.125,False
per_landmark,RSC-SUB,3,ifi_weighted,expert-naive,4,0.04797304379279395,4.0,0.875,False
per_landmark,RSC-SUB,4,ifi_weighted,expert-naive,4,-0.023660353318408055,4.0,0.875,False
per_landmark,RSC-SUB,5,ifi_weighted,expert-naive,4,-0.1305447607550836,3.0,0.625,False
per_landmark,RSC-SUB,6,ifi_weighted,expert-naive,4,0.05724490423011736,3.0,0.625,False
per_landmark,CA3-DG,1,ifi_weighted,expert-naive,4,0.19859521307899472,3.0,0.625,False
per_landmark,CA3-DG,2,ifi_weighted,expert-naive,4,-0.009826616371092639,5.0,1.0,False
per_landmark,CA3-DG,3,ifi_weighted,expert-naive,4,-0.10905811016441407,3.0,0.625,False
per_landmark,CA3-DG,4,ifi_weighted,expert-naive,4,-0.08573102413046957,3.0,0.625,False
per_landmark,CA3-DG,5,ifi_weighted,expert-naive,4,-0.13423171742652978,2.0,0.375,False
per_landmark,CA3-DG,6,ifi_weighted,expert-naive,4,0.05078030911752095,5.0,1.0,False
per_landmark,CA1-V1,1,ifi_weighted,expert-intermediate,10,-0.042440205321656696,25.0,0.845703125,False
per_landmark,CA1-V1,2,ifi_weighted,expert-intermediate,10,-0.0017747913942010585,25.0,0.845703125,False
