method,pair,stat,contrast,n_animals,n_obs,estimate,p,p_within_pair_fdr_pass,ok,reason
collapsed,CA1-V1,mi_sig,expert-naive,10,180,-0.003017541949869758,0.556640625,False,True,collapsed
collapsed,CA1-V1,mi_sig,expert-intermediate,10,180,0.012640272858867176,0.16015625,False,True,collapsed
collapsed,CA1-V1,mi_sig,intermediate-naive,10,180,-0.015657814808736934,0.16015625,False,True,collapsed
collapsed,CA1-V1,ifi_weighted,expert-naive,10,180,0.0005891454467780201,0.556640625,False,True,collapsed
collapsed,CA1-V1,ifi_weighted,expert-intermediate,10,180,0.0008483893288922274,0.921875,False,True,collapsed
collapsed,CA1-V1,ifi_weighted,intermediate-naive,10,180,0.05136455126017017,0.4921875,False,True,collapsed
lmm_randslope,CA1-V1,mi_sig,expert-naive,10,180,-0.007190031214393904,0.5622717380759996,False,True,
lmm_randslope,CA1-V1,mi_sig,expert-intermediate,10,180,0.012582458950252316,0.30952733548536726,False,True,
lmm_randslope,CA1-V1,mi_sig,intermediate-naive,10,180,-0.01977249016464622,0.11865877522332315,False,True,
lmm_randslope,CA1-V1,ifi_weighted,expert-naive,10,180,0.014781183233794876,0.5837416879250565,False,True,
lmm_randslope,CA1-V1,ifi_weighted,expert-intermediate,10,180,-0.00012148930591036888,0.9965126923273476,False,True,
lmm_randslope,CA1-V1,ifi_weighted,intermediate-naive,10,180,0.014902672539705245,0.6167694533054069,False,True,
collapsed,CA1-DG,mi_sig,expert-naive,8,144,0.005732636420054449,0.640625,False,True,collapsed
collapsed,CA1-DG,mi_sig,expert-intermediate,8,144,0.004823178823097088,0.7421875,False,True,collapsed
collapsed,CA1-DG,mi_sig,intermediate-naive,8,144,0.01625161567626464,0.9453125,False,True,collapsed
collapsed,CA1-DG,ifi_weighted,expert-naive,8,144,-0.03398084441271183,0.1484375,False,True,collapsed
collapsed,CA1-DG,ifi_weighted,expert-intermediate,8,144,-0.029112388266560468,0.0078125,True,True,collapsed
collapsed,CA1-DG,ifi_weighted,intermediate-naive,8,144,0.013041709214518377,0.3828125,False,True,collapsed
lmm_randslope,CA1-DG,mi_sig,expert-naive,8,144,0.0063548804936695855,0.7416657655272025,False,True,
lmm_randslope,CA1-DG,mi_sig,expert-intermediate,8,144,0.0045867465021882615,0.805653546238343,False,True,
lmm_randslope,CA1-DG,mi_sig,intermediate-naive,8,144,0.001768133991481324,0.9248771077234708,False,True,
lmm_randslope,CA1-DG,ifi_weighted,expert-naive,8,144,-0.0342511418532832,0.15047496604925298,False,True,
lmm_randslope,CA1-DG,ifi_weighted,expert-intermediate,8,144,-0.053030192773395705,0.019161558128606402,False,True,
lmm_randslope,CA1-DG,ifi_weighted,intermediate-naive,8,144,0.018779050920112506,0.42193422181920137,False,True,
collapsed,CA1-CA3,mi_sig,expert-naive,6,108,0.008753517945343368,0.84375,False,True,collapsed
collapsed,CA1-CA3,mi_sig,expert-intermediate,6,108,-0.055360363525920046,0.3125,False,True,collapsed
collapsed,CA1-CA3,mi_sig,intermediate-naive,6,108,0.03975982235074565,0.15625,False,True,collapsed
collapsed,CA1-CA3,ifi_weighted,expert-naive,6,108,0.058925637900500843,0.3125,False,True,collapsed
collapsed,CA1-CA3,ifi_weighted,expert-intermediate,6,108,0.010522499779000962,0.4375,False,True,collapsed
collapsed,CA1-CA3,ifi_weighted,intermediate-naive,6,108,0.02153845208135192,0.4375,False,True,collapsed
lmm_randslope,CA1-CA3,mi_sig,expert-naive,6,0,nan,nan,False,False,too_few_animals_for_random_slope
lmm_randslope,CA1-CA3,mi_sig,expert-intermediate,6,0,nan,nan,False,False,too_few_animals_for_random_slope
lmm_randslope,CA1-CA3,mi_sig,intermediate-naive,6,0,nan,nan,False,False,too_few_animals_for_random_slope
lmm_randslope,CA1-CA3,ifi_weighted,expert-naive,6,0,nan,nan,False,False,too_few_animals_for_random_slope
lmm_randslope,CA1-CA3,ifi_weighted,expert-intermediate,6,0,nan,nan,False,False,too_few_animals_for_random_slope
lmm_randslope,CA1-CA3,ifi_weighted,intermediate-naive,6,0,nan,nan,False,False,too_few_animals_for_random_slope
collapsed,CA1-RSC,mi_sig,expert-naive,8,144,0.018682520863835272,0.25,False,True,collapsed
collapsed,CA1-RSC,mi_sig,expert-intermediate,8,144,-0.0022816978814129522,0.9453125,False,True,collapsed
collapsed,CA1-RSC,mi_sig,intermediate-naive,8,144,0.002153870776692487,0.640625,False,True,collapsed
collapsed,CA1-RSC,ifi_weighted,expert-naive,8,144,-0.04405508802573197,0.3125,False,True,collapsed
collapsed,CA1-RSC,ifi_weighted,expert-intermediate,8,144,-0.07809907662125024,0.078125,False,True,collapsed
collapsed,CA1-RSC,ifi_weighted,intermediate-naive,8,144,0.039307890431125,0.3125,False,True,collapsed
lmm_randslope,CA1-RSC,mi_sig,expert-naive,8,144,0.011642296983604776,0.4935312485592722,False,True,
lmm_randslope,CA1-RSC,mi_sig,expert-intermediate,8,144,0.006401519393617662,0.7047343880531871,False,True,
lmm_randslope,CA1-RSC,mi_sig,intermediate-naive,8,144,0.005240777589987113,0.7367923143423054,False,True,
lmm_randslope,CA1-RSC,ifi_weighted,expert-naive,8,144,-0.03368338358698354,0.2988248534939546,False,True,
lmm_randslope,CA1-RSC,ifi_weighted,expert-intermediate,8,144,-0.0914773026661857,0.005940918432977992,True,True,
lmm_randslope,CA1-RSC,ifi_weighted,intermediate-naive,8,144,0.05779391907920215,0.10876109516311862,False,True,
collapsed,CA1-SUB,mi_sig,expert-naive,4,72,0.041849475610236234,0.25,False,True,collapsed
collapsed,CA1-SUB,mi_sig,expert-intermediate,4,72,0.0038790794944635644,1.0,False,True,collapsed
collapsed,CA1-SUB,mi_sig,intermediate-naive,4,72,0.029787521248693404,0.625,False,True,collapsed
collapsed,CA1-SUB,ifi_weighted,expert-naive,4,72,0.06358884587424002,0.125,False,True,collapsed
collapsed,CA1-SUB,ifi_weighted,expert-intermediate,4,72,-0.0058774451529966035,0.875,False,True,collapsed
collapsed,CA1-SUB,ifi_weighted,intermediate-naive,4,72,0.0756233622789213,0.125,False,True,collapsed
lmm_randslope,CA1-SUB,mi_sig,expert-naive,4,0,nan,nan,False,False,too_few_animals_for_random_slope
lmm_randslope,CA1-SUB,mi_sig,expert-intermediate,4,0,nan,nan,False,False,too_few_animals_for_random_slope
lmm_randslope,CA1-SUB,mi_sig,intermediate-naive,4,0,nan,nan,False,False,too_few_animals_for_random_slope
lmm_randslope,CA1-SUB,ifi_weighted,expert-naive,4,0,nan,nan,False,False,too_few_animals_for_random_slope
lmm_randslope,CA1-SUB,ifi_weighted,expert-intermediate,4,0,nan,nan,False,False,too_few_animals_for_random_slope
lmm_randslope,CA1-SUB,ifi_weighted,intermediate-naive,4,0,nan,nan,False,False,too_few_animals_for_random_slope
collapsed,V1-RSC,mi_sig,expert-naive,6,108,0.009951177699958003,1.0,False,True,collapsed
collapsed,V1-RSC,mi_sig,expert-intermediate,6,108,0.023182392181860224,0.15625,False,True,collapsed
collapsed,V1-RSC,mi_sig,intermediate-naive,6,108,-0.03640922680148794,0.15625,False,True,collapsed
collapsed,V1-RSC,ifi_weighted,expert-naive,6,108,-0.03104615546546312,0.4375,False,True,collapsed
collapsed,V1-RSC,ifi_weighted,expert-intermediate,6,108,-0.002810085725563161,1.0,False,True,collapsed
collapsed,V1-RSC,ifi_weighted,intermediate-naive,6,108,-0.024272364898785627,0.3125,False,True,collapsed
lmm_randslope,V1-RSC,mi_sig,expert-naive,6,0,nan,nan,False,False,too_few_animals_for_random_slope
lmm_randslope,V1-RSC,mi_sig,expert-intermediate,6,0,nan,nan,False,False,too_few_animals_for_random_slope
lmm_randslope,V1-RSC,mi_sig,intermediate-naive,6,0,nan,nan,False,False,too_few_animals_for_random_slope
lmm_randslope,V1-RSC,ifi_weighted,expert-naive,6,0,nan,nan,False,False,too_few_animals_for_random_slope
lmm_randslope,V1-RSC,ifi_weighted,expert-intermediate,6,0,nan,nan,False,False,too_few_animals_for_random_slope
lmm_randslope,V1-RSC,ifi_weighted,intermediate-naive,6,0,nan,nan,False,False,too_few_animals_for_random_slope
collapsed,RSC-SUB,mi_sig,expert-naive,4,72,0.04500676865911462,0.125,False,True,collapsed
collapsed,RSC-SUB,mi_sig,expert-intermediate,4,72,0.05622747425078144,0.125,False,True,collapsed
collapsed,RSC-SUB,mi_sig,intermediate-naive,4,72,8.181874486880986e-05,1.0,False,True,collapsed
collapsed,RSC-SUB,ifi_weighted,expert-naive,4,72,0.004092835813563081,0.875,False,True,collapsed
collapsed,RSC-SUB,ifi_weighted,expert-intermediate,4,72,0.045429966114111694,0.625,False,True,collapsed
collapsed,RSC-SUB,ifi_weighted,intermediate-naive,4,72,-0.01641164149236589,0.625,False,True,collapsed
lmm_randslope,RSC-SUB,mi_sig,expert-naive,4,0,nan,nan,False,False,too_few_animals_for_random_slope
lmm_randslope,RSC-SUB,mi_sig,expert-intermediate,4,0,nan,nan,False,False,too_few_animals_for_random_slope
lmm_randslope,RSC-SUB,mi_sig,intermediate-naive,4,0,nan,nan,False,False,too_few_animals_for_random_slope
lmm_randslope,RSC-SUB,ifi_weighted,expert-naive,4,0,nan,nan,False,False,too_few_animals_for_random_slope
lmm_randslope,RSC-SUB,ifi_weighted,expert-intermediate,4,0,nan,nan,False,False,too_few_animals_for_random_slope
lmm_randslope,RSC-SUB,ifi_weighted,intermediate-naive,4,0,nan,nan,False,False,too_few_animals_for_random_slope
collapsed,CA3-DG,mi_sig,expert-naive,4,72,0.036538203173378865,0.25,False,True,collapsed
collapsed,CA3-DG,mi_sig,expert-intermediate,4,72,0.00048173755479875846,1.0,False,True,collapsed
collapsed,CA3-DG,mi_sig,intermediate-naive,4,72,0.05881828635738178,0.125,False,True,collapsed
collapsed,CA3-DG,ifi_weighted,expert-naive,4,72,-0.04862578620573092,0.375,False,True,collapsed
collapsed,CA3-DG,ifi_weighted,expert-intermediate,4,72,-0.018476252757926626,0.875,False,True,collapsed
collapsed,CA3-DG,ifi_weighted,intermediate-naive,4,72,-0.020745856067306504,0.375,False,True,collapsed
lmm_randslope,CA3-DG,mi_sig,expert-naive,4,0,nan,nan,False,False,too_few_animals_for_random_slope
lmm_randslope,CA3-DG,mi_sig,expert-intermediate,4,0,nan,nan,False,False,too_few_animals_for_random_slope
lmm_randslope,CA3-DG,mi_sig,intermediate-naive,4,0,nan,nan,False,False,too_few_animals_for_random_slope
lmm_randslope,CA3-DG,ifi_weighted,expert-naive,4,0,nan,nan,False,False,too_few_animals_for_random_slope
lmm_randslope,CA3-DG,ifi_weighted,expert-intermediate,4,0,nan,nan,False,False,too_few_animals_for_random_slope
lmm_randslope,CA3-DG,ifi_weighted,intermediate-naive,4,0,nan,nan,False,False,too_few_animals_for_random_slope
