method,pair,stat,contrast,n_animals,n_obs,estimate,p,p_within_pair_fdr_pass,ok,reason
collapsed,CA1-V1,mi_sig,expert-naive,10,180,-0.07397000008267302,0.4921875,False,True,collapsed
collapsed,CA1-V1,mi_sig,expert-intermediate,10,180,0.06381991050459723,0.232421875,False,True,collapsed
collapsed,CA1-V1,mi_sig,intermediate-naive,10,180,-0.31516147786321647,0.10546875,False,True,collapsed
collapsed,CA1-V1,ifi_weighted,expert-naive,10,180,0.0014648255896584014,1.0,False,True,collapsed
collapsed,CA1-V1,ifi_weighted,expert-intermediate,10,180,-0.02166577479757861,0.431640625,False,True,collapsed
collapsed,CA1-V1,ifi_weighted,intermediate-naive,10,180,0.0012546436165950642,0.431640625,False,True,collapsed
lmm_randslope,CA1-V1,mi_sig,expert-naive,10,180,-0.9501653268423907,0.38654958549603713,False,True,
lmm_randslope,CA1-V1,mi_sig,expert-intermediate,10,180,0.4578714467992874,0.6772410486249734,False,True,
lmm_randslope,CA1-V1,mi_sig,intermediate-naive,10,180,-1.4080367736416781,0.2338656864175752,False,True,
lmm_randslope,CA1-V1,ifi_weighted,expert-naive,10,180,-0.004374715235041732,0.8131589371593738,False,True,
lmm_randslope,CA1-V1,ifi_weighted,expert-intermediate,10,180,-0.019834415340022116,0.33202125505697544,False,True,
lmm_randslope,CA1-V1,ifi_weighted,intermediate-naive,10,180,0.015459700104980382,0.4322728528721401,False,True,
collapsed,CA1-DG,mi_sig,expert-naive,8,144,-0.04339697878304444,0.1484375,False,True,collapsed
collapsed,CA1-DG,mi_sig,expert-intermediate,8,144,-0.07170336038224787,0.3125,False,True,collapsed
collapsed,CA1-DG,mi_sig,intermediate-naive,8,144,-0.09259620562919524,0.4609375,False,True,collapsed
collapsed,CA1-DG,ifi_weighted,expert-naive,8,144,0.012716831835444902,0.7421875,False,True,collapsed
collapsed,CA1-DG,ifi_weighted,expert-intermediate,8,144,0.011336765942331344,0.640625,False,True,collapsed
collapsed,CA1-DG,ifi_weighted,intermediate-naive,8,144,-0.0025629465815595175,0.84375,False,True,collapsed
lmm_randslope,CA1-DG,mi_sig,expert-naive,8,144,-0.9035132158167962,0.24041251031445843,False,True,
lmm_randslope,CA1-DG,mi_sig,expert-intermediate,8,144,-0.1255281006636365,0.8283246137952194,False,True,
lmm_randslope,CA1-DG,mi_sig,intermediate-naive,8,144,-0.7779851151531597,0.30569341462916466,False,True,
lmm_randslope,CA1-DG,ifi_weighted,expert-naive,8,144,0.00893631818122784,0.6988411656603055,False,True,
lmm_randslope,CA1-DG,ifi_weighted,expert-intermediate,8,144,-0.0001838423764274691,0.9948109964560062,False,True,
lmm_randslope,CA1-DG,ifi_weighted,intermediate-naive,8,144,0.00912016055765531,0.6640438359870244,False,True,
