method,pair,stat,contrast,n_animals,n_obs,estimate,p,p_within_pair_fdr_pass,ok,reason
collapsed,CA1-V1,mi_sig,expert-naive,10,180,-0.012845981415214444,0.625,False,True,collapsed
collapsed,CA1-V1,mi_sig,expert-intermediate,10,180,-0.002304731368228621,0.6953125,False,True,collapsed
collapsed,CA1-V1,mi_sig,intermediate-naive,10,180,-0.0009324874695501037,0.845703125,False,True,collapsed
collapsed,CA1-V1,ifi_weighted,expert-naive,10,180,0.03203179185289479,0.4921875,False,True,collapsed
collapsed,CA1-V1,ifi_weighted,expert-intermediate,10,180,-0.02570895559617615,0.556640625,False,True,collapsed
collapsed,CA1-V1,ifi_weighted,intermediate-naive,10,180,0.054629556714315304,0.375,False,True,collapsed
lmm_randslope,CA1-V1,mi_sig,expert-naive,10,180,-0.007307044167961318,0.40277926130835306,False,True,
lmm_randslope,CA1-V1,mi_sig,expert-intermediate,10,180,-0.002325019677780424,0.7536279230427914,False,True,
lmm_randslope,CA1-V1,mi_sig,intermediate-naive,10,180,-0.004982024490180894,0.5504693556884168,False,True,
lmm_randslope,CA1-V1,ifi_weighted,expert-naive,10,180,0.019611087727945783,0.5427178994249684,False,True,
lmm_randslope,CA1-V1,ifi_weighted,expert-intermediate,10,180,-0.016833425152747033,0.6217951152099523,False,True,
lmm_randslope,CA1-V1,ifi_weighted,intermediate-naive,10,180,0.036444512880692816,0.3490356765361362,False,True,
collapsed,CA1-DG,mi_sig,expert-naive,8,144,0.03470387845777254,0.078125,False,True,collapsed
collapsed,CA1-DG,mi_sig,expert-intermediate,8,144,-0.013157701685523934,0.546875,False,True,collapsed
collapsed,CA1-DG,mi_sig,intermediate-naive,8,144,0.025406244828292197,0.0078125,True,True,collapsed
collapsed,CA1-DG,ifi_weighted,expert-naive,8,144,-0.03061636387226603,0.3828125,False,True,collapsed
collapsed,CA1-DG,ifi_weighted,expert-intermediate,8,144,-0.0576654498925966,0.3828125,False,True,collapsed
collapsed,CA1-DG,ifi_weighted,intermediate-naive,8,144,-0.02640305247860922,0.7421875,False,True,collapsed
lmm_randslope,CA1-DG,mi_sig,expert-naive,8,144,0.0279072303255088,0.09954587935654381,False,True,
lmm_randslope,CA1-DG,mi_sig,expert-intermediate,8,144,-0.006926763570269265,0.6668311189560872,False,True,
lmm_randslope,CA1-DG,mi_sig,intermediate-naive,8,144,0.03483399389577806,0.040467625545108875,False,True,
lmm_randslope,CA1-DG,ifi_weighted,expert-naive,8,144,-0.03354968024598494,0.25523300424104944,False,True,
lmm_randslope,CA1-DG,ifi_weighted,expert-intermediate,8,144,-0.042728900678735526,0.23498982535226676,False,True,
lmm_randslope,CA1-DG,ifi_weighted,intermediate-naive,8,144,0.009179220432750589,0.7535000798604348,False,True,
collapsed,CA1-CA3,mi_sig,expert-naive,6,108,0.005931916689491092,0.5625,False,True,collapsed
collapsed,CA1-CA3,mi_sig,expert-intermediate,6,108,-0.012775967472261132,0.15625,False,True,collapsed
collapsed,CA1-CA3,mi_sig,intermediate-naive,6,108,0.03240089016077279,0.15625,False,True,collapsed
collapsed,CA1-CA3,ifi_weighted,expert-naive,6,108,-0.0501693172875063,0.4375,False,True,collapsed
collapsed,CA1-CA3,ifi_weighted,expert-intermediate,6,108,-0.09107880906872404,0.5625,False,True,collapsed
collapsed,CA1-CA3,ifi_weighted,intermediate-naive,6,108,0.004768674912611827,1.0,False,True,collapsed
lmm_randslope,CA1-CA3,mi_sig,expert-naive,6,0,nan,nan,False,False,too_few_animals_for_random_slope
lmm_randslope,CA1-CA3,mi_sig,expert-intermediate,6,0,nan,nan,False,False,too_few_animals_for_random_slope
lmm_randslope,CA1-CA3,mi_sig,intermediate-naive,6,0,nan,nan,False,False,too_few_animals_for_random_slope
lmm_randslope,CA1-CA3,ifi_weighted,expert-naive,6,0,nan,nan,False,False,too_few_animals_for_random_slope
lmm_randslope,CA1-CA3,ifi_weighted,expert-intermediate,6,0,nan,nan,False,False,too_few_animals_for_random_slope
lmm_randslope,CA1-CA3,ifi_weighted,intermediate-naive,6,0,nan,nan,False,False,too_few_animals_for_random_slope
collapsed,CA1-RSC,mi_sig,expert-naive,8,144,0.013341950981714375,0.3104944343172349,False,True,collapsed
collapsed,CA1-RSC,mi_sig,expert-intermediate,8,144,0.004832665014847463,0.49896229860376107,False,True,collapsed
collapsed,CA1-RSC,mi_sig,intermediate-naive,8,144,0.009685830249803417,0.4609375,False,True,collapsed
collapsed,CA1-RSC,ifi_weighted,expert-naive,8,144,-0.03421606562110624,0.3828125,False,True,collapsed
collapsed,CA1-RSC,ifi_weighted,expert-intermediate,8,144,-0.15565835215393686,0.0390625,False,True,collapsed
collapsed,CA1-RSC,ifi_weighted,intermediate-naive,8,144,0.07379852276228642,0.0390625,False,True,collapsed
lmm_randslope,CA1-RSC,mi_sig,expert-naive,8,144,0.01698718405463041,0.23137560254541334,False,True,
lmm_randslope,CA1-RSC,mi_sig,expert-intermediate,8,144,0.007211049563613693,0.48424273463442646,False,True,
lmm_randslope,CA1-RSC,mi_sig,intermediate-naive,8,144,0.009776134491016717,0.3629896620508972,False,True,
lmm_randslope,CA1-RSC,ifi_weighted,expert-naive,8,144,-0.030452928955326017,0.4461297238618436,False,True,
lmm_randslope,CA1-RSC,ifi_weighted,expert-intermediate,8,144,-0.1045310706510517,0.0037830754136473255,True,True,
lmm_randslope,CA1-RSC,ifi_weighted,intermediate-naive,8,144,0.07407814169572569,0.04049283417769233,False,True,
collapsed,CA1-SUB,mi_sig,expert-naive,4,72,0.05402432411051401,0.125,False,True,collapsed
collapsed,CA1-SUB,mi_sig,expert-intermediate,4,72,0.022621433815127094,0.375,False,True,collapsed
collapsed,CA1-SUB,mi_sig,intermediate-naive,4,72,0.04153407557307716,0.25,False,True,collapsed
collapsed,CA1-SUB,ifi_weighted,expert-naive,4,72,0.028083451713831926,0.25,False,True,collapsed
collapsed,CA1-SUB,ifi_weighted,expert-intermediate,4,72,-0.04421956250715307,0.875,False,True,collapsed
collapsed,CA1-SUB,ifi_weighted,intermediate-naive,4,72,0.05639869757010407,0.375,False,True,collapsed
lmm_randslope,CA1-SUB,mi_sig,expert-naive,4,0,nan,nan,False,False,too_few_animals_for_random_slope
lmm_randslope,CA1-SUB,mi_sig,expert-intermediate,4,0,nan,nan,False,False,too_few_animals_for_random_slope
lmm_randslope,CA1-SUB,mi_sig,intermediate-naive,4,0,nan,nan,False,False,too_few_animals_for_random_slope
