method,pair,stat,contrast,n_animals,n_obs,estimate,p,p_within_pair_fdr_pass,ok,reason
collapsed,CA1-V1,mi_sig,expert-naive,10,180,0.0215018023665502,0.625,False,True,collapsed
collapsed,CA1-V1,mi_sig,expert-intermediate,10,180,0.012558163946095352,0.556640625,False,True,collapsed
collapsed,CA1-V1,mi_sig,intermediate-naive,10,180,0.002028476309547717,0.921875,False,True,collapsed
collapsed,CA1-V1,ifi_weighted,expert-naive,10,180,-0.03183326457985296,0.10546875,False,True,collapsed
collapsed,CA1-V1,ifi_weighted,expert-intermediate,10,180,-0.039843182828849466,0.064453125,False,True,collapsed
collapsed,CA1-V1,ifi_weighted,intermediate-naive,10,180,0.009817502045015004,0.76953125,False,True,collapsed
lmm_randslope,CA1-V1,mi_sig,expert-naive,10,180,0.008969766741017293,0.5117687108354583,False,True,
lmm_randslope,CA1-V1,mi_sig,expert-intermediate,10,180,0.009462932707879719,0.5098626040447038,False,True,
lmm_randslope,CA1-V1,mi_sig,intermediate-naive,10,180,-0.0004931659668624251,0.9677909218896082,False,True,
lmm_randslope,CA1-V1,ifi_weighted,expert-naive,10,180,-0.0280605143604127,0.11214529012945339,False,True,
lmm_randslope,CA1-V1,ifi_weighted,expert-intermediate,10,180,-0.0417161185068491,0.01975537317711666,False,True,
lmm_randslope,CA1-V1,ifi_weighted,intermediate-naive,10,180,0.013655604146436398,0.46574440934995776,False,True,
collapsed,CA1-DG,mi_sig,expert-naive,8,144,0.02528055223127354,0.23672357063785732,False,True,collapsed
collapsed,CA1-DG,mi_sig,expert-intermediate,8,144,-0.050028742360613124,0.3125,False,True,collapsed
collapsed,CA1-DG,mi_sig,intermediate-naive,8,144,0.04235188594212602,0.109375,False,True,collapsed
collapsed,CA1-DG,ifi_weighted,expert-naive,8,144,0.0021106951375482325,0.84375,False,True,collapsed
collapsed,CA1-DG,ifi_weighted,expert-intermediate,8,144,-0.0009139958890486475,0.84375,False,True,collapsed
collapsed,CA1-DG,ifi_weighted,intermediate-naive,8,144,0.0029023764832330178,1.0,False,True,collapsed
lmm_randslope,CA1-DG,mi_sig,expert-naive,8,144,0.024029471662630125,0.25012851302683226,False,True,
lmm_randslope,CA1-DG,mi_sig,expert-intermediate,8,144,-0.034254523461356934,0.20435420570860363,False,True,
lmm_randslope,CA1-DG,mi_sig,intermediate-naive,8,144,0.05828399512398706,0.03230325736377294,False,True,
