method,pair,stat,contrast,n_animals,n_obs,estimate,p,p_within_pair_fdr_pass,ok,reason
collapsed,CA1-V1,mi_sig,expert-naive,10,180,-0.011194222672044996,0.1730709208049953,False,True,collapsed
collapsed,CA1-V1,mi_sig,expert-intermediate,10,180,-0.02132441090880761,0.0687035743228782,False,True,collapsed
collapsed,CA1-V1,mi_sig,intermediate-naive,10,180,0.0,1.0,False,True,collapsed
collapsed,CA1-V1,ifi_weighted,expert-naive,10,180,0.06325610011882368,0.625,False,True,collapsed
collapsed,CA1-V1,ifi_weighted,expert-intermediate,10,180,0.11127662421972531,0.16015625,False,True,collapsed
collapsed,CA1-V1,ifi_weighted,intermediate-naive,10,180,-0.04470647737950676,0.375,False,True,collapsed
lmm_randslope,CA1-V1,mi_sig,expert-naive,10,180,-0.013537105733674748,0.1973368999523638,False,True,
lmm_randslope,CA1-V1,mi_sig,expert-intermediate,10,180,-0.013513074567024578,0.20884960831525579,False,True,
lmm_randslope,CA1-V1,mi_sig,intermediate-naive,10,180,-2.403116665017083e-05,0.9983647292223474,False,True,
lmm_randslope,CA1-V1,ifi_weighted,expert-naive,10,180,0.04415369361014747,0.49718064943124574,False,True,
lmm_randslope,CA1-V1,ifi_weighted,expert-intermediate,10,180,0.08235403797265856,0.14651144705611968,False,True,
lmm_randslope,CA1-V1,ifi_weighted,intermediate-naive,10,180,-0.03820034436251109,0.5570313865288377,False,True,
collapsed,CA1-DG,mi_sig,expert-naive,8,144,0.04858092550463838,0.0078125,True,True,collapsed
collapsed,CA1-DG,mi_sig,expert-intermediate,8,144,0.02577694658377941,0.1484375,False,True,collapsed
collapsed,CA1-DG,mi_sig,intermediate-naive,8,144,0.013665888839410976,0.12819017434510785,False,True,collapsed
collapsed,CA1-DG,ifi_weighted,expert-naive,8,144,-0.027484849026915243,0.546875,False,True,collapsed
collapsed,CA1-DG,ifi_weighted,expert-intermediate,8,144,-0.005950205768892587,0.9453125,False,True,collapsed
collapsed,CA1-DG,ifi_weighted,intermediate-naive,8,144,-0.0634898047951561,0.4609375,False,True,collapsed
lmm_randslope,CA1-DG,mi_sig,expert-naive,8,144,0.060456826104088944,0.002951348467715667,True,True,
lmm_randslope,CA1-DG,mi_sig,expert-intermediate,8,144,0.0243807811466071,0.1954089021182337,False,True,
lmm_randslope,CA1-DG,mi_sig,intermediate-naive,8,144,0.036076044957481845,0.14072342605131352,False,True,
lmm_randslope,CA1-DG,ifi_weighted,expert-naive,8,144,-0.03232939813296791,0.5805065197257525,False,True,
lmm_randslope,CA1-DG,ifi_weighted,expert-intermediate,8,144,0.006851946479523162,0.9054563047359323,False,True,
