method,pair,stat,contrast,n_animals,n_obs,estimate,p,p_within_pair_fdr_pass,ok,reason
collapsed,CA1-V1,mi_sig,expert-naive,10,180,-0.015814133808576332,0.921875,False,True,collapsed
collapsed,CA1-V1,mi_sig,expert-intermediate,10,180,-0.006569616933086529,0.7670968684102772,False,True,collapsed
collapsed,CA1-V1,mi_sig,intermediate-naive,10,180,0.006316598107358292,1.0,False,True,collapsed
collapsed,CA1-V1,ifi_weighted,expert-naive,10,180,0.01771894208720671,0.6953125,False,True,collapsed
collapsed,CA1-V1,ifi_weighted,expert-intermediate,10,180,0.030378121997630868,0.375,False,True,collapsed
collapsed,CA1-V1,ifi_weighted,intermediate-naive,10,180,-0.038615941708862914,0.375,False,True,collapsed
lmm_randslope,CA1-V1,mi_sig,expert-naive,10,180,-0.004756953293858375,0.7985844736575171,False,True,
lmm_randslope,CA1-V1,mi_sig,expert-intermediate,10,180,-0.006266668450644234,0.730622216319958,False,True,
lmm_randslope,CA1-V1,mi_sig,intermediate-naive,10,180,0.0015097151567858597,0.9362028306326877,False,True,
lmm_randslope,CA1-V1,ifi_weighted,expert-naive,10,180,0.0031261594590500093,0.9405297428967347,False,True,
lmm_randslope,CA1-V1,ifi_weighted,expert-intermediate,10,180,0.02556911852667461,0.509775786914141,False,True,
lmm_randslope,CA1-V1,ifi_weighted,intermediate-naive,10,180,-0.0224429590676246,0.5858711165600294,False,True,
collapsed,CA1-DG,mi_sig,expert-naive,8,144,0.018057382411828048,0.4609375,False,True,collapsed
collapsed,CA1-DG,mi_sig,expert-intermediate,8,144,0.010446047788892278,0.84375,False,True,collapsed
collapsed,CA1-DG,mi_sig,intermediate-naive,8,144,0.007229164379798557,0.4609375,False,True,collapsed
collapsed,CA1-DG,ifi_weighted,expert-naive,8,144,-0.0144990067158839,0.1484375,False,True,collapsed
collapsed,CA1-DG,ifi_weighted,expert-intermediate,8,144,-0.062468941052837776,0.1953125,False,True,collapsed
collapsed,CA1-DG,ifi_weighted,intermediate-naive,8,144,0.03776962967293071,0.3125,False,True,collapsed
lmm_randslope,CA1-DG,mi_sig,expert-naive,8,144,0.018297122631070504,0.4284890096829246,False,True,
lmm_randslope,CA1-DG,mi_sig,expert-intermediate,8,144,0.007155454727485808,0.775728875618879,False,True,
lmm_randslope,CA1-DG,mi_sig,intermediate-naive,8,144,0.011141667903584696,0.63218655828774,False,True,
lmm_randslope,CA1-DG,ifi_weighted,expert-naive,8,144,-0.023712172896856,0.5587280730528008,False,True,
lmm_randslope,CA1-DG,ifi_weighted,expert-intermediate,8,144,-0.05857822456597246,0.17333693203895395,False,True,
lmm_randslope,CA1-DG,ifi_weighted,intermediate-naive,8,144,0.034866051669116466,0.4345680358901731,False,True,
collapsed,CA1-CA3,mi_sig,expert-naive,6,108,0.026523105545792566,0.21875,False,True,collapsed
collapsed,CA1-CA3,mi_sig,expert-intermediate,6,108,-0.011698285331226937,0.21875,False,True,collapsed
collapsed,CA1-CA3,mi_sig,intermediate-naive,6,108,0.02624588204052565,0.0625,False,True,collapsed
collapsed,CA1-CA3,ifi_weighted,expert-naive,6,108,-0.05380093113951117,0.5625,False,True,collapsed
collapsed,CA1-CA3,ifi_weighted,expert-intermediate,6,108,-0.04635127282961509,0.3125,False,True,collapsed
collapsed,CA1-CA3,ifi_weighted,intermediate-naive,6,108,-0.010459074884738843,1.0,False,True,collapsed
lmm_randslope,CA1-CA3,mi_sig,expert-naive,6,0,nan,nan,False,False,too_few_animals_for_random_slope
lmm_randslope,CA1-CA3,mi_sig,expert-intermediate,6,0,nan,nan,False,False,too_few_animals_for_random_slope
lmm_randslope,CA1-CA3,mi_sig,intermediate-naive,6,0,nan,nan,False,False,too_few_animals_for_random_slope
lmm_randslope,CA1-CA3,ifi_weighted,expert-naive,6,0,nan,nan,False,False,too_few_animals_for_random_slope
lmm_randslope,CA1-CA3,ifi_weighted,expert-intermediate,6,0,nan,nan,False,False,too_few_animals_for_random_slope
lmm_randslope,CA1-CA3,ifi_weighted,intermediate-naive,6,0,nan,nan,False,False,too_few_animals_for_random_slope
collapsed,CA1-RSC,mi_sig,expert-naive,8,144,0.015698235140713907,0.39802471950693785,False,True,collapsed
collapsed,CA1-RSC,mi_sig,expert-intermediate,8,144,-0.006159558282820145,0.7421875,False,True,collapsed
collapsed,CA1-RSC,mi_sig,intermediate-naive,8,144,0.03709036464195877,0.49896229860376107,False,True,collapsed
collapsed,CA1-RSC,ifi_weighted,expert-naive,8,144,-0.004968537843172794,0.84375,False,True,collapsed
collapsed,CA1-RSC,ifi_weighted,expert-intermediate,8,144,-0.09962151416148878,0.015625,True,True,collapsed
collapsed,CA1-RSC,ifi_weighted,intermediate-naive,8,144,0.1314474806319848,0.0546875,False,True,collapsed
lmm_randslope,CA1-RSC,mi_sig,expert-naive,8,144,0.011997529777624227,0.46875805771182155,False,True,
lmm_randslope,CA1-RSC,mi_sig,expert-intermediate,8,144,-0.006103532470901269,0.6980458671666074,False,True,
lmm_randslope,CA1-RSC,mi_sig,intermediate-naive,8,144,0.018101062248525496,0.3208831787361892,False,True,
lmm_randslope,CA1-RSC,ifi_weighted,expert-naive,8,144,-0.009808621354821067,0.8138398174179189,False,True,
lmm_randslope,CA1-RSC,ifi_weighted,expert-intermediate,8,144,-0.10691727063986799,0.01673168462510567,True,True,
lmm_randslope,CA1-RSC,ifi_weighted,intermediate-naive,8,144,0.09710864928504692,0.027475601175721055,True,True,
collapsed,CA1-SUB,mi_sig,expert-naive,4,72,0.06317439746422178,0.28504940740261275,False,True,collapsed
collapsed,CA1-SUB,mi_sig,expert-intermediate,4,72,0.04048237544453,0.375,False,True,collapsed
collapsed,CA1-SUB,mi_sig,intermediate-naive,4,72,0.020686558280203687,0.625,False,True,collapsed
collapsed,CA1-SUB,ifi_weighted,expert-naive,4,72,-0.061192189222865345,0.375,False,True,collapsed
collapsed,CA1-SUB,ifi_weighted,expert-intermediate,4,72,-0.07715060565423185,0.125,False,True,collapsed
collapsed,CA1-SUB,ifi_weighted,intermediate-naive,4,72,-0.0350421728469778,0.875,False,True,collapsed
lmm_randslope,CA1-SUB,mi_sig,expert-naive,4,0,nan,nan,False,False,too_few_animals_for_random_slope
lmm_randslope,CA1-SUB,mi_sig,expert-intermediate,4,0,nan,nan,False,False,too_few_animals_for_random_slope
lmm_randslope,CA1-SUB,mi_sig,intermediate-naive,4,0,nan,nan,False,False,too_few_animals_for_random_slope
lmm_randslope,CA1-SUB,ifi_weighted,expert-naive,4,0,nan,nan,False,False,too_few_animals_for_random_slope
lmm_randslope,CA1-SUB,ifi_weighted,expert-intermediate,4,0,nan,nan,False,False,too_few_animals_for_random_slope
lmm_randslope,CA1-SUB,ifi_weighted,intermediate-naive,4,0,nan,nan,False,False,too_few_animals_for_random_slope
collapsed,V1-RSC,mi_sig,expert-naive,6,108,0.017842136352502723,0.6875,False,True,collapsed
collapsed,V1-RSC,mi_sig,expert-intermediate,6,108,0.0737584766461278,0.15625,False,True,collapsed
collapsed,V1-RSC,mi_sig,intermediate-naive,6,108,-0.06573885745643121,0.4375,False,True,collapsed
collapsed,V1-RSC,ifi_weighted,expert-naive,6,108,0.019768229829516523,0.5625,False,True,collapsed
collapsed,V1-RSC,ifi_weighted,expert-intermediate,6,108,-0.006198771681086502,0.6875,False,True,collapsed
collapsed,V1-RSC,ifi_weighted,intermediate-naive,6,108,0.08023434448952717,0.3125,False,True,collapsed
lmm_randslope,V1-RSC,mi_sig,expert-naive,6,0,nan,nan,False,False,too_few_animals_for_random_slope
lmm_randslope,V1-RSC,mi_sig,expert-intermediate,6,0,nan,nan,False,False,too_few_animals_for_random_slope
lmm_randslope,V1-RSC,mi_sig,intermediate-naive,6,0,nan,nan,False,False,too_few_animals_for_random_slope
lmm_randslope,V1-RSC,ifi_weighted,expert-naive,6,0,nan,nan,False,False,too_few_animals_for_random_slope
lmm_randslope,V1-RSC,ifi_weighted,expert-intermediate,6,0,nan,nan,False,False,too_few_animals_for_random_slope
lmm_randslope,V1-RSC,ifi_weighted,intermediate-naive,6,0,nan,nan,False,False,too_few_animals_for_random_slope
collapsed,RSC-SUB,mi_sig,expert-naive,4,72,0.03194212617482903,0.125,False,True,collapsed
collapsed,RSC-SUB,mi_sig,expert-intermediate,4,72,0.0018022007487237361,1.0,False,True,collapsed
collapsed,RSC-SUB,mi_sig,intermediate-naive,4,72,0.07459748741209485,0.125,False,True,collapsed
collapsed,RSC-SUB,ifi_weighted,expert-naive,4,72,-0.017689323591379633,0.875,False,True,collapsed
collapsed,RSC-SUB,ifi_weighted,expert-intermediate,4,72,0.033748643739669126,0.875,False,True,collapsed
collapsed,RSC-SUB,ifi_weighted,intermediate-naive,4,72,0.04722349660168348,1.0,False,True,collapsed
