scope,pair,stat,contrast,n,median_delta,wilcoxon_W,p,p_fdr_pass
per_pair,CA1-V1,mi_sig,expert-naive,10,-0.0025137406719196284,10.0,0.2626182904425206,False
per_pair,CA1-DG,mi_sig,expert-naive,8,0.014139064611395566,5.0,0.078125,False
per_pair,CA1-CA3,mi_sig,expert-naive,6,0.0004995186176319217,8.0,0.6875,False
per_pair,CA1-RSC,mi_sig,expert-naive,8,0.0,10.0,0.916511907863894,False
per_pair,CA1-SUB,mi_sig,expert-naive,4,0.0012636301495247393,3.0,0.625,False
per_pair,V1-RSC,mi_sig,expert-naive,6,0.0009872940807921934,4.0,0.34523107177184,False
per_pair,RSC-SUB,mi_sig,expert-naive,4,-0.007386653938024299,3.0,0.625,False
per_pair,CA3-DG,mi_sig,expert-naive,4,-0.0031026276325642798,5.0,1.0,False
per_pair,CA1-V1,mi_sig,expert-intermediate,10,-0.0002441731735137471,3.0,0.11585149752593009,False
per_pair,CA1-DG,mi_sig,expert-intermediate,8,0.0007445974687671731,9.0,0.25,False
per_pair,CA1-CA3,mi_sig,expert-intermediate,6,-0.006745098433244549,6.0,0.6858304344516057,False
per_pair,CA1-RSC,mi_sig,expert-intermediate,8,-0.0022007574327274062,4.0,0.09096894797535775,False
per_pair,CA1-SUB,mi_sig,expert-intermediate,4,-0.000948860255322098,5.0,1.0,False
per_pair,V1-RSC,mi_sig,expert-intermediate,6,-0.0015324220573929314,7.0,0.5625,False
per_pair,RSC-SUB,mi_sig,expert-intermediate,4,0.0021252226427710586,0.0,0.125,False
per_pair,CA3-DG,mi_sig,expert-intermediate,4,0.02429367318758384,4.0,0.875,False
per_pair,CA1-V1,mi_sig,intermediate-naive,10,-0.0022861778884953206,17.0,0.8886378608950078,False
per_pair,CA1-DG,mi_sig,intermediate-naive,8,0.01352419818109403,9.0,0.25,False
per_pair,CA1-CA3,mi_sig,intermediate-naive,6,0.031147759419338786,6.0,0.4375,False
per_pair,CA1-RSC,mi_sig,intermediate-naive,8,0.0011133596601457863,10.0,0.49896229860376107,False
per_pair,CA1-SUB,mi_sig,intermediate-naive,4,0.0008130018007109325,3.0,0.625,False
per_pair,V1-RSC,mi_sig,intermediate-naive,6,0.0031400569035798962,5.0,0.3125,False
per_pair,RSC-SUB,mi_sig,intermediate-naive,4,-0.01125089821479171,0.0,0.10880943004054568,False
per_pair,CA3-DG,mi_sig,intermediate-naive,4,0.005958338848479043,3.0,0.625,False
per_pair,CA1-V1,ifi_weighted,expert-naive,8,0.08415384410134172,14.0,0.640625,False
per_pair,CA1-DG,ifi_weighted,expert-naive,8,-0.05141391004872026,15.0,0.7421875,False
per_pair,CA1-CA3,ifi_weighted,expert-naive,6,-0.2649146375527942,8.0,0.6875,False
per_pair,CA1-RSC,ifi_weighted,expert-naive,8,-0.32620781018507816,8.0,0.1953125,False
per_pair,CA1-SUB,ifi_weighted,expert-naive,4,0.32504467375632434,0.0,0.125,False
per_pair,V1-RSC,ifi_weighted,expert-naive,6,0.020957453494391584,8.0,0.6875,False
per_pair,RSC-SUB,ifi_weighted,expert-naive,4,0.24165767650458483,2.0,0.375,False
per_pair,CA3-DG,ifi_weighted,expert-naive,4,0.1167861319022126,4.0,0.875,False
per_pair,CA1-V1,ifi_weighted,expert-intermediate,8,-0.13558958229647625,16.0,0.84375,False
per_pair,CA1-DG,ifi_weighted,expert-intermediate,8,0.12889312737754163,14.0,0.640625,False
per_pair,CA1-CA3,ifi_weighted,expert-intermediate,6,-0.2080847028192102,3.0,0.15625,False
per_pair,CA1-RSC,ifi_weighted,expert-intermediate,7,-0.05267728484147384,11.0,0.6875,False
per_pair,CA1-SUB,ifi_weighted,expert-intermediate,4,0.15821537548905695,0.0,0.125,False
per_pair,V1-RSC,ifi_weighted,expert-intermediate,6,0.08566575841114663,8.0,0.6875,False
per_pair,RSC-SUB,ifi_weighted,expert-intermediate,4,-0.001986487542426321,4.0,0.875,False
per_pair,CA3-DG,ifi_weighted,expert-intermediate,4,0.11279843783612525,1.0,0.25,False
per_pair,CA1-V1,ifi_weighted,intermediate-naive,10,-0.1637451323494851,22.0,0.625,False
per_pair,CA1-DG,ifi_weighted,intermediate-naive,8,-0.1459364277572968,15.0,0.7421875,False
per_pair,CA1-CA3,ifi_weighted,intermediate-naive,6,0.010319558390808684,7.0,0.5625,False
per_pair,CA1-RSC,ifi_weighted,intermediate-naive,7,-0.15091979277462192,8.0,0.375,False
per_pair,CA1-SUB,ifi_weighted,intermediate-naive,4,0.27561966748860994,2.0,0.375,False
per_pair,V1-RSC,ifi_weighted,intermediate-naive,6,4.745118768425052e-05,10.0,1.0,False
per_pair,RSC-SUB,ifi_weighted,intermediate-naive,4,0.13336803421576102,2.0,0.375,False
per_pair,CA3-DG,ifi_weighted,intermediate-naive,4,0.05003605057917146,5.0,1.0,False
