scope,pair,stat,contrast,n,median_delta,wilcoxon_W,p,p_fdr_pass
per_pair,CA1-V1,mi_sig,expert-naive,10,-0.0026012834890682592,17.0,0.322265625,False
per_pair,CA1-DG,mi_sig,expert-naive,8,0.015612563121239834,7.0,0.1484375,False
per_pair,CA1-CA3,mi_sig,expert-naive,6,0.08693798519155682,2.0,0.09375,False
per_pair,CA1-RSC,mi_sig,expert-naive,8,-0.004659263147887713,12.0,0.4609375,False
per_pair,CA1-SUB,mi_sig,expert-naive,4,-0.014870246288175617,1.0,0.25,False
per_pair,V1-RSC,mi_sig,expert-naive,6,-0.0023464332467103555,9.0,0.84375,False
per_pair,RSC-SUB,mi_sig,expert-naive,4,-0.02277647331685065,0.0,0.125,False
per_pair,CA3-DG,mi_sig,expert-naive,4,0.17944067309537634,0.0,0.125,False
per_pair,CA1-V1,mi_sig,expert-intermediate,10,0.0023933458635080245,23.0,0.6953125,False
per_pair,CA1-DG,mi_sig,expert-intermediate,8,-0.006994272780759257,13.0,0.546875,False
per_pair,CA1-CA3,mi_sig,expert-intermediate,6,-0.009494047448377813,10.0,1.0,False
per_pair,CA1-RSC,mi_sig,expert-intermediate,8,-0.003172848091271652,13.0,0.546875,False
per_pair,CA1-SUB,mi_sig,expert-intermediate,4,-0.015991618688902372,0.0,0.125,False
per_pair,V1-RSC,mi_sig,expert-intermediate,6,-0.015700003599073184,4.0,0.21875,False
per_pair,RSC-SUB,mi_sig,expert-intermediate,4,-0.005545715054385718,2.0,0.375,False
per_pair,CA3-DG,mi_sig,expert-intermediate,4,0.044345374752654,0.0,0.125,False
per_pair,CA1-V1,mi_sig,intermediate-naive,10,-0.004098338323414276,17.0,0.5146697234497355,False
per_pair,CA1-DG,mi_sig,intermediate-naive,8,0.03885966336198951,1.0,0.015625,False
per_pair,CA1-CA3,mi_sig,intermediate-naive,6,0.05779817219547527,4.0,0.21875,False
per_pair,CA1-RSC,mi_sig,intermediate-naive,8,-0.000555370932676145,18.0,1.0,False
per_pair,CA1-SUB,mi_sig,intermediate-naive,4,0.0027822760156079127,4.0,0.875,False
per_pair,V1-RSC,mi_sig,intermediate-naive,6,0.007855995897778644,10.0,1.0,False
per_pair,RSC-SUB,mi_sig,intermediate-naive,4,-0.020846921056468626,3.0,0.625,False
per_pair,CA3-DG,mi_sig,intermediate-naive,4,0.12413048013138028,0.0,0.125,False
per_pair,CA1-V1,ifi_weighted,expert-naive,10,0.03882640613296735,25.0,0.845703125,False
per_pair,CA1-DG,ifi_weighted,expert-naive,8,0.05041570822097496,12.0,0.4609375,False
per_pair,CA1-CA3,ifi_weighted,expert-naive,6,-0.06433974849513067,3.0,0.15625,False
per_pair,CA1-RSC,ifi_weighted,expert-naive,8,0.01202196511308794,18.0,1.0,False
per_pair,CA1-SUB,ifi_weighted,expert-naive,4,-0.006283952098182492,5.0,1.0,False
per_pair,V1-RSC,ifi_weighted,expert-naive,6,-0.032349672352379795,7.0,0.5625,False
per_pair,RSC-SUB,ifi_weighted,expert-naive,4,0.03720887598185177,2.0,0.375,False
per_pair,CA3-DG,ifi_weighted,expert-naive,4,-0.011390246524449872,5.0,1.0,False
per_pair,CA1-V1,ifi_weighted,expert-intermediate,10,-0.015733207473805175,22.0,0.625,False
per_pair,CA1-DG,ifi_weighted,expert-intermediate,8,-0.0067081552397917745,14.0,0.640625,False
per_pair,CA1-CA3,ifi_weighted,expert-intermediate,6,-0.04242562208314823,3.0,0.15625,False
per_pair,CA1-RSC,ifi_weighted,expert-intermediate,8,0.003065303852361966,18.0,1.0,False
per_pair,CA1-SUB,ifi_weighted,expert-intermediate,4,0.05863980592660312,3.0,0.625,False
per_pair,V1-RSC,ifi_weighted,expert-intermediate,6,-0.005032834255446289,7.0,0.5625,False
per_pair,RSC-SUB,ifi_weighted,expert-intermediate,4,-0.042220028688785646,4.0,0.875,False
per_pair,CA3-DG,ifi_weighted,expert-intermediate,4,-0.052426240160922656,2.0,0.375,False
per_pair,CA1-V1,ifi_weighted,intermediate-naive,10,0.06178451423963573,18.0,0.375,False
per_pair,CA1-DG,ifi_weighted,intermediate-naive,8,0.03878350495263093,7.0,0.1484375,False
per_pair,CA1-CA3,ifi_weighted,intermediate-naive,6,-0.02452344283308534,7.0,0.5625,False
per_pair,CA1-RSC,ifi_weighted,intermediate-naive,8,0.0578907370704951,12.0,0.4609375,False
per_pair,CA1-SUB,ifi_weighted,intermediate-naive,4,0.024790520330567604,4.0,0.875,False
per_pair,V1-RSC,ifi_weighted,intermediate-naive,6,-0.0377482311689617,9.0,0.84375,False
per_pair,RSC-SUB,ifi_weighted,intermediate-naive,4,0.03261023033926927,3.0,0.625,False
per_pair,CA3-DG,ifi_weighted,intermediate-naive,4,0.041035993636472784,1.0,0.25,False
