scope,pair,stat,contrast,n,median_delta,wilcoxon_W,p,p_fdr_pass
per_pair,CA1-V1,mi_sig,expert-naive,10,-0.006079435322790838,18.0,0.375,False
per_pair,CA1-DG,mi_sig,expert-naive,8,0.018592291235320003,6.0,0.109375,False
per_pair,CA1-CA3,mi_sig,expert-naive,6,0.08349119120600744,2.0,0.09375,False
per_pair,CA1-RSC,mi_sig,expert-naive,8,-0.0046592320347005455,12.0,0.4609375,False
per_pair,CA1-SUB,mi_sig,expert-naive,4,-0.01567103784095246,1.0,0.25,False
per_pair,V1-RSC,mi_sig,expert-naive,6,-0.002850748810547917,7.0,0.5625,False
per_pair,RSC-SUB,mi_sig,expert-naive,4,-0.02161242900139878,0.0,0.125,False
per_pair,CA3-DG,mi_sig,expert-naive,4,0.19604110185617277,0.0,0.125,False
per_pair,CA1-V1,mi_sig,expert-intermediate,10,-0.0003938523714491892,23.0,0.6953125,False
per_pair,CA1-DG,mi_sig,expert-intermediate,8,-0.006994272780759257,16.0,0.84375,False
per_pair,CA1-CA3,mi_sig,expert-intermediate,6,-0.010473348428768903,10.0,1.0,False
per_pair,CA1-RSC,mi_sig,expert-intermediate,8,-0.003172848091271652,16.0,0.84375,False
per_pair,CA1-SUB,mi_sig,expert-intermediate,4,-0.016865915079761117,0.0,0.125,False
per_pair,V1-RSC,mi_sig,expert-intermediate,6,-0.016621868309174247,3.0,0.15625,False
per_pair,RSC-SUB,mi_sig,expert-intermediate,4,-0.009237774078161329,1.0,0.25,False
per_pair,CA3-DG,mi_sig,expert-intermediate,4,0.044345374752654,0.0,0.125,False
per_pair,CA1-V1,mi_sig,intermediate-naive,10,-0.003980773141941828,20.0,0.7670968684102772,False
per_pair,CA1-DG,mi_sig,intermediate-naive,8,0.03619720054890113,2.0,0.0234375,False
per_pair,CA1-CA3,mi_sig,intermediate-naive,6,0.058253322404495905,4.0,0.21875,False
per_pair,CA1-RSC,mi_sig,intermediate-naive,8,-0.005360894473259018,12.0,0.4609375,False
per_pair,CA1-SUB,mi_sig,intermediate-naive,4,0.005316845275432721,4.0,0.875,False
per_pair,V1-RSC,mi_sig,intermediate-naive,6,0.008820808561862487,9.0,0.84375,False
per_pair,RSC-SUB,mi_sig,intermediate-naive,4,-0.01875692399882901,3.0,0.625,False
per_pair,CA3-DG,mi_sig,intermediate-naive,4,0.12060728387961267,0.0,0.125,False
per_pair,CA1-V1,ifi_weighted,expert-naive,10,0.03818230778327097,23.0,0.6953125,False
per_pair,CA1-DG,ifi_weighted,expert-naive,8,-0.03995909732030565,14.0,0.640625,False
per_pair,CA1-CA3,ifi_weighted,expert-naive,6,-0.08904018253905366,0.0,0.03125,False
per_pair,CA1-RSC,ifi_weighted,expert-naive,8,0.0035773168852550217,17.0,0.9453125,False
per_pair,CA1-SUB,ifi_weighted,expert-naive,4,0.028597433321698458,4.0,0.875,False
per_pair,V1-RSC,ifi_weighted,expert-naive,6,0.04511910182096074,7.0,0.5625,False
per_pair,RSC-SUB,ifi_weighted,expert-naive,4,-0.0510856491843055,0.0,0.125,False
per_pair,CA3-DG,ifi_weighted,expert-naive,4,-0.04065983950126254,4.0,0.875,False
per_pair,CA1-V1,ifi_weighted,expert-intermediate,10,0.06791560510071877,23.0,0.6953125,False
per_pair,CA1-DG,ifi_weighted,expert-intermediate,8,-0.003025108510294753,16.0,0.84375,False
per_pair,CA1-CA3,ifi_weighted,expert-intermediate,6,0.00041384180983713124,10.0,1.0,False
per_pair,CA1-RSC,ifi_weighted,expert-intermediate,8,-0.0971843472002557,8.0,0.1953125,False
per_pair,CA1-SUB,ifi_weighted,expert-intermediate,4,-0.009205646959662871,2.0,0.375,False
per_pair,V1-RSC,ifi_weighted,expert-intermediate,6,-0.06127167312572616,6.0,0.4375,False
per_pair,RSC-SUB,ifi_weighted,expert-intermediate,4,-0.019711307124328597,3.0,0.625,False
per_pair,CA3-DG,ifi_weighted,expert-intermediate,4,-0.059726699922800504,1.0,0.25,False
per_pair,CA1-V1,ifi_weighted,intermediate-naive,10,-0.07929263306162829,24.0,0.76953125,False
per_pair,CA1-DG,ifi_weighted,intermediate-naive,8,-0.03634583587732411,15.0,0.7421875,False
per_pair,CA1-CA3,ifi_weighted,intermediate-naive,6,-0.11103502540509932,1.0,0.0625,False
per_pair,CA1-RSC,ifi_weighted,intermediate-naive,8,0.037164213106500435,16.0,0.84375,False
per_pair,CA1-SUB,ifi_weighted,intermediate-naive,4,0.03187327629087432,4.0,0.875,False
per_pair,V1-RSC,ifi_weighted,intermediate-naive,6,0.08939346570313243,9.0,0.84375,False
per_pair,RSC-SUB,ifi_weighted,intermediate-naive,4,-0.027775249458360737,3.0,0.625,False
per_pair,CA3-DG,ifi_weighted,intermediate-naive,4,0.058039074242716704,4.0,0.875,False
