scope,pair,stat,contrast,n,median_delta,wilcoxon_W,p,p_fdr_pass
per_pair,CA1-V1,mi_sig,expert-naive,10,0.02940142429115597,10.0,0.083984375,False
per_pair,CA1-DG,mi_sig,expert-naive,8,0.0648152174629586,1.0,0.015625,False
per_pair,CA1-CA3,mi_sig,expert-naive,6,0.07683637451771354,0.0,0.03125,False
per_pair,CA1-RSC,mi_sig,expert-naive,8,0.023654915394419915,10.0,0.3125,False
per_pair,CA1-SUB,mi_sig,expert-naive,4,0.048755078801179075,2.0,0.375,False
per_pair,V1-RSC,mi_sig,expert-naive,6,0.08243772004470372,6.0,0.4375,False
per_pair,RSC-SUB,mi_sig,expert-naive,4,-0.014319266088484186,3.0,0.625,False
per_pair,CA3-DG,mi_sig,expert-naive,4,0.17211716233096172,1.0,0.25,False
per_pair,CA1-V1,mi_sig,expert-intermediate,10,-0.007940879474329143,26.0,0.921875,False
per_pair,CA1-DG,mi_sig,expert-intermediate,8,0.0217375946832874,7.0,0.1484375,False
per_pair,CA1-CA3,mi_sig,expert-intermediate,6,0.022237832483849626,5.0,0.3125,False
per_pair,CA1-RSC,mi_sig,expert-intermediate,8,-0.008796919101282968,17.0,0.9453125,False
per_pair,CA1-SUB,mi_sig,expert-intermediate,4,-0.007569250440833876,3.0,0.625,False
per_pair,V1-RSC,mi_sig,expert-intermediate,6,-0.02038520690106694,10.0,1.0,False
per_pair,RSC-SUB,mi_sig,expert-intermediate,4,-0.012536543868276472,4.0,0.875,False
per_pair,CA3-DG,mi_sig,expert-intermediate,4,0.09081533471681036,0.0,0.125,False
per_pair,CA1-V1,mi_sig,intermediate-naive,10,0.01582504377317519,15.0,0.232421875,False
per_pair,CA1-DG,mi_sig,intermediate-naive,8,0.026137284833805632,0.0,0.0078125,False
per_pair,CA1-CA3,mi_sig,intermediate-naive,6,0.06411538871737714,3.0,0.15625,False
per_pair,CA1-RSC,mi_sig,intermediate-naive,8,0.026571244334373134,5.0,0.078125,False
per_pair,CA1-SUB,mi_sig,intermediate-naive,4,0.07894498427472715,0.0,0.125,False
per_pair,V1-RSC,mi_sig,intermediate-naive,6,0.04384410176551863,7.0,0.5625,False
per_pair,RSC-SUB,mi_sig,intermediate-naive,4,-0.0017827222202077136,4.0,0.875,False
per_pair,CA3-DG,mi_sig,intermediate-naive,4,0.11306540227356329,2.0,0.375,False
per_pair,CA1-V1,ifi_weighted,expert-naive,10,0.017240164828645183,22.0,0.625,False
per_pair,CA1-DG,ifi_weighted,expert-naive,8,-0.05072959651900322,14.0,0.640625,False
per_pair,CA1-CA3,ifi_weighted,expert-naive,6,-0.05197990147865026,9.0,0.84375,False
per_pair,CA1-RSC,ifi_weighted,expert-naive,8,0.014838718504809199,18.0,1.0,False
per_pair,CA1-SUB,ifi_weighted,expert-naive,4,0.012563414700165462,4.0,0.875,False
per_pair,V1-RSC,ifi_weighted,expert-naive,6,-0.030807455118532806,2.0,0.09375,False
per_pair,RSC-SUB,ifi_weighted,expert-naive,4,0.017982883302560416,3.0,0.625,False
per_pair,CA3-DG,ifi_weighted,expert-naive,4,-0.0586278321732427,3.0,0.625,False
per_pair,CA1-V1,ifi_weighted,expert-intermediate,10,0.020515887226432265,20.0,0.4921875,False
per_pair,CA1-DG,ifi_weighted,expert-intermediate,8,0.05855352425672927,8.0,0.1953125,False
per_pair,CA1-CA3,ifi_weighted,expert-intermediate,6,0.019916950842515206,10.0,1.0,False
per_pair,CA1-RSC,ifi_weighted,expert-intermediate,8,0.0063601945766725634,17.0,0.9453125,False
per_pair,CA1-SUB,ifi_weighted,expert-intermediate,4,0.052666561773654225,1.0,0.25,False
per_pair,V1-RSC,ifi_weighted,expert-intermediate,6,-0.015596769583149832,10.0,1.0,False
per_pair,RSC-SUB,ifi_weighted,expert-intermediate,4,0.036825721700127254,0.0,0.125,False
per_pair,CA3-DG,ifi_weighted,expert-intermediate,4,-0.07704636092053566,1.0,0.25,False
per_pair,CA1-V1,ifi_weighted,intermediate-naive,10,0.043635059956356866,12.0,0.130859375,False
per_pair,CA1-DG,ifi_weighted,intermediate-naive,8,-0.11361857590294544,12.0,0.4609375,False
per_pair,CA1-CA3,ifi_weighted,intermediate-naive,6,-0.030930441368378435,9.0,0.84375,False
per_pair,CA1-RSC,ifi_weighted,intermediate-naive,8,0.005280943584275739,15.0,0.7421875,False
per_pair,CA1-SUB,ifi_weighted,intermediate-naive,4,-0.020313606438650163,3.0,0.625,False
per_pair,V1-RSC,ifi_weighted,intermediate-naive,6,-0.06382382962898608,1.0,0.0625,False
per_pair,RSC-SUB,ifi_weighted,intermediate-naive,4,-0.028045696880656428,1.0,0.25,False
per_pair,CA3-DG,ifi_weighted,intermediate-naive,4,0.04395363880193157,1.0,0.25,False
