scope,pair,stat,contrast,n,median_delta,wilcoxon_W,p,p_fdr_pass
per_pair,CA1-V1,mi_sig,expert-naive,10,0.0581299843828111,7.0,0.037109375,False
per_pair,CA1-DG,mi_sig,expert-naive,8,0.06451410183603248,2.0,0.0234375,False
per_pair,CA1-CA3,mi_sig,expert-naive,6,0.07683637451771354,0.0,0.03125,False
per_pair,CA1-RSC,mi_sig,expert-naive,8,0.023654915394419915,10.0,0.3125,False
per_pair,CA1-SUB,mi_sig,expert-naive,4,0.048755078801179075,2.0,0.375,False
per_pair,V1-RSC,mi_sig,expert-naive,6,0.08243772004470372,6.0,0.4375,False
per_pair,RSC-SUB,mi_sig,expert-naive,4,-0.014319266088484186,4.0,0.875,False
per_pair,CA3-DG,mi_sig,expert-naive,4,0.17211716233096172,2.0,0.375,False
per_pair,CA1-V1,mi_sig,expert-intermediate,10,0.005139233785048686,26.0,0.921875,False
per_pair,CA1-DG,mi_sig,expert-intermediate,8,0.018816261913285663,9.0,0.25,False
per_pair,CA1-CA3,mi_sig,expert-intermediate,6,0.022237832483849626,9.0,0.84375,False
per_pair,CA1-RSC,mi_sig,expert-intermediate,8,-0.008796919101282968,12.0,0.4609375,False
per_pair,CA1-SUB,mi_sig,expert-intermediate,4,-0.007569250440833876,3.0,0.625,False
per_pair,V1-RSC,mi_sig,expert-intermediate,6,-0.02038520690106694,10.0,1.0,False
per_pair,RSC-SUB,mi_sig,expert-intermediate,4,-0.012536543868276472,5.0,1.0,False
per_pair,CA3-DG,mi_sig,expert-intermediate,4,0.05003233558457121,0.0,0.125,False
per_pair,CA1-V1,mi_sig,intermediate-naive,10,0.01582504377317519,15.0,0.232421875,False
per_pair,CA1-DG,mi_sig,intermediate-naive,8,0.032413680063389155,0.0,0.0078125,False
per_pair,CA1-CA3,mi_sig,intermediate-naive,6,0.06411538871737714,3.0,0.15625,False
per_pair,CA1-RSC,mi_sig,intermediate-naive,8,0.026655270152171714,5.0,0.078125,False
per_pair,CA1-SUB,mi_sig,intermediate-naive,4,0.08142279967627689,0.0,0.125,False
per_pair,V1-RSC,mi_sig,intermediate-naive,6,0.04384410176551863,7.0,0.5625,False
per_pair,RSC-SUB,mi_sig,intermediate-naive,4,-0.0017827222202077136,4.0,0.875,False
per_pair,CA3-DG,mi_sig,intermediate-naive,4,0.133551191566014,2.0,0.375,False
per_pair,CA1-V1,ifi_weighted,expert-naive,10,0.05461207047763522,8.0,0.048828125,False
per_pair,CA1-DG,ifi_weighted,expert-naive,8,-0.01093482980176097,15.0,0.7421875,False
per_pair,CA1-CA3,ifi_weighted,expert-naive,6,0.11453389963364878,7.0,0.5625,False
per_pair,CA1-RSC,ifi_weighted,expert-naive,8,-0.016944336312532553,14.0,0.640625,False
per_pair,CA1-SUB,ifi_weighted,expert-naive,4,0.04076743198331234,0.0,0.125,False
per_pair,V1-RSC,ifi_weighted,expert-naive,6,-0.0531790106188972,2.0,0.09375,False
per_pair,RSC-SUB,ifi_weighted,expert-naive,4,0.016730089285801497,2.0,0.375,False
per_pair,CA3-DG,ifi_weighted,expert-naive,4,-0.08026108309388942,3.0,0.625,False
per_pair,CA1-V1,ifi_weighted,expert-intermediate,10,0.01514124485481778,27.0,1.0,False
per_pair,CA1-DG,ifi_weighted,expert-intermediate,8,0.02847491852620896,13.0,0.546875,False
per_pair,CA1-CA3,ifi_weighted,expert-intermediate,6,0.03762082543662791,9.0,0.84375,False
per_pair,CA1-RSC,ifi_weighted,expert-intermediate,8,0.009235192991842273,18.0,1.0,False
per_pair,CA1-SUB,ifi_weighted,expert-intermediate,4,0.07841853266804774,3.0,0.625,False
per_pair,V1-RSC,ifi_weighted,expert-intermediate,6,-0.0362926690152191,1.0,0.0625,False
per_pair,RSC-SUB,ifi_weighted,expert-intermediate,4,0.06837197399820634,1.0,0.25,False
per_pair,CA3-DG,ifi_weighted,expert-intermediate,4,-0.06517910636406107,0.0,0.125,False
per_pair,CA1-V1,ifi_weighted,intermediate-naive,10,0.02368658473770258,6.0,0.02734375,False
per_pair,CA1-DG,ifi_weighted,intermediate-naive,8,0.03182694638424456,13.0,0.546875,False
per_pair,CA1-CA3,ifi_weighted,intermediate-naive,6,0.03850176190706117,9.0,0.84375,False
per_pair,CA1-RSC,ifi_weighted,intermediate-naive,8,-0.009305592585286578,15.0,0.7421875,False
per_pair,CA1-SUB,ifi_weighted,intermediate-naive,4,-0.03332011161980036,3.0,0.625,False
per_pair,V1-RSC,ifi_weighted,intermediate-naive,6,-0.01626611729066092,5.0,0.3125,False
per_pair,RSC-SUB,ifi_weighted,intermediate-naive,4,-0.020587465119810636,4.0,0.875,False
per_pair,CA3-DG,ifi_weighted,intermediate-naive,4,0.0526768334115506,2.0,0.375,False
