scope,pair,stat,contrast,n,median_delta,wilcoxon_W,p,p_fdr_pass
per_pair,CA1-V1,mi_sig,expert-naive,10,0.0581123942905506,8.0,0.048828125,False
per_pair,CA1-DG,mi_sig,expert-naive,8,0.0740804952856932,2.0,0.0234375,False
per_pair,CA1-CA3,mi_sig,expert-naive,6,0.0937638846352844,0.0,0.03125,False
per_pair,CA1-RSC,mi_sig,expert-naive,8,0.010185835277696537,9.0,0.25,False
per_pair,CA1-SUB,mi_sig,expert-naive,4,0.04403160488502732,2.0,0.375,False
per_pair,V1-RSC,mi_sig,expert-naive,6,0.10687450212673762,6.0,0.4375,False
per_pair,RSC-SUB,mi_sig,expert-naive,4,-0.022840255863216738,4.0,0.875,False
per_pair,CA3-DG,mi_sig,expert-naive,4,0.17211716233096172,1.0,0.25,False
per_pair,CA1-V1,mi_sig,expert-intermediate,10,0.021967426099411335,22.0,0.625,False
per_pair,CA1-DG,mi_sig,expert-intermediate,8,0.022845663598860994,4.0,0.0546875,False
per_pair,CA1-CA3,mi_sig,expert-intermediate,6,0.013189517169913553,6.0,0.4375,False
per_pair,CA1-RSC,mi_sig,expert-intermediate,8,-0.005766325963250652,16.0,0.84375,False
per_pair,CA1-SUB,mi_sig,expert-intermediate,4,-0.009035275440194827,3.0,0.625,False
per_pair,V1-RSC,mi_sig,expert-intermediate,6,-0.02256001436328018,10.0,1.0,False
per_pair,RSC-SUB,mi_sig,expert-intermediate,4,-0.02960510574383755,4.0,0.875,False
per_pair,CA3-DG,mi_sig,expert-intermediate,4,0.07693733150740584,0.0,0.125,False
per_pair,CA1-V1,mi_sig,intermediate-naive,10,0.011364798973548279,16.0,0.275390625,False
per_pair,CA1-DG,mi_sig,intermediate-naive,8,0.037005708415652386,0.0,0.0078125,False
per_pair,CA1-CA3,mi_sig,intermediate-naive,6,0.06411538871737714,3.0,0.15625,False
per_pair,CA1-RSC,mi_sig,intermediate-naive,8,0.031009624686264805,5.0,0.078125,False
per_pair,CA1-SUB,mi_sig,intermediate-naive,4,0.07584046386369409,0.0,0.125,False
per_pair,V1-RSC,mi_sig,intermediate-naive,6,0.0728785444136298,6.0,0.4375,False
per_pair,RSC-SUB,mi_sig,intermediate-naive,4,0.010170634158946389,5.0,1.0,False
per_pair,CA3-DG,mi_sig,intermediate-naive,4,0.133551191566014,2.0,0.375,False
per_pair,CA1-V1,ifi_weighted,expert-naive,10,0.019168697922462105,21.0,0.556640625,False
per_pair,CA1-DG,ifi_weighted,expert-naive,8,0.0006122242417075409,17.0,0.9453125,False
per_pair,CA1-CA3,ifi_weighted,expert-naive,6,-0.054500536463209764,6.0,0.4375,False
per_pair,CA1-RSC,ifi_weighted,expert-naive,8,-0.007617372409174518,16.0,0.84375,False
per_pair,CA1-SUB,ifi_weighted,expert-naive,4,0.09464029932582856,1.0,0.25,False
per_pair,V1-RSC,ifi_weighted,expert-naive,6,-0.022064674992830085,7.0,0.5625,False
per_pair,RSC-SUB,ifi_weighted,expert-naive,4,0.039925499771842614,5.0,1.0,False
per_pair,CA3-DG,ifi_weighted,expert-naive,4,-0.009033196225039189,4.0,0.875,False
per_pair,CA1-V1,ifi_weighted,expert-intermediate,10,0.010735212066017701,19.0,0.431640625,False
per_pair,CA1-DG,ifi_weighted,expert-intermediate,8,-0.003976100434443174,15.0,0.7421875,False
per_pair,CA1-CA3,ifi_weighted,expert-intermediate,6,0.028614283516437036,9.0,0.84375,False
per_pair,CA1-RSC,ifi_weighted,expert-intermediate,8,0.03448467232444604,10.0,0.3125,False
per_pair,CA1-SUB,ifi_weighted,expert-intermediate,4,0.02812041665001292,0.0,0.125,False
per_pair,V1-RSC,ifi_weighted,expert-intermediate,6,0.006174789738601746,10.0,1.0,False
per_pair,RSC-SUB,ifi_weighted,expert-intermediate,4,0.039671346702895564,3.0,0.625,False
per_pair,CA3-DG,ifi_weighted,expert-intermediate,4,-0.058073966472284716,1.0,0.25,False
per_pair,CA1-V1,ifi_weighted,intermediate-naive,10,0.038098946186564314,10.0,0.083984375,False
per_pair,CA1-DG,ifi_weighted,intermediate-naive,8,-0.048554705939264566,16.0,0.84375,False
per_pair,CA1-CA3,ifi_weighted,intermediate-naive,6,-0.027588931023633943,9.0,0.84375,False
per_pair,CA1-RSC,ifi_weighted,intermediate-naive,8,-0.03389148337223239,10.0,0.3125,False
per_pair,CA1-SUB,ifi_weighted,intermediate-naive,4,0.008375303414339928,4.0,0.875,False
per_pair,V1-RSC,ifi_weighted,intermediate-naive,6,-0.05254453826779646,2.0,0.09375,False
per_pair,RSC-SUB,ifi_weighted,intermediate-naive,4,-0.010965396208209622,3.0,0.625,False
per_pair,CA3-DG,ifi_weighted,intermediate-naive,4,0.06089652260752706,0.0,0.125,False
