animal,learner,pair,dim,ifi,peak_lag_ms,cc_max,cc_at_zero,sig,n_sig
28,1,CA1-CA3,1,-0.3138381201044387,-180.0,0.06,0.0314,0,0
28,1,CA1-CA3,2,-0.021198156682027597,-110.0,0.0413,0.0006,0,0
28,1,CA1-CA3,3,-0.09563886763580719,70.0,0.0329,0.0054,0,0
28,1,CA1-CA3,4,0.16842759477936614,100.0,0.0227,0.0223,0,0
28,1,CA1-CA3,5,0.1583368332633348,130.0,0.042,0.0057,0,0
28,1,CA1-CA3,6,0.1404072883172561,110.0,0.0308,-0.0065,0,0
28,1,CA1-CA3,7,-0.07114308553157474,110.0,0.0254,-0.0144,0,0
28,1,CA1-CA3,8,-0.34660421545667447,-200.0,0.0158,0.0067,0,0
28,1,CA1-CA3,9,-0.30924970226280274,-110.0,0.034,-0.0012,0,0
28,1,CA1-CA3,10,-0.2754491017964072,-180.0,0.0303,-0.0056,0,0
28,1,CA1-CA3,11,,,,,0,0
28,1,CA1-CA3,12,,,,,0,0
28,1,CA1-DG,1,0.014379349500264151,20.0,0.2834,0.233,1,2
28,1,CA1-DG,2,0.024767381927678182,-80.0,0.1528,0.1078,1,2
28,1,CA1-DG,3,0.10906821019180561,120.0,0.0457,0.0288,0,2
28,1,CA1-DG,4,0.10685383980181655,10.0,0.0416,0.0173,0,2
28,1,CA1-DG,5,-0.019524453895225453,210.0,0.0342,0.0093,0,2
28,1,CA1-DG,6,0.30566753616314907,40.0,0.0442,0.0113,0,2
28,1,CA1-DG,7,-0.13710691823899376,-30.0,0.0249,0.0166,0,2
28,1,CA1-DG,8,-0.15010773282259998,-30.0,0.0377,-0.0043,0,2
28,1,CA1-DG,9,0.2060514372163389,170.0,0.0389,0.0119,0,2
28,1,CA1-DG,10,-0.017850059500198377,180.0,0.0267,0.0048,0,2
28,1,CA1-DG,11,-0.06079234972677588,-150.0,0.0257,-0.0068,0,2
28,1,CA1-DG,12,0.02656137832017231,90.0,0.0387,0.0031,0,2
28,1,CA1-DG,13,,,,,0,2
28,1,CA1-V1,1,-0.0284432480933154,240.0,0.0993,0.0762,1,1
28,1,CA1-V1,2,0.10240589672450218,80.0,0.0993,0.0507,0,1
28,1,CA1-V1,3,-0.02838792549775207,220.0,0.0621,0.0112,0,1
28,1,CA1-V1,4,0.002280348759222068,-200.0,0.0532,0.0278,0,1
28,1,CA1-V1,5,0.03987517337031895,240.0,0.0341,0.0043,0,1
28,1,CA1-V1,6,-0.007703518634186906,250.0,0.0364,-0.0094,0,1
28,1,CA1-V1,7,-0.10969723562966203,-240.0,0.0299,0.0069,0,1
28,1,CA1-V1,8,-0.025797988631394757,130.0,0.0338,0.0081,0,1
28,1,CA1-V1,9,-0.05330990041007612,230.0,0.0407,0.0203,0,1
28,1,CA1-V1,10,-0.03142041028304337,220.0,0.0317,0.0198,0,1
28,1,CA1-V1,11,-0.17583892617449662,-80.0,0.0266,-0.0068,0,1
28,1,CA1-V1,12,0.005128205128204989,-140.0,0.0278,0.0092,0,1
28,1,CA1-V1,13,-0.22954725972994436,0.0,0.0166,0.0166,0,1
28,1,CA1-V1,14,0.03526897043106508,-160.0,0.033,-0.0216,0,1
28,1,CA1-V1,15,-0.053045186640471566,-180.0,0.0296,0.0037,0,1
28,1,CA1-V1,16,0.05460218408736341,190.0,0.0264,0.0015,0,1
28,1,CA1-V1,17,-0.22847301951779553,-190.0,0.0237,-0.006,0,1
28,1,CA1-V1,18,-0.07183499288762452,110.0,0.0284,0.0039,0,1
28,1,CA1-V1,19,-0.13460869565217384,140.0,0.0235,0.0037,0,1
28,1,CA1-V1,20,-0.18215158924205374,170.0,0.0281,-0.0077,0,1
28,1,CA1-V1,21,-0.02759795570698464,130.0,0.0245,-0.0096,0,1
28,1,CA1-V1,22,-0.19516217702034078,-190.0,0.022,-0.0305,0,1
28,1,CA1-V1,23,0.38505419281232167,120.0,0.0238,0.0186,0,1
28,1,CA1-V1,24,0.1484210526315789,120.0,0.0222,-0.0026,0,1
28,1,CA3-DG,1,0.07090041932076425,0.0,0.1574,0.1574,1,6
28,1,CA3-DG,2,0.13699069618222645,110.0,0.048,0.0248,0,6
