animal,learner,pair,dim,ifi,peak_lag_ms,cc_max,cc_at_zero,sig,n_sig
28,1,CA1-CA3,1,-0.10916168012548658,0.0,0.1948,0.1948,1,2
28,1,CA1-CA3,2,-0.1397092578423872,0.0,0.1067,0.1067,1,2
28,1,CA1-CA3,3,-0.2951560818083961,-180.0,0.0496,0.0295,0,2
28,1,CA1-CA3,4,-0.21953990343652374,110.0,0.0368,0.0052,0,2
28,1,CA1-CA3,5,-0.001405481377371784,80.0,0.023,-0.0045,0,2
28,1,CA1-CA3,6,0.18763326226012786,-140.0,0.0257,0.013,0,2
28,1,CA1-CA3,7,0.13524108192865536,150.0,0.0217,0.0022,0,2
28,1,CA1-CA3,8,0.13296308395949044,120.0,0.025,-0.0143,0,2
28,1,CA1-CA3,9,0.6255760368663594,110.0,0.0291,-0.0024,0,2
28,1,CA1-CA3,10,-0.32578397212543553,-230.0,0.0426,-0.0028,0,2
28,1,CA1-CA3,11,-0.45422689443714404,-230.0,0.017,0.0169,0,2
28,1,CA1-CA3,12,-0.4112903225806452,-40.0,0.0238,-0.0111,0,2
28,1,CA1-CA3,13,-0.2760180995475113,-120.0,0.0238,0.0048,0,2
28,1,CA1-CA3,14,,,,,0,2
28,1,CA1-CA3,15,,,,,0,2
28,1,CA1-DG,1,0.0195760185491884,0.0,0.2754,0.2754,1,1
28,1,CA1-DG,2,-0.06017999783135137,0.0,0.1381,0.1381,0,1
28,1,CA1-DG,3,0.1246219958618494,0.0,0.0809,0.0809,0,1
28,1,CA1-DG,4,0.08696908407974575,90.0,0.0501,0.0063,0,1
28,1,CA1-DG,5,-0.11765511573757025,-30.0,0.0432,0.0377,0,1
28,1,CA1-DG,6,-0.01709943001899944,-30.0,0.048,-0.0002,0,1
28,1,CA1-DG,7,-0.11564625850340128,-170.0,0.0392,0.0172,0,1
28,1,CA1-DG,8,-0.041088580576307314,250.0,0.0296,0.0173,0,1
28,1,CA1-DG,9,0.173405698778833,170.0,0.0295,0.0213,0,1
28,1,CA1-DG,10,0.09696287964004498,160.0,0.0344,0.0242,0,1
28,1,CA1-DG,11,-0.271759549154665,20.0,0.0291,0.0196,0,1
28,1,CA1-DG,12,0.1497867803837953,120.0,0.0312,0.0118,0,1
28,1,CA1-DG,13,,,,,0,1
28,1,CA1-V1,1,-0.1832367591745451,-110.0,0.1261,0.1024,1,1
28,1,CA1-V1,2,0.15849591781977077,80.0,0.1092,0.065,0,1
28,1,CA1-V1,3,-0.393137514333598,220.0,0.0753,0.0151,0,1
28,1,CA1-V1,4,-0.2727592267135324,-240.0,0.0478,0.0156,0,1
28,1,CA1-V1,5,-0.050847457627118606,250.0,0.0444,0.0052,0,1
28,1,CA1-V1,6,-0.11240029006526467,-200.0,0.0585,-0.0106,0,1
28,1,CA1-V1,7,-0.0723320158102766,-170.0,0.0311,-0.0038,0,1
28,1,CA1-V1,8,0.05270588235294133,240.0,0.0283,0.0149,0,1
28,1,CA1-V1,9,-0.0945890128046262,-50.0,0.0405,0.0129,0,1
28,1,CA1-V1,10,0.22957025161433975,230.0,0.0381,0.0208,0,1
28,1,CA1-V1,11,0.04052573932092004,-170.0,0.039,0.0147,0,1
28,1,CA1-V1,12,-0.35344302254722737,-90.0,0.0332,0.01,0,1
28,1,CA1-V1,13,-0.15982649315982647,80.0,0.033,0.0005,0,1
28,1,CA1-V1,14,0.02042755344418045,-200.0,0.0181,0.007,0,1
28,1,CA1-V1,15,0.16657191586128486,-60.0,0.0316,-0.0028,0,1
28,1,CA1-V1,16,-0.00454357703428342,250.0,0.0333,0.0064,0,1
28,1,CA1-V1,17,-0.31847328244274803,-30.0,0.0243,-0.0095,0,1
28,1,CA1-V1,18,-0.035274118147046306,-180.0,0.0209,-0.0125,0,1
28,1,CA1-V1,19,-0.17510373443983407,-30.0,0.0301,-0.0045,0,1
28,1,CA1-V1,20,-0.2348909657320872,-250.0,0.0235,-0.0171,0,1
28,1,CA1-V1,21,-0.2406902815622161,-120.0,0.0339,-0.0143,0,1
28,1,CA1-V1,22,-0.21169354838709686,-120.0,0.0259,-0.0113,0,1
28,1,CA1-V1,23,0.0024919900320398937,-60.0,0.0237,0.0112,0,1
28,1,CA1-V1,24,0.14822335025380703,110.0,0.0376,-0.0032,0,1
28,1,CA1-V1,25,0.08355795148247984,-100.0,0.0251,-0.0069,0,1
28,1,CA1-V1,26,-0.2759358288770053,150.0,0.0235,0.0058,0,1
28,1,CA1-V1,27,-0.16939443535188212,30.0,0.0277,-0.0025,0,1
28,1,CA1-V1,28,0.12573839662447261,20.0,0.0268,-0.0106,0,1
28,1,CA1-V1,29,0.24688796680497935,250.0,0.0311,0.0021,0,1
28,1,CA1-V1,30,-0.07738095238095233,-240.0,0.0157,0.0001,0,1
28,1,CA3-DG,1,0.050167817485546884,0.0,0.4851,0.4851,1,4
28,1,CA3-DG,2,0.0949476964166481,0.0,0.158,0.158,1,4
28,1,CA3-DG,3,-0.01673033855881965,0.0,0.0853,0.0853,1,4
