animal,learner,pair,bin,trial_lo,trial_hi,n_bins,cc1,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y
28,1,CA1-CA3,1,1,5,8000,0.0443,0,0.0,0.0536,-2,0.3445,0.6663
28,1,CA1-CA3,2,6,10,8000,0.0212,0,0.0,-0.0089,-3,0.3048,0.8713
28,1,CA1-CA3,3,11,15,8000,0.0375,0,0.0,0.0371,2,0.7886,0.692
28,1,CA1-CA3,4,16,20,8000,0.0806,4,0.0894,-0.1605,-2,0.3456,0.7119
28,1,CA1-CA3,5,21,25,8000,0.1325,0,0.0,0.0331,3,0.288,0.771
28,1,CA1-CA3,6,26,30,8000,-0.0081,0,0.0,0.1085,3,0.289,0.6255
28,1,CA1-DG,1,1,5,8000,0.1665,2,0.0244,-0.0026,-2,0.3757,0.2125
28,1,CA1-DG,2,6,10,8000,0.2568,2,0.0455,0.0353,1,0.2956,0.2512
28,1,CA1-DG,3,11,15,8000,0.247,2,0.0422,0.0565,1,0.7457,0.2558
28,1,CA1-DG,4,16,20,8000,0.2462,1,0.0313,0.021,2,0.3347,0.447
28,1,CA1-DG,5,21,25,8000,0.232,2,0.0398,0.0391,2,0.3522,0.1759
28,1,CA1-DG,6,26,30,8000,0.2138,2,0.0311,0.0289,2,0.2675,0.2686
28,1,CA1-V1,1,1,5,8000,0.1114,0,0.0,-0.0018,2,0.3873,0.4501
28,1,CA1-V1,2,6,10,8000,0.1971,0,0.0,-0.0163,-2,0.4085,0.4484
28,1,CA1-V1,3,11,15,8000,0.1773,0,0.0,-0.0151,-2,0.7369,0.4027
28,1,CA1-V1,4,16,20,8000,0.1867,0,0.0,-0.0073,-1,0.342,0.4063
28,1,CA1-V1,5,21,25,8000,0.1627,0,0.0,0.0054,0,0.3313,0.3983
28,1,CA1-V1,6,26,30,8000,0.105,0,0.0,-0.0183,-1,0.2673,0.3801
28,1,CA3-DG,1,1,5,8000,0.0466,0,0.0,-0.0194,0,0.6665,0.2519
28,1,CA3-DG,2,6,10,8000,0.1385,1,0.0097,-0.0791,0,0.8715,0.2846
28,1,CA3-DG,3,11,15,8000,0.1775,1,0.016,-0.0638,0,0.6923,0.1847
28,1,CA3-DG,4,16,20,8000,0.2197,3,0.0914,-0.1229,0,0.7156,0.5105
28,1,CA3-DG,5,21,25,8000,0.1613,1,0.0132,-0.0035,0,0.7711,0.196
28,1,CA3-DG,6,26,30,8000,0.1308,1,0.0086,-0.0263,0,0.6256,0.1715
34,1,CA1-CA3,1,1,5,8000,0.8833,2,0.8069,0.045,0,0.9116,0.7509
34,1,CA1-CA3,2,6,10,8000,0.2921,1,0.0446,0.04,0,0.344,0.6837
