animal,learner,pair,bin,trial_lo,trial_hi,n_bins,cc1,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y
28,1,CA1-CA3,1,1,5,8000,0.2196,1,0.0247,0.043,0,0.3396,0.6477
28,1,CA1-CA3,2,6,10,8000,0.1759,2,0.0291,0.0373,0,0.2479,0.8642
28,1,CA1-CA3,3,11,15,8000,0.1966,1,0.0197,0.0257,0,0.7296,0.6687
28,1,CA1-CA3,4,16,20,8000,0.2367,3,0.0589,-0.0759,0,0.2815,0.6536
28,1,CA1-CA3,5,21,25,8000,0.1927,1,0.0327,0.0037,3,0.2724,0.7725
28,1,CA1-CA3,6,26,30,8000,0.2387,2,0.0718,0.0705,0,0.2657,0.589
28,1,CA1-DG,1,1,5,8000,0.3156,2,0.0654,-0.0544,0,0.332,0.2148
28,1,CA1-DG,2,6,10,8000,0.2945,2,0.0611,-0.0035,0,0.2784,0.2526
28,1,CA1-DG,3,11,15,8000,0.3202,2,0.0625,0.0134,0,0.6916,0.256
28,1,CA1-DG,4,16,20,8000,0.3066,2,0.0593,0.0393,0,0.3306,0.4456
28,1,CA1-DG,5,21,25,8000,0.2628,2,0.0481,0.0324,0,0.2964,0.1778
28,1,CA1-DG,6,26,30,8000,0.2145,2,0.0508,-0.005,0,0.2513,0.2685
28,1,CA1-V1,1,1,5,8000,0.1472,0,0.0,-0.0047,2,0.3518,0.4345
28,1,CA1-V1,2,6,10,8000,0.2087,0,0.0,-0.0185,-2,0.3705,0.437
28,1,CA1-V1,3,11,15,8000,0.182,0,0.0,-0.0118,-2,0.6979,0.3992
28,1,CA1-V1,4,16,20,8000,0.2046,0,0.0,-0.0098,-1,0.3025,0.4002
28,1,CA1-V1,5,21,25,8000,0.1515,0,0.0,0.0105,0,0.2919,0.3942
28,1,CA1-V1,6,26,30,8000,0.0962,0,0.0,-0.0189,-1,0.2344,0.3733
28,1,CA3-DG,1,1,5,8000,0.4704,2,0.1347,0.0204,0,0.65,0.2134
28,1,CA3-DG,2,6,10,8000,0.5195,2,0.1689,0.0163,0,0.8653,0.2221
28,1,CA3-DG,3,11,15,8000,0.5375,2,0.1799,0.0158,0,0.6706,0.2544
28,1,CA3-DG,4,16,20,8000,0.4395,4,0.1924,-0.0203,0,0.6576,0.4234
28,1,CA3-DG,5,21,25,8000,0.5148,2,0.1697,-0.004,0,0.7514,0.1754
28,1,CA3-DG,6,26,30,8000,0.481,2,0.1407,0.0104,0,0.5902,0.2855
34,1,CA1-CA3,1,1,5,8000,0.3956,2,0.1072,-0.0222,0,0.9714,0.6762
34,1,CA1-CA3,2,6,10,8000,0.5186,3,0.1889,-0.0003,0,0.3021,0.526
34,1,CA1-CA3,3,11,15,8000,0.6109,7,0.4465,-0.0296,0,0.3826,0.1633
34,1,CA1-CA3,4,16,20,8000,0.8609,3,0.7815,-0.0223,0,0.9035,0.9316
34,1,CA1-CA3,5,21,25,8000,0.5274,3,0.2395,0.0037,0,0.949,0.8517
34,1,CA1-CA3,6,26,30,8000,0.3858,5,0.2124,-0.0124,0,0.9429,0.1484
34,1,CA1-V1,1,1,5,8000,0.158,0,0.0,0.0089,0,0.8816,0.4273
34,1,CA1-V1,2,6,10,8000,0.1363,0,0.0,0.0099,1,0.3035,0.4109
34,1,CA1-V1,3,11,15,8000,0.1233,0,0.0,0.0089,3,0.3251,0.3444
34,1,CA1-V1,4,16,20,8000,0.1161,0,0.0,-0.0159,-2,0.4369,0.3273
34,1,CA1-V1,5,21,25,8000,0.018,0,0.0,0.0138,4,0.4257,0.3088
34,1,CA1-V1,6,26,30,8000,0.1351,0,0.0,-0.085,-3,0.9494,0.3285
36,1,CA1-CA3,1,1,5,8000,0.317,2,0.064,0.0093,1,0.3751,0.1314
36,1,CA1-CA3,2,6,10,8000,0.3122,2,0.0675,-0.0161,-3,0.3493,0.0744
36,1,CA1-CA3,3,11,15,8000,0.3426,2,0.079,-0.0119,0,0.3662,0.0565
36,1,CA1-CA3,4,16,20,8000,0.3524,2,0.0838,0.0048,0,0.347,0.0399
36,1,CA1-CA3,5,21,25,8000,0.2835,2,0.065,0.0479,1,0.3507,0.0433
36,1,CA1-CA3,6,26,30,8000,0.282,2,0.0605,0.0184,1,0.342,0.04
36,1,CA1-V1,1,1,5,8000,0.0267,0,0.0,-0.0349,-2,0.3405,0.081
36,1,CA1-V1,2,6,10,8000,0.1027,0,0.0,-0.0304,-5,0.3296,0.0731
36,1,CA1-V1,3,11,15,8000,0.0966,0,0.0,0.0259,2,0.3322,0.0807
36,1,CA1-V1,4,16,20,8000,0.0189,0,0.0,0.022,3,0.3142,0.0801
36,1,CA1-V1,5,21,25,8000,0.0679,0,0.0,-0.0041,0,0.3007,0.0653
36,1,CA1-V1,6,26,30,8000,0.0972,0,0.0,0.0077,1,0.2909,0.074
41,1,CA1-CA3,1,1,5,8000,1.0,3,3.3115,0.028,0,0.9013,0.9599
41,1,CA1-CA3,2,6,10,8000,0.8032,3,0.6567,0.0177,0,0.8734,0.8987
