animal,learner,pair,bin,dim,cc,sig,ifi
28,1,CA1-CA3,1,1,0.0443,0,0.0536
28,1,CA1-CA3,1,2,0.0574,0,0.0437
28,1,CA1-CA3,1,3,0.0827,0,0.0309
28,1,CA1-CA3,1,4,0.0127,0,0.0285
28,1,CA1-CA3,1,5,-0.0296,0,-0.0099
28,1,CA1-CA3,1,6,0.0184,0,-0.0695
28,1,CA1-CA3,1,7,-0.0284,0,-0.1059
28,1,CA1-CA3,2,1,0.0212,0,-0.0089
28,1,CA1-CA3,2,2,-0.0568,0,0.0169
28,1,CA1-CA3,2,3,0.0195,0,0.0082
28,1,CA1-CA3,2,4,0.0727,0,0.0312
28,1,CA1-CA3,2,5,0.1293,0,0.0513
28,1,CA1-CA3,2,6,0.0946,0,0.0911
28,1,CA1-CA3,3,1,0.0375,0,0.0371
28,1,CA1-CA3,3,2,0.0278,0,0.0004
28,1,CA1-CA3,3,3,0.0336,0,-0.0404
28,1,CA1-CA3,3,4,0.0189,0,-0.0212
28,1,CA1-CA3,3,5,0.0035,0,-0.0702
28,1,CA1-CA3,3,6,0.0126,0,-0.0511
28,1,CA1-CA3,3,7,0.0095,0,-0.0557
28,1,CA1-CA3,4,1,0.0806,0,-0.1605
28,1,CA1-CA3,4,2,-0.0685,0,-0.0229
28,1,CA1-CA3,4,3,0.0258,0,-0.0458
28,1,CA1-CA3,4,4,0.2033,1,-0.0875
28,1,CA1-CA3,4,5,0.2104,1,-0.0616
28,1,CA1-CA3,4,6,0.2089,1,-0.0576
28,1,CA1-CA3,4,7,0.2134,1,-0.0441
28,1,CA1-CA3,4,8,-0.0605,0,-0.0581
28,1,CA1-CA3,5,1,0.1325,0,0.0331
28,1,CA1-CA3,5,2,0.0018,0,-0.0321
28,1,CA1-CA3,5,3,0.0547,0,-0.0218
28,1,CA1-CA3,5,4,-0.0612,0,0.0214
28,1,CA1-CA3,5,5,-0.0098,0,-0.0144
28,1,CA1-CA3,5,6,0.015,0,-0.0307
28,1,CA1-CA3,5,7,-0.0041,0,-0.0545
28,1,CA1-CA3,5,8,0.0128,0,-0.1225
28,1,CA1-CA3,6,1,-0.0081,0,0.1085
28,1,CA1-CA3,6,2,0.0396,0,-0.0037
28,1,CA1-CA3,6,3,0.0178,0,0.0289
28,1,CA1-CA3,6,4,-0.0115,0,0.0204
28,1,CA1-CA3,6,5,0.0084,0,-0.0253
28,1,CA1-CA3,6,6,0.0148,0,0.0103
28,1,CA1-CA3,6,7,-0.0004,0,-0.0355
28,1,CA1-CA3,6,8,-0.1066,0,-0.0941
28,1,CA1-DG,1,1,0.1665,1,-0.0026
28,1,CA1-DG,1,2,0.1432,1,-0.0076
28,1,CA1-DG,1,3,-0.0235,0,-0.026
28,1,CA1-DG,1,4,-0.0229,0,-0.0335
28,1,CA1-DG,1,5,0.0377,0,-0.048
28,1,CA1-DG,1,6,0.0087,0,-0.0476
28,1,CA1-DG,1,7,0.0094,0,-0.0591
28,1,CA1-DG,1,8,0.04,0,-0.0853
28,1,CA1-DG,1,9,-0.0069,0,-0.0469
28,1,CA1-DG,1,10,-0.0451,0,-0.066
28,1,CA1-DG,1,11,0.0057,0,-0.0544
28,1,CA1-DG,1,12,0.0651,0,-0.0486
28,1,CA1-DG,2,1,0.2568,1,0.0353
28,1,CA1-DG,2,2,0.15,1,-0.0137
28,1,CA1-DG,2,3,0.0127,0,-0.0124
28,1,CA1-DG,2,4,0.044,0,0.0233
28,1,CA1-DG,2,5,0.0255,0,0.0005
28,1,CA1-DG,2,6,0.0088,0,0.0035
28,1,CA1-DG,2,7,0.0077,0,0.0239
28,1,CA1-DG,2,8,0.0045,0,0.0621
28,1,CA1-DG,2,9,-0.0278,0,0.0288
28,1,CA1-DG,2,10,0.0103,0,0.0668
28,1,CA1-DG,2,11,-0.0321,0,0.1006
28,1,CA1-DG,2,12,0.0042,0,0.0992
