animal,learner,pair,bin,dim,cc,sig,ifi
28,1,CA1-CA3,1,1,0.2196,1,0.043
28,1,CA1-CA3,1,2,0.0862,0,-0.0157
28,1,CA1-CA3,1,3,0.0123,0,0.0015
28,1,CA1-CA3,1,4,0.062,0,-0.007
28,1,CA1-CA3,1,5,0.0054,0,-0.0082
28,1,CA1-CA3,1,6,0.0413,0,-0.0073
28,1,CA1-CA3,1,7,0.0729,0,0.0025
28,1,CA1-CA3,1,8,0.061,0,-0.0269
28,1,CA1-CA3,1,9,-0.0116,0,-0.0305
28,1,CA1-CA3,1,10,0.0797,0,-0.0186
28,1,CA1-CA3,2,1,0.1759,1,0.0373
28,1,CA1-CA3,2,2,0.1628,1,0.0103
28,1,CA1-CA3,2,3,-0.0837,0,0.0273
28,1,CA1-CA3,2,4,0.0661,0,0.0492
28,1,CA1-CA3,2,5,0.0635,0,0.0415
28,1,CA1-CA3,2,6,-0.0051,0,0.0387
28,1,CA1-CA3,2,7,0.1023,0,0.02
28,1,CA1-CA3,2,8,0.1196,0,0.0446
28,1,CA1-CA3,2,9,0.0131,0,0.0805
28,1,CA1-CA3,3,1,0.1966,1,0.0257
28,1,CA1-CA3,3,2,0.1426,0,0.0504
28,1,CA1-CA3,3,3,0.0013,0,-0.016
28,1,CA1-CA3,3,4,0.0449,0,-0.0132
28,1,CA1-CA3,3,5,0.0533,0,-0.0441
28,1,CA1-CA3,3,6,0.0102,0,-0.0455
28,1,CA1-CA3,3,7,-0.0051,0,-0.0305
28,1,CA1-CA3,3,8,0.0291,0,-0.054
28,1,CA1-CA3,3,9,-0.0339,0,-0.0972
28,1,CA1-CA3,3,10,0.004,0,-0.1055
28,1,CA1-CA3,4,1,0.2367,1,-0.0759
28,1,CA1-CA3,4,2,0.164,1,-0.041
28,1,CA1-CA3,4,3,0.0168,0,-0.0511
28,1,CA1-CA3,4,4,0.0596,0,-0.0538
28,1,CA1-CA3,4,5,0.18,1,-0.0628
28,1,CA1-CA3,4,6,-0.0195,0,-0.0593
28,1,CA1-CA3,4,7,0.1418,0,-0.0739
28,1,CA1-CA3,4,8,0.0845,0,-0.086
28,1,CA1-CA3,4,9,0.0323,0,-0.0667
28,1,CA1-CA3,4,10,-0.011,0,-0.0522
28,1,CA1-CA3,4,11,0.1127,0,-0.0887
28,1,CA1-CA3,5,1,0.1927,0,0.0037
28,1,CA1-CA3,5,2,0.2516,1,-0.0114
28,1,CA1-CA3,5,3,-0.0019,0,-0.0234
28,1,CA1-CA3,5,4,0.0261,0,0.0132
28,1,CA1-CA3,5,5,0.0143,0,-0.0177
28,1,CA1-CA3,5,6,-0.038,0,-0.0026
28,1,CA1-CA3,5,7,-0.0229,0,-0.0188
28,1,CA1-CA3,5,8,0.0315,0,-0.036
28,1,CA1-CA3,5,9,0.0135,0,-0.0122
28,1,CA1-CA3,5,10,-0.0083,0,-0.0554
28,1,CA1-CA3,5,11,-0.0228,0,-0.0597
28,1,CA1-CA3,6,1,0.2387,1,0.0705
28,1,CA1-CA3,6,2,0.2854,1,0.0647
28,1,CA1-CA3,6,3,-0.041,0,0.0507
28,1,CA1-CA3,6,4,-0.016,0,0.0046
28,1,CA1-CA3,6,5,0.0493,0,0.0169
28,1,CA1-CA3,6,6,0.0518,0,0.0253
28,1,CA1-CA3,6,7,-0.0271,0,0.0041
28,1,CA1-CA3,6,8,-0.0048,0,-0.0284
28,1,CA1-CA3,6,9,0.0685,0,-0.0339
28,1,CA1-CA3,6,10,0.0207,0,-0.0172
28,1,CA1-CA3,6,11,-0.0512,0,-0.034
28,1,CA1-DG,1,1,0.3156,1,-0.0544
28,1,CA1-DG,1,2,0.1597,1,-0.0028
28,1,CA1-DG,1,3,0.0626,0,-0.0525
28,1,CA1-DG,1,4,0.0563,0,-0.0335
28,1,CA1-DG,1,5,0.013,0,-0.014
28,1,CA1-DG,1,6,-0.0141,0,-0.0326
28,1,CA1-DG,1,7,0.018,0,-0.0178
28,1,CA1-DG,1,8,0.0237,0,-0.0186
28,1,CA1-DG,1,9,0.0406,0,-0.0447
28,1,CA1-DG,1,10,-0.0145,0,-0.049
28,1,CA1-DG,1,11,-0.0089,0,-0.0514
28,1,CA1-DG,1,12,0.0522,0,-0.0612
28,1,CA1-DG,2,1,0.2945,1,-0.0035
28,1,CA1-DG,2,2,0.1758,1,-0.0128
28,1,CA1-DG,2,3,0.0512,0,-0.0019
28,1,CA1-DG,2,4,0.0345,0,0.01
28,1,CA1-DG,2,5,0.0231,0,0.0009
28,1,CA1-DG,2,6,0.0112,0,0.0059
28,1,CA1-DG,2,7,0.0055,0,0.0043
28,1,CA1-DG,2,8,0.0088,0,0.0421
28,1,CA1-DG,2,9,0.0109,0,0.0239
28,1,CA1-DG,2,10,0.003,0,0.0335
28,1,CA1-DG,2,11,0.0085,0,0.0141
28,1,CA1-DG,2,12,0.0063,0,0.006
28,1,CA1-DG,3,1,0.3202,1,0.0134
28,1,CA1-DG,3,2,0.1291,1,0.0307
28,1,CA1-DG,3,3,0.0371,0,0.0095
28,1,CA1-DG,3,4,0.0957,0,0.0023
28,1,CA1-DG,3,5,0.0229,0,0.0146
28,1,CA1-DG,3,6,0.043,0,-0.0276
28,1,CA1-DG,3,7,-0.0569,0,-0.0239
28,1,CA1-DG,3,8,-0.003,0,-0.017
28,1,CA1-DG,3,9,-0.0108,0,-0.0172
28,1,CA1-DG,3,10,0.017,0,-0.0223
28,1,CA1-DG,3,11,0.0076,0,-0.0044
28,1,CA1-DG,3,12,-0.0737,0,0.0391
28,1,CA1-DG,4,1,0.3066,1,0.0393
28,1,CA1-DG,4,2,0.119,0,-0.0199
28,1,CA1-DG,4,3,0.0849,0,-0.0459
28,1,CA1-DG,4,4,0.0372,0,-0.0173
28,1,CA1-DG,4,5,0.068,0,-0.0128
28,1,CA1-DG,4,6,0.0787,0,0.0058
28,1,CA1-DG,4,7,0.0254,0,-0.0177
28,1,CA1-DG,4,8,0.0033,0,0.0118
28,1,CA1-DG,4,9,0.0705,0,-0.0072
28,1,CA1-DG,4,10,0.0052,0,-0.0309
28,1,CA1-DG,4,11,-0.0234,0,-0.0318
28,1,CA1-DG,4,12,0.1407,1,-0.0505
28,1,CA1-DG,4,13,-0.0913,0,-0.0646
28,1,CA1-DG,5,1,0.2628,1,0.0324
28,1,CA1-DG,5,2,0.1558,1,-0.0285
28,1,CA1-DG,5,3,0.0784,0,-0.0256
28,1,CA1-DG,5,4,0.0416,0,0.0
28,1,CA1-DG,5,5,0.0021,0,0.0002
28,1,CA1-DG,5,6,0.0085,0,0.0409
28,1,CA1-DG,5,7,-0.0771,0,-0.002
28,1,CA1-DG,5,8,-0.0252,0,0.0002
28,1,CA1-DG,5,9,0.0077,0,0.0085
28,1,CA1-DG,5,10,-0.0121,0,0.0106
28,1,CA1-DG,5,11,-0.0056,0,0.0204
28,1,CA1-DG,5,12,-0.0056,0,0.0049
28,1,CA1-DG,6,1,0.2145,1,-0.005
28,1,CA1-DG,6,2,0.2303,1,-0.0502
28,1,CA1-DG,6,3,0.0751,0,-0.0229
28,1,CA1-DG,6,4,0.01,0,0.0084
28,1,CA1-DG,6,5,0.0032,0,0.025
28,1,CA1-DG,6,6,-0.0369,0,-0.0184
28,1,CA1-DG,6,7,0.1063,0,0.023
28,1,CA1-DG,6,8,-0.017,0,0.0074
28,1,CA1-DG,6,9,-0.0011,0,-0.011
28,1,CA1-DG,6,10,0.1114,0,0.0204
28,1,CA1-DG,6,11,0.0358,0,0.0059
28,1,CA1-DG,6,12,-0.0729,0,-0.0006
28,1,CA1-DG,6,13,0.1064,0,0.0254
28,1,CA1-V1,1,1,0.1472,0,-0.0047
28,1,CA1-V1,1,2,0.0208,0,-0.0089
28,1,CA1-V1,1,3,0.0507,0,-0.0162
28,1,CA1-V1,1,4,0.034,0,0.0164
28,1,CA1-V1,1,5,-0.005,0,0.0276
28,1,CA1-V1,1,6,-0.0063,0,0.0128
28,1,CA1-V1,1,7,-0.0088,0,-0.0081
28,1,CA1-V1,1,8,0.0514,0,0.0114
28,1,CA1-V1,1,9,0.0072,0,0.0004
28,1,CA1-V1,1,10,-0.0004,0,0.0005
28,1,CA1-V1,1,11,0.0056,0,-0.0061
28,1,CA1-V1,1,12,0.0281,0,-0.0009
28,1,CA1-V1,1,13,0.0126,0,0.001
28,1,CA1-V1,1,14,-0.0014,0,0.0002
28,1,CA1-V1,1,15,0.0189,0,-0.0051
28,1,CA1-V1,1,16,0.0658,0,-0.002
28,1,CA1-V1,1,17,0.0138,0,0.0026
28,1,CA1-V1,1,18,-0.0416,0,0.0103
28,1,CA1-V1,1,19,0.0037,0,0.0316
28,1,CA1-V1,1,20,-0.0153,0,0.0226
28,1,CA1-V1,1,21,0.0011,0,0.0255
28,1,CA1-V1,1,22,0.0206,0,0.0512
28,1,CA1-V1,1,23,-0.0091,0,0.0276
28,1,CA1-V1,1,24,0.0084,0,0.0599
28,1,CA1-V1,1,25,-0.0027,0,0.0528
28,1,CA1-V1,1,26,0.0146,0,0.091
28,1,CA1-V1,1,27,-0.0063,0,0.1139
28,1,CA1-V1,1,28,-0.0136,0,0.1033
28,1,CA1-V1,1,29,-0.0162,0,0.2712
28,1,CA1-V1,2,1,0.2087,0,-0.0185
28,1,CA1-V1,2,2,0.1123,0,0.0122
28,1,CA1-V1,2,3,0.0576,0,-0.0021
28,1,CA1-V1,2,4,0.008,0,-0.0084
28,1,CA1-V1,2,5,0.0426,0,0.0037
28,1,CA1-V1,2,6,0.0061,0,-0.0052
28,1,CA1-V1,2,7,0.0162,0,-0.0085
28,1,CA1-V1,2,8,-0.0133,0,-0.008
