animal,learner,pair,bin,area,unit,contrib
28,1,CA1-CA3,1,CA1,0,0.715417
28,1,CA1-CA3,1,CA1,1,0.394109
28,1,CA1-CA3,1,CA1,2,0.276215
28,1,CA1-CA3,1,CA1,3,0.680517
28,1,CA1-CA3,1,CA1,4,0.39963
28,1,CA1-CA3,1,CA1,5,0.327321
28,1,CA1-CA3,1,CA1,6,0.639281
28,1,CA1-CA3,1,CA1,7,0.860303
28,1,CA1-CA3,1,CA1,8,1.03634
28,1,CA1-CA3,1,CA1,9,0.587472
28,1,CA1-CA3,1,CA1,10,0.815716
28,1,CA1-CA3,1,CA1,11,0.517428
28,1,CA1-CA3,1,CA1,12,0.373068
28,1,CA1-CA3,1,CA1,13,0.0
28,1,CA1-CA3,1,CA1,14,0.440781
28,1,CA1-CA3,1,CA1,15,0.558143
28,1,CA1-CA3,1,CA1,16,0.443259
28,1,CA1-CA3,1,CA1,17,0.697731
28,1,CA1-CA3,1,CA1,18,0.548297
28,1,CA1-CA3,1,CA1,19,2.622367
28,1,CA1-CA3,1,CA1,20,0.667742
28,1,CA1-CA3,1,CA1,21,1.572024
28,1,CA1-CA3,1,CA1,22,0.584762
28,1,CA1-CA3,1,CA1,23,0.375017
28,1,CA1-CA3,1,CA3,0,1.074143
28,1,CA1-CA3,1,CA3,1,1.842205
28,1,CA1-CA3,1,CA3,2,2.791333
28,1,CA1-CA3,1,CA3,3,0.0
28,1,CA1-CA3,1,CA3,4,0.0
28,1,CA1-CA3,1,CA3,5,1.685847
28,1,CA1-CA3,1,CA3,6,0.0
28,1,CA1-CA3,1,CA3,7,6.00858
28,1,CA1-CA3,1,CA3,8,4.846226
28,1,CA1-CA3,1,CA3,9,1.669248
28,1,CA1-CA3,1,CA3,10,0.0
28,1,CA1-CA3,1,CA3,11,11.357376
28,1,CA1-CA3,2,CA1,0,0.388601
28,1,CA1-CA3,2,CA1,1,0.239628
28,1,CA1-CA3,2,CA1,2,1.177468
28,1,CA1-CA3,2,CA1,3,1.23423
28,1,CA1-CA3,2,CA1,4,0.300281
28,1,CA1-CA3,2,CA1,5,0.310742
28,1,CA1-CA3,2,CA1,6,0.211708
28,1,CA1-CA3,2,CA1,7,0.456974
28,1,CA1-CA3,2,CA1,8,0.622132
