animal,learner,pair,bin,area,unit,contrib
28,1,CA1-CA3,1,CA1,0,0.759756
28,1,CA1-CA3,1,CA1,1,0.767271
28,1,CA1-CA3,1,CA1,2,0.629232
28,1,CA1-CA3,1,CA1,3,0.313504
28,1,CA1-CA3,1,CA1,4,0.274707
28,1,CA1-CA3,1,CA1,5,0.599664
28,1,CA1-CA3,1,CA1,6,0.205687
28,1,CA1-CA3,1,CA1,7,0.294378
28,1,CA1-CA3,1,CA1,8,0.39307
28,1,CA1-CA3,1,CA1,9,1.110932
28,1,CA1-CA3,1,CA1,10,0.696576
28,1,CA1-CA3,1,CA1,11,0.854772
28,1,CA1-CA3,1,CA1,12,0.779262
28,1,CA1-CA3,1,CA1,13,0.454908
28,1,CA1-CA3,1,CA1,14,0.705207
28,1,CA1-CA3,1,CA1,15,0.454215
28,1,CA1-CA3,1,CA1,16,0.389313
28,1,CA1-CA3,1,CA1,17,0.0
28,1,CA1-CA3,1,CA1,18,0.482076
28,1,CA1-CA3,1,CA1,19,0.598523
28,1,CA1-CA3,1,CA1,20,0.386613
28,1,CA1-CA3,1,CA1,21,0.654208
28,1,CA1-CA3,1,CA1,22,0.556646
28,1,CA1-CA3,1,CA1,23,2.596394
28,1,CA1-CA3,1,CA1,24,0.642167
28,1,CA1-CA3,1,CA1,25,1.439597
28,1,CA1-CA3,1,CA1,26,1.152544
28,1,CA1-CA3,1,CA1,27,0.727171
28,1,CA1-CA3,1,CA1,28,0.57934
28,1,CA1-CA3,1,CA1,29,0.239286
28,1,CA1-CA3,1,CA3,0,1.076497
28,1,CA1-CA3,1,CA3,1,1.110324
28,1,CA1-CA3,1,CA3,2,1.842633
28,1,CA1-CA3,1,CA3,3,2.795373
28,1,CA1-CA3,1,CA3,4,0.0
28,1,CA1-CA3,1,CA3,5,0.0
28,1,CA1-CA3,1,CA3,6,1.685971
28,1,CA1-CA3,1,CA3,7,0.0
28,1,CA1-CA3,1,CA3,8,6.010162
28,1,CA1-CA3,1,CA3,9,4.847551
28,1,CA1-CA3,1,CA3,10,0.786762
28,1,CA1-CA3,1,CA3,11,1.67265
28,1,CA1-CA3,1,CA3,12,1.207564
28,1,CA1-CA3,1,CA3,13,0.0
28,1,CA1-CA3,1,CA3,14,11.362072
28,1,CA1-CA3,2,CA1,0,0.366912
28,1,CA1-CA3,2,CA1,1,0.512444
28,1,CA1-CA3,2,CA1,2,0.634858
28,1,CA1-CA3,2,CA1,3,0.240099
28,1,CA1-CA3,2,CA1,4,1.165054
28,1,CA1-CA3,2,CA1,5,1.180936
28,1,CA1-CA3,2,CA1,6,0.377218
28,1,CA1-CA3,2,CA1,7,0.388845
28,1,CA1-CA3,2,CA1,8,0.32793
28,1,CA1-CA3,2,CA1,9,0.868107
28,1,CA1-CA3,2,CA1,10,0.223691
28,1,CA1-CA3,2,CA1,11,0.426954
28,1,CA1-CA3,2,CA1,12,0.754302
28,1,CA1-CA3,2,CA1,13,0.832018
28,1,CA1-CA3,2,CA1,14,0.723969
28,1,CA1-CA3,2,CA1,15,0.711785
28,1,CA1-CA3,2,CA1,16,0.380556
28,1,CA1-CA3,2,CA1,17,0.779169
28,1,CA1-CA3,2,CA1,18,0.408194
28,1,CA1-CA3,2,CA1,19,0.454632
28,1,CA1-CA3,2,CA1,20,0.479502
28,1,CA1-CA3,2,CA1,21,0.591071
28,1,CA1-CA3,2,CA1,22,0.244947
28,1,CA1-CA3,2,CA1,23,1.075438
28,1,CA1-CA3,2,CA1,24,0.676219
28,1,CA1-CA3,2,CA1,25,0.885441
28,1,CA1-CA3,2,CA1,26,0.52785
28,1,CA1-CA3,2,CA1,27,0.681293
28,1,CA1-CA3,2,CA1,28,0.587504
28,1,CA1-CA3,2,CA1,29,0.49373
28,1,CA1-CA3,2,CA3,0,1.01058
28,1,CA1-CA3,2,CA3,1,1.073092
28,1,CA1-CA3,2,CA3,2,35.921287
28,1,CA1-CA3,2,CA3,3,1.515393
28,1,CA1-CA3,2,CA3,4,0.0
28,1,CA1-CA3,2,CA3,5,0.578733
28,1,CA1-CA3,2,CA3,6,1.704139
28,1,CA1-CA3,2,CA3,7,0.0
28,1,CA1-CA3,2,CA3,8,0.0
28,1,CA1-CA3,2,CA3,9,0.0
28,1,CA1-CA3,2,CA3,10,0.801498
28,1,CA1-CA3,2,CA3,11,1.436378
28,1,CA1-CA3,2,CA3,12,1.246479
28,1,CA1-CA3,2,CA3,13,39.92024
28,1,CA1-CA3,2,CA3,14,0.0
28,1,CA1-CA3,3,CA1,0,0.423407
28,1,CA1-CA3,3,CA1,1,0.501639
28,1,CA1-CA3,3,CA1,2,0.726306
28,1,CA1-CA3,3,CA1,3,0.275621
28,1,CA1-CA3,3,CA1,4,1.330944
28,1,CA1-CA3,3,CA1,5,1.350017
28,1,CA1-CA3,3,CA1,6,0.744797
28,1,CA1-CA3,3,CA1,7,0.706652
28,1,CA1-CA3,3,CA1,8,0.303914
28,1,CA1-CA3,3,CA1,9,0.866997
28,1,CA1-CA3,3,CA1,10,0.395043
28,1,CA1-CA3,3,CA1,11,0.532811
28,1,CA1-CA3,3,CA1,12,0.970649
28,1,CA1-CA3,3,CA1,13,1.577698
28,1,CA1-CA3,3,CA1,14,0.313649
28,1,CA1-CA3,3,CA1,15,0.542755
28,1,CA1-CA3,3,CA1,16,0.240746
28,1,CA1-CA3,3,CA1,17,35.847687
28,1,CA1-CA3,3,CA1,18,0.947053
28,1,CA1-CA3,3,CA1,19,0.580963
28,1,CA1-CA3,3,CA1,20,0.637981
28,1,CA1-CA3,3,CA1,21,0.574709
28,1,CA1-CA3,3,CA1,22,0.362015
28,1,CA1-CA3,3,CA1,23,0.622168
28,1,CA1-CA3,3,CA1,24,0.339602
28,1,CA1-CA3,3,CA1,25,2.308576
28,1,CA1-CA3,3,CA1,26,0.54457
28,1,CA1-CA3,3,CA1,27,0.757666
28,1,CA1-CA3,3,CA1,28,0.730687
28,1,CA1-CA3,3,CA1,29,0.72362
28,1,CA1-CA3,3,CA3,0,0.958593
28,1,CA1-CA3,3,CA3,1,1.105064
