animal,learner,pair,center_trial,trial_frac,performance,lp_rel,n_bins,cc1,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y,gini_x_conn,gini_y_conn,gini_x_sig,gini_y_sig,gini_pearson_x,gini_pearson_y,rot_x,rot_y,rot_x_cc1,rot_y_cc1,jac_x,jac_y,sh_x,sh_y,sh_x_cc1,sh_y_cc1
28,1,CA1-CA3,8.0,0.0515,0.0162,-61.0,16000,0.1968,4,0.0666,0.0313,0,0.3454,0.6506,0.4311,0.6742,0.4257,0.6266,0.4115,0.5971,nan,nan,nan,nan,,,82.6,88.45,65.02,79.11
28,1,CA1-CA3,13.0,0.0882,0.0162,-56.0,16000,0.2265,2,0.0406,0.0354,0,0.1975,0.6532,0.4572,0.6518,0.4675,0.6754,0.4065,0.5993,86.94,84.43,26.94,41.66,0.3333,0.0,88.98,88.56,47.88,82.3
28,1,CA1-CA3,18.0,0.125,0.0833,-51.0,14000,0.2181,2,0.0374,0.0062,0,0.3279,0.6778,0.4359,0.5714,0.4645,0.5656,0.3335,0.4808,77.69,70.56,27.82,37.61,0.4545,0.6,85.27,85.2,53.94,84.09
28,1,CA1-CA3,23.0,0.1618,0.1389,-46.0,12000,0.2054,2,0.0372,0.0127,5,0.2511,0.6244,0.3498,0.5046,0.4631,0.521,0.3351,0.4631,60.64,77.82,32.93,25.74,0.6,1.0,86.83,73.6,85.22,84.83
28,1,CA1-CA3,28.0,0.1985,0.2667,-41.0,12000,0.1909,2,0.0351,-0.0178,0,0.2483,0.555,0.4209,0.4096,0.4825,0.4348,0.4082,0.458,76.06,81.69,24.78,18.31,0.4545,0.6,83.96,88.5,43.58,88.1
28,1,CA1-CA3,33.0,0.2353,0.27,-36.0,14000,0.4,4,0.2325,0.0238,0,0.8161,0.8908,0.9477,0.922,0.9296,0.9181,0.5408,0.5502,90.0,90.0,90.0,79.22,0.4545,0.1429,37.66,0.0,0.0,23.23
28,1,CA1-CA3,38.0,0.2721,0.3182,-31.0,12000,0.2438,2,0.0599,-0.0553,0,0.1667,0.5982,0.3716,0.549,0.4792,0.5863,0.3794,0.5325,86.44,90.0,88.1,86.93,0.3333,0.3333,87.0,77.62,27.49,76.29
28,1,CA1-CA3,43.0,0.3088,0.3746,-26.0,14000,0.2319,2,0.0536,-0.0484,0,0.2036,0.5952,0.3971,0.5313,0.4454,0.5418,0.3659,0.5574,59.66,34.23,27.21,31.94,0.4545,0.3333,80.71,84.4,69.7,63.76
28,1,CA1-CA3,48.0,0.3456,0.3465,-21.0,14000,0.2413,2,0.0531,-0.0685,0,0.1947,0.6114,0.3727,0.582,0.4391,0.557,0.3468,0.5098,59.84,38.17,25.14,29.01,0.7778,0.6,87.41,68.01,64.18,56.82
28,1,CA1-CA3,53.0,0.3824,0.3593,-16.0,14000,0.2491,2,0.0546,-0.0811,0,0.2041,0.6459,0.4261,0.5099,0.5044,0.5731,0.4016,0.5388,40.9,37.65,19.76,18.43,0.3333,0.6,88.27,89.09,69.16,58.72
28,1,CA1-CA3,58.0,0.4191,0.3158,-11.0,14000,0.2201,6,0.1365,0.0746,2,0.2233,0.9612,0.2715,0.9612,0.2882,0.9612,0.2849,0.3475,78.96,89.98,31.69,83.49,0.2308,0.3333,75.44,84.38,85.94,0.0
28,1,CA1-CA3,63.0,0.4559,0.3796,-6.0,14000,0.0288,3,0.0786,-0.0371,0,0.1989,0.9008,0.3095,0.9008,0.3268,0.9008,0.2934,0.3235,43.96,56.88,28.27,21.3,0.4545,0.6,80.7,53.81,74.41,6.75
28,1,CA1-CA3,68.0,0.4926,0.476,-1.0,14000,0.2,4,0.0562,-0.0726,0,0.1824,0.6163,0.276,0.466,0.3275,0.4837,0.3413,0.5043,85.33,89.24,40.48,82.12,0.6,0.3333,46.71,61.46,44.21,84.13
28,1,CA1-CA3,73.0,0.5294,0.5182,4.0,14000,-0.0626,4,0.1861,-0.0263,0,0.212,0.9697,0.2922,0.9697,0.2711,0.9697,0.2589,0.3673,87.45,89.14,25.89,84.99,0.4545,0.6,56.42,57.66,37.13,0.0
28,1,CA1-CA3,78.0,0.5662,0.6613,9.0,14000,-0.0507,4,0.1205,-0.0306,0,0.205,0.94,0.2867,0.94,0.2914,0.94,0.3016,0.3845,51.76,89.53,73.8,38.57,0.4545,0.6,85.82,73.26,87.26,0.0
28,1,CA1-CA3,83.0,0.6029,0.7651,14.0,16000,-0.0478,5,0.1222,-0.0672,0,0.7681,0.1231,0.7105,0.209,0.718,0.218,0.2892,0.3366,83.82,84.07,87.32,84.56,0.3333,0.1429,74.97,50.14,2.16,33.29
28,1,CA1-CA3,88.0,0.6397,0.9155,19.0,14000,0.1577,2,0.0248,0.0688,0,0.1913,0.2297,0.3128,0.3771,0.3756,0.5373,0.2834,0.3232,85.23,47.86,88.07,81.3,0.3333,0.3333,85.01,88.15,61.25,58.04
28,1,CA1-CA3,93.0,0.6765,0.9833,24.0,14000,0.0004,2,0.0463,0.0052,0,0.2489,0.2534,0.3777,0.253,0.4221,0.436,0.3107,0.2434,67.72,64.26,35.63,42.43,0.4545,0.3333,65.1,64.42,51.66,36.21
28,1,CA1-CA3,98.0,0.7132,1.0,29.0,14000,0.2648,2,0.0575,-0.0224,0,0.2436,0.2125,0.3432,0.3827,0.4074,0.5119,0.2929,0.2813,51.78,45.19,48.8,39.24,0.6,0.6,82.52,87.29,60.75,56.3
28,1,CA1-CA3,103.0,0.75,0.9333,34.0,14000,0.327,5,0.1458,-0.0328,0,0.3318,0.2134,0.4083,0.3068,0.4076,0.3086,0.2582,0.2139,66.45,57.56,61.63,65.87,0.4545,0.6,76.8,84.92,81.28,78.11
28,1,CA1-CA3,108.0,0.7868,0.8565,39.0,14000,0.1968,1,0.0197,-0.0091,0,0.3185,0.2002,0.3704,0.455,0.5167,0.6851,0.2449,0.2594,61.57,70.55,17.88,18.79,0.4545,0.3333,79.67,79.02,61.44,29.96
28,1,CA1-CA3,113.0,0.8235,0.7989,44.0,18000,0.1945,2,0.0279,-0.0114,0,0.2466,0.186,0.3855,0.4402,0.4166,0.5836,0.2906,0.3033,77.04,45.51,33.93,18.97,0.6,0.6,88.09,84.54,81.3,78.98
28,1,CA1-CA3,118.0,0.8603,0.7434,49.0,16000,0.2296,1,0.0271,-0.0121,0,0.2389,0.2802,0.3878,0.3981,0.6175,0.5332,0.3221,0.2399,47.79,44.68,32.72,13.62,0.3333,0.6,61.49,52.56,44.61,17.34
28,1,CA1-CA3,123.0,0.8971,0.7314,54.0,14000,0.2368,4,0.0721,-0.0536,0,0.2801,0.3363,0.2929,0.3492,0.3096,0.3483,0.2874,0.2545,62.26,45.32,37.19,29.85,0.4545,1.0,89.05,81.39,41.24,23.3
28,1,CA1-CA3,128.0,0.9338,0.6867,59.0,14000,0.1654,1,0.0139,0.0497,0,0.3155,0.273,0.3459,0.3682,0.5522,0.5506,0.2088,0.2741,68.52,40.08,47.65,27.9,0.6,0.3333,78.13,85.55,56.47,71.81
