animal,learner,pair,center_trial,trial_frac,performance,lp_rel,dim,cc,ifi,lag,sig
28,1,CA1-CA3,8.0,0.0515,0.0162,-61.0,0,0.1968,0.0313,0,1
28,1,CA1-CA3,8.0,0.0515,0.0162,-61.0,1,0.1157,-0.0891,0,1
28,1,CA1-CA3,8.0,0.0515,0.0162,-61.0,2,0.0191,-0.0663,0,0
28,1,CA1-CA3,8.0,0.0515,0.0162,-61.0,3,0.0833,-0.0248,0,0
28,1,CA1-CA3,8.0,0.0515,0.0162,-61.0,4,0.1389,-0.0269,0,1
28,1,CA1-CA3,8.0,0.0515,0.0162,-61.0,5,-0.0144,0.008,1,0
28,1,CA1-CA3,8.0,0.0515,0.0162,-61.0,6,0.0273,-0.017,0,0
28,1,CA1-CA3,8.0,0.0515,0.0162,-61.0,7,0.2429,-0.0034,0,1
28,1,CA1-CA3,8.0,0.0515,0.0162,-61.0,8,-0.1158,-0.0327,5,0
28,1,CA1-CA3,8.0,0.0515,0.0162,-61.0,9,-0.0205,-0.048,-5,0
28,1,CA1-CA3,13.0,0.0882,0.0162,-56.0,0,0.2265,0.0354,0,1
28,1,CA1-CA3,13.0,0.0882,0.0162,-56.0,1,0.1681,-0.0886,0,1
28,1,CA1-CA3,13.0,0.0882,0.0162,-56.0,2,0.0162,-0.0647,-5,0
28,1,CA1-CA3,13.0,0.0882,0.0162,-56.0,3,-0.0202,-0.0638,-5,0
28,1,CA1-CA3,13.0,0.0882,0.0162,-56.0,4,-0.0358,-0.0734,-5,0
28,1,CA1-CA3,13.0,0.0882,0.0162,-56.0,5,0.0101,-0.0394,-1,0
28,1,CA1-CA3,13.0,0.0882,0.0162,-56.0,6,0.0176,-0.0517,-1,0
28,1,CA1-CA3,13.0,0.0882,0.0162,-56.0,7,-0.0108,-0.0561,-1,0
28,1,CA1-CA3,13.0,0.0882,0.0162,-56.0,8,-0.0219,-0.042,-5,0
28,1,CA1-CA3,13.0,0.0882,0.0162,-56.0,9,-0.0034,-0.0308,-2,0
28,1,CA1-CA3,18.0,0.125,0.0833,-51.0,0,0.2181,0.0062,0,1
28,1,CA1-CA3,18.0,0.125,0.0833,-51.0,1,0.1603,-0.0094,0,1
28,1,CA1-CA3,18.0,0.125,0.0833,-51.0,2,-0.0124,-0.0031,1,0
28,1,CA1-CA3,18.0,0.125,0.0833,-51.0,3,-0.0257,-0.0274,0,0
28,1,CA1-CA3,18.0,0.125,0.0833,-51.0,4,0.043,-0.0302,0,0
28,1,CA1-CA3,18.0,0.125,0.0833,-51.0,5,0.0282,-0.0038,0,0
28,1,CA1-CA3,18.0,0.125,0.0833,-51.0,6,0.0165,0.0056,0,0
28,1,CA1-CA3,18.0,0.125,0.0833,-51.0,7,-0.0083,-0.0496,0,0
28,1,CA1-CA3,18.0,0.125,0.0833,-51.0,8,-0.0799,-0.0773,0,0
28,1,CA1-CA3,18.0,0.125,0.0833,-51.0,9,-0.0196,-0.1021,0,0
28,1,CA1-CA3,23.0,0.1618,0.1389,-46.0,0,0.2054,0.0127,5,1
28,1,CA1-CA3,23.0,0.1618,0.1389,-46.0,1,0.1755,-0.0079,0,1
28,1,CA1-CA3,23.0,0.1618,0.1389,-46.0,2,0.0464,-0.064,-3,0
28,1,CA1-CA3,23.0,0.1618,0.1389,-46.0,3,0.0098,-0.0854,-2,0
28,1,CA1-CA3,23.0,0.1618,0.1389,-46.0,4,0.0799,-0.0979,-2,0
28,1,CA1-CA3,23.0,0.1618,0.1389,-46.0,5,0.0798,-0.0937,-2,0
28,1,CA1-CA3,23.0,0.1618,0.1389,-46.0,6,0.0142,-0.0716,-2,0
28,1,CA1-CA3,23.0,0.1618,0.1389,-46.0,7,0.0133,-0.0698,-3,0
28,1,CA1-CA3,23.0,0.1618,0.1389,-46.0,8,0.0558,-0.0748,-3,0
28,1,CA1-CA3,23.0,0.1618,0.1389,-46.0,9,0.0259,-0.0753,-2,0
28,1,CA1-CA3,23.0,0.1618,0.1389,-46.0,10,0.0045,-0.0707,-3,0
28,1,CA1-CA3,23.0,0.1618,0.1389,-46.0,11,0.0354,-0.0616,-3,0
28,1,CA1-CA3,28.0,0.1985,0.2667,-41.0,0,0.1909,-0.0178,0,1
28,1,CA1-CA3,28.0,0.1985,0.2667,-41.0,1,0.1805,0.0959,0,1
28,1,CA1-CA3,28.0,0.1985,0.2667,-41.0,2,0.0111,0.0361,5,0
28,1,CA1-CA3,28.0,0.1985,0.2667,-41.0,3,-0.0134,-0.0059,-1,0
28,1,CA1-CA3,28.0,0.1985,0.2667,-41.0,4,0.0681,-0.0099,0,0
28,1,CA1-CA3,28.0,0.1985,0.2667,-41.0,5,-0.0124,-0.0074,-1,0
28,1,CA1-CA3,28.0,0.1985,0.2667,-41.0,6,0.024,-0.0003,1,0
28,1,CA1-CA3,28.0,0.1985,0.2667,-41.0,7,-0.0297,-0.0003,1,0
28,1,CA1-CA3,28.0,0.1985,0.2667,-41.0,8,-0.0129,0.0345,-1,0
28,1,CA1-CA3,28.0,0.1985,0.2667,-41.0,9,0.0249,0.0002,-2,0
28,1,CA1-CA3,28.0,0.1985,0.2667,-41.0,10,-0.0182,-0.0182,-2,0
28,1,CA1-CA3,33.0,0.2353,0.27,-36.0,0,0.3955,0.0238,0,1
28,1,CA1-CA3,33.0,0.2353,0.27,-36.0,1,0.4015,0.0472,0,1
28,1,CA1-CA3,33.0,0.2353,0.27,-36.0,2,-0.1523,0.0312,0,0
28,1,CA1-CA3,33.0,0.2353,0.27,-36.0,3,0.2797,0.0042,-1,1
28,1,CA1-CA3,33.0,0.2353,0.27,-36.0,4,0.1817,0.0242,0,1
28,1,CA1-CA3,33.0,0.2353,0.27,-36.0,5,-0.2091,0.0181,0,0
28,1,CA1-CA3,33.0,0.2353,0.27,-36.0,6,-0.1572,-0.0196,-1,0
28,1,CA1-CA3,33.0,0.2353,0.27,-36.0,7,-0.1418,0.0049,-1,0
28,1,CA1-CA3,33.0,0.2353,0.27,-36.0,8,-0.2322,-0.0196,-1,0
28,1,CA1-CA3,33.0,0.2353,0.27,-36.0,9,0.1063,-0.0048,-1,0
28,1,CA1-CA3,33.0,0.2353,0.27,-36.0,10,-0.3429,0.0122,-1,0
28,1,CA1-CA3,33.0,0.2353,0.27,-36.0,11,-0.2772,-0.0049,-1,0
28,1,CA1-CA3,38.0,0.2721,0.3182,-31.0,0,0.2438,-0.0553,0,1
28,1,CA1-CA3,38.0,0.2721,0.3182,-31.0,1,0.2386,-0.0053,0,1
28,1,CA1-CA3,38.0,0.2721,0.3182,-31.0,2,-0.0038,-0.0278,0,0
28,1,CA1-CA3,38.0,0.2721,0.3182,-31.0,3,0.1031,-0.0346,3,0
28,1,CA1-CA3,38.0,0.2721,0.3182,-31.0,4,0.0356,-0.0448,-4,0
28,1,CA1-CA3,38.0,0.2721,0.3182,-31.0,5,-0.0398,-0.0642,-1,0
28,1,CA1-CA3,38.0,0.2721,0.3182,-31.0,6,-0.011,-0.0432,-2,0
28,1,CA1-CA3,38.0,0.2721,0.3182,-31.0,7,-0.0832,-0.0466,-3,0
28,1,CA1-CA3,38.0,0.2721,0.3182,-31.0,8,-0.0062,-0.0197,2,0
28,1,CA1-CA3,38.0,0.2721,0.3182,-31.0,9,0.0792,0.0078,-1,0
28,1,CA1-CA3,43.0,0.3088,0.3746,-26.0,0,0.2319,-0.0484,0,1
28,1,CA1-CA3,43.0,0.3088,0.3746,-26.0,1,0.2249,0.0303,0,1
28,1,CA1-CA3,43.0,0.3088,0.3746,-26.0,2,0.0907,-0.0335,0,0
28,1,CA1-CA3,43.0,0.3088,0.3746,-26.0,3,0.0111,-0.031,-3,0
28,1,CA1-CA3,43.0,0.3088,0.3746,-26.0,4,0.0136,-0.0362,0,0
28,1,CA1-CA3,43.0,0.3088,0.3746,-26.0,5,0.0021,-0.0279,0,0
28,1,CA1-CA3,43.0,0.3088,0.3746,-26.0,6,0.0051,-0.0436,3,0
28,1,CA1-CA3,43.0,0.3088,0.3746,-26.0,7,-0.0007,-0.0466,-3,0
28,1,CA1-CA3,43.0,0.3088,0.3746,-26.0,8,0.0197,-0.0165,-4,0
28,1,CA1-CA3,43.0,0.3088,0.3746,-26.0,9,0.0239,0.0348,5,0
28,1,CA1-CA3,43.0,0.3088,0.3746,-26.0,10,0.0071,0.0409,3,0
28,1,CA1-CA3,48.0,0.3456,0.3465,-21.0,0,0.2413,-0.0685,0,1
28,1,CA1-CA3,48.0,0.3456,0.3465,-21.0,1,0.2123,0.0735,0,1
28,1,CA1-CA3,48.0,0.3456,0.3465,-21.0,2,0.0711,0.0516,2,0
28,1,CA1-CA3,48.0,0.3456,0.3465,-21.0,3,0.0407,0.0915,2,0
28,1,CA1-CA3,48.0,0.3456,0.3465,-21.0,4,0.0238,0.0825,2,0
28,1,CA1-CA3,48.0,0.3456,0.3465,-21.0,5,0.0429,0.0094,2,0
28,1,CA1-CA3,48.0,0.3456,0.3465,-21.0,6,0.0391,0.0489,2,0
28,1,CA1-CA3,48.0,0.3456,0.3465,-21.0,7,0.0207,0.0408,2,0
28,1,CA1-CA3,48.0,0.3456,0.3465,-21.0,8,0.0155,0.0588,2,0
28,1,CA1-CA3,48.0,0.3456,0.3465,-21.0,9,-0.0061,0.0569,2,0
28,1,CA1-CA3,48.0,0.3456,0.3465,-21.0,10,-0.0037,0.0516,2,0
