animal,learner,pair,center_trial,trial_frac,performance,lp_rel,n_bins,cc1,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y,gini_pearson_x,gini_pearson_y,rot_x,rot_y,rot_x_cc1,rot_y_cc1,jac_x,jac_y,sh_x,sh_y,sh_x_cc1,sh_y_cc1
28,1,CA1-CA3,8.0,0.0515,0.0162,-61.0,16000,0.1825,3,0.043,0.0396,0,0.3627,0.6576,0.4212,0.5855,nan,nan,nan,nan,,,85.07,76.06,75.71,71.89
28,1,CA1-CA3,13.0,0.0882,0.0162,-56.0,16000,0.2062,2,0.0303,0.048,0,0.2142,0.6471,0.4004,0.6058,83.17,80.37,25.97,51.36,0.2308,0.0,85.37,78.87,55.83,76.81
28,1,CA1-CA3,18.0,0.125,0.0833,-51.0,14000,0.1872,2,0.0259,0.0208,0,0.3529,0.6606,0.3224,0.494,79.93,89.08,34.6,20.87,0.4545,0.6,82.96,83.07,89.65,87.34
28,1,CA1-CA3,23.0,0.1618,0.1389,-46.0,12000,0.1604,2,0.0261,0.0326,5,0.2577,0.6092,0.3362,0.4601,80.59,72.69,30.3,34.28,0.4545,1.0,86.85,87.51,89.63,82.88
28,1,CA1-CA3,28.0,0.1985,0.2667,-41.0,12000,0.177,2,0.0255,0.0224,5,0.2627,0.551,0.4036,0.4365,66.65,66.63,23.08,23.9,0.4545,0.6,85.94,84.43,48.76,88.93
28,1,CA1-CA3,33.0,0.2353,0.27,-36.0,14000,0.1326,6,0.1722,0.0717,0,0.8266,0.8985,0.5557,0.5743,90.0,90.0,90.0,81.84,0.6,0.1429,38.99,90.0,0.0,58.67
28,1,CA1-CA3,38.0,0.2721,0.3182,-31.0,12000,0.2159,2,0.0482,-0.0485,0,0.1828,0.568,0.3758,0.5454,88.16,90.0,87.74,84.27,0.3333,0.3333,85.85,85.87,41.3,72.5
28,1,CA1-CA3,43.0,0.3088,0.3746,-26.0,14000,0.1968,2,0.0384,-0.0269,0,0.2001,0.5852,0.3626,0.5604,55.86,47.18,28.28,29.47,0.3333,0.3333,87.91,42.0,47.72,53.72
28,1,CA1-CA3,48.0,0.3456,0.3465,-21.0,14000,0.2081,2,0.0364,-0.0545,0,0.2269,0.6251,0.3375,0.5027,60.74,44.85,33.9,34.38,0.4545,0.3333,89.2,56.35,84.0,89.24
28,1,CA1-CA3,53.0,0.3824,0.3593,-16.0,14000,0.1921,2,0.034,-0.0614,0,0.1964,0.6559,0.375,0.5196,41.97,34.41,30.34,32.13,0.4545,0.6,89.95,85.19,74.16,89.98
28,1,CA1-CA3,58.0,0.4191,0.3158,-11.0,14000,-0.0493,5,0.1132,0.1165,2,0.2403,0.9626,0.2877,0.3245,79.42,89.92,34.53,85.03,0.3333,0.3333,89.66,80.28,81.16,0.0
28,1,CA1-CA3,63.0,0.4559,0.3796,-6.0,14000,0.0941,4,0.0736,-0.0129,0,0.2283,0.9416,0.2988,0.3194,47.73,73.79,35.43,6.27,0.4545,0.6,79.11,62.7,75.58,5.26
28,1,CA1-CA3,68.0,0.4926,0.476,-1.0,14000,0.124,4,0.0467,-0.0373,0,0.1903,0.6276,0.3195,0.4801,88.54,89.41,46.87,80.68,0.4545,0.3333,59.25,72.29,39.71,48.4
28,1,CA1-CA3,73.0,0.5294,0.5182,4.0,14000,-0.132,4,0.1618,-0.0099,0,0.2075,0.9709,0.2522,0.3561,80.02,89.11,26.05,83.53,0.3333,0.6,48.11,90.0,42.44,90.0
28,1,CA1-CA3,78.0,0.5662,0.6613,9.0,14000,-0.0721,5,0.0975,-0.0075,0,0.227,0.9401,0.292,0.3789,52.24,85.0,68.21,38.24,0.3333,0.3333,87.32,79.41,88.97,0.0
28,1,CA1-CA3,83.0,0.6029,0.7651,14.0,16000,-0.0719,7,0.1608,-0.0448,0,0.8019,0.1281,0.2953,0.3276,84.13,86.96,88.29,83.94,0.2308,0.3333,65.09,49.12,1.43,30.74
28,1,CA1-CA3,88.0,0.6397,0.9155,19.0,14000,0.1381,2,0.0176,0.0644,0,0.1931,0.2206,0.2678,0.2974,85.21,54.77,87.81,57.47,0.3333,0.3333,86.92,79.54,58.42,55.58
28,1,CA1-CA3,93.0,0.6765,0.9833,24.0,14000,-0.0383,5,0.1055,-0.003,3,0.2524,0.2414,0.3074,0.2421,72.46,64.71,56.87,66.01,0.4545,0.3333,59.79,52.32,49.03,38.12
28,1,CA1-CA3,98.0,0.7132,1.0,29.0,14000,0.2248,2,0.0411,-0.0271,0,0.2242,0.209,0.278,0.263,52.77,46.21,49.37,47.68,0.4545,0.3333,81.47,79.54,58.55,67.9
28,1,CA1-CA3,103.0,0.75,0.9333,34.0,14000,0.3124,7,0.1751,-0.0166,0,0.2755,0.2149,0.2493,0.2249,61.38,58.88,52.24,57.38,0.6,0.3333,79.57,85.83,52.68,59.27
