animal,learner,pair,center_trial,trial_frac,performance,lp_rel,n_bins,cc1,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y,gini_pearson_x,gini_pearson_y,rot_x,rot_y,jac_x,jac_y,sh_x,sh_y
28,1,CA1-CA3,8.0,0.0515,0.0162,-61.0,6000,0.0228,0,0.0,0.0828,6,0.3239,0.6875,0.3469,0.5503,nan,nan,,,82.5,85.94
28,1,CA1-CA3,13.0,0.0882,0.0162,-56.0,6000,0.0756,0,0.0,-0.0711,-2,0.2291,0.7666,0.2712,0.5637,81.08,87.38,0.3333,0.0,82.69,40.91
28,1,CA1-CA3,18.0,0.125,0.0833,-51.0,6000,0.1337,0,0.0,-0.0323,0,0.3549,0.6326,0.2919,0.4225,83.26,65.86,0.5,0.2,82.96,81.71
28,1,CA1-CA3,23.0,0.1618,0.1389,-46.0,6000,0.0874,0,0.0,0.0465,10,0.1841,0.6476,0.3227,0.4047,83.46,76.09,0.5,0.5,86.37,89.44
28,1,CA1-CA3,28.0,0.1985,0.2667,-41.0,6000,0.0911,0,0.0,0.0419,0,0.2703,0.5691,0.3809,0.3912,54.57,74.4,0.3333,0.5,84.38,77.62
28,1,CA1-CA3,33.0,0.2353,0.27,-36.0,6000,-0.2966,0,0.0,-0.0309,0,0.2181,0.8686,0.2904,0.3499,78.9,90.0,0.2,0.0,89.18,75.97
28,1,CA1-CA3,38.0,0.2721,0.3182,-31.0,6000,0.1741,1,0.0154,0.103,10,0.1849,0.5883,0.3056,0.5113,79.11,89.78,0.2,0.2,77.32,89.25
28,1,CA1-CA3,43.0,0.3088,0.3746,-26.0,6000,0.2286,1,0.0268,0.0568,10,0.1798,0.6641,0.3126,0.6108,73.62,58.26,0.3333,0.5,87.4,71.5
28,1,CA1-CA3,48.0,0.3456,0.3465,-21.0,6000,0.2106,1,0.0227,0.0057,0,0.1979,0.6786,0.3018,0.5229,85.9,73.83,0.3333,0.5,89.85,42.88
28,1,CA1-CA3,53.0,0.3824,0.3593,-16.0,6000,0.2123,2,0.0414,0.0007,0,0.2945,0.7521,0.4319,0.5678,89.63,76.81,0.3333,1.0,64.49,58.42
