animal,learner,pair,center_trial,trial_frac,performance,lp_rel,dim,cc,ifi,lag,sig
28,1,CA1-CA3,8.0,0.0515,0.0162,-61.0,0,0.0228,0.0828,6,0
28,1,CA1-CA3,8.0,0.0515,0.0162,-61.0,1,0.0551,-0.0217,-1,0
28,1,CA1-CA3,8.0,0.0515,0.0162,-61.0,2,0.0145,-0.022,-1,0
28,1,CA1-CA3,8.0,0.0515,0.0162,-61.0,3,0.0467,-0.001,5,0
28,1,CA1-CA3,8.0,0.0515,0.0162,-61.0,4,0.0709,0.0062,6,0
28,1,CA1-CA3,8.0,0.0515,0.0162,-61.0,5,-0.076,0.0142,6,0
28,1,CA1-CA3,8.0,0.0515,0.0162,-61.0,6,-0.0362,-0.046,-7,0
28,1,CA1-CA3,13.0,0.0882,0.0162,-56.0,0,0.0756,-0.0711,-2,0
28,1,CA1-CA3,13.0,0.0882,0.0162,-56.0,1,0.0438,-0.0064,-2,0
28,1,CA1-CA3,13.0,0.0882,0.0162,-56.0,2,0.0217,0.0226,7,0
28,1,CA1-CA3,13.0,0.0882,0.0162,-56.0,3,0.0137,-0.001,-1,0
28,1,CA1-CA3,13.0,0.0882,0.0162,-56.0,4,-0.0057,0.021,-1,0
28,1,CA1-CA3,13.0,0.0882,0.0162,-56.0,5,-0.0524,-0.0175,-1,0
28,1,CA1-CA3,18.0,0.125,0.0833,-51.0,0,0.1337,-0.0323,0,0
28,1,CA1-CA3,18.0,0.125,0.0833,-51.0,1,0.0425,0.0064,0,0
28,1,CA1-CA3,18.0,0.125,0.0833,-51.0,2,0.0321,-0.0211,0,0
28,1,CA1-CA3,18.0,0.125,0.0833,-51.0,3,-0.001,-0.0205,-6,0
28,1,CA1-CA3,18.0,0.125,0.0833,-51.0,4,0.0156,-0.0413,-10,0
28,1,CA1-CA3,18.0,0.125,0.0833,-51.0,5,-0.0159,-0.0201,10,0
28,1,CA1-CA3,18.0,0.125,0.0833,-51.0,6,-0.0322,-0.0079,-10,0
28,1,CA1-CA3,18.0,0.125,0.0833,-51.0,7,0.0239,0.0383,10,0
28,1,CA1-CA3,23.0,0.1618,0.1389,-46.0,0,0.0874,0.0465,10,0
28,1,CA1-CA3,23.0,0.1618,0.1389,-46.0,1,0.0435,-0.0272,-7,0
28,1,CA1-CA3,23.0,0.1618,0.1389,-46.0,2,0.0143,-0.0253,-1,0
28,1,CA1-CA3,23.0,0.1618,0.1389,-46.0,3,0.0724,-0.021,-5,0
28,1,CA1-CA3,23.0,0.1618,0.1389,-46.0,4,0.1427,-0.003,-5,0
28,1,CA1-CA3,23.0,0.1618,0.1389,-46.0,5,0.0405,-0.0199,2,0
28,1,CA1-CA3,23.0,0.1618,0.1389,-46.0,6,-0.0665,-0.0131,2,0
28,1,CA1-CA3,23.0,0.1618,0.1389,-46.0,7,-0.0374,-0.0302,7,0
28,1,CA1-CA3,23.0,0.1618,0.1389,-46.0,8,-0.0355,-0.0378,-5,0
28,1,CA1-CA3,28.0,0.1985,0.2667,-41.0,0,0.0911,0.0419,0,0
28,1,CA1-CA3,28.0,0.1985,0.2667,-41.0,1,-0.0215,-0.0035,2,0
28,1,CA1-CA3,28.0,0.1985,0.2667,-41.0,2,0.0467,-0.0292,-5,0
