animal,learner,pair,center_trial,trial_frac,performance,lp_rel,n_bins,cc1,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y,gini_pearson_x,gini_pearson_y,rot_x,rot_y,jac_x,jac_y,sh_x,sh_y
28,1,CA1-CA3,8.0,0.0515,0.0162,-61.0,6000,0.236,1,0.0287,0.0417,6,0.3308,0.6698,0.3581,0.551,nan,nan,,,81.73,72.69
28,1,CA1-CA3,13.0,0.0882,0.0162,-56.0,6000,0.1812,2,0.06,0.0045,0,0.2628,0.693,0.3602,0.5712,78.71,88.32,0.3333,0.1429,84.46,56.69
28,1,CA1-CA3,18.0,0.125,0.0833,-51.0,6000,0.2099,2,0.0465,-0.0036,0,0.2849,0.634,0.3108,0.4239,86.09,63.3,0.6,0.3333,87.32,88.54
28,1,CA1-CA3,23.0,0.1618,0.1389,-46.0,6000,0.2282,1,0.0268,0.0624,0,0.1593,0.5973,0.3395,0.414,81.78,83.97,0.6,0.6,80.94,82.17
28,1,CA1-CA3,28.0,0.1985,0.2667,-41.0,6000,0.2701,1,0.0379,0.0246,0,0.2181,0.5502,0.3793,0.419,72.1,74.99,0.6,0.6,65.4,78.81
28,1,CA1-CA3,33.0,0.2353,0.27,-36.0,6000,0.4155,2,0.1415,-0.0032,0,0.209,0.8871,0.2885,0.301,77.1,90.0,0.4545,0.1429,87.07,57.39
28,1,CA1-CA3,38.0,0.2721,0.3182,-31.0,6000,0.3283,2,0.0898,0.1049,10,0.1881,0.5258,0.3587,0.5066,81.93,88.09,0.4545,0.3333,56.83,73.26
28,1,CA1-CA3,43.0,0.3088,0.3746,-26.0,6000,0.2865,2,0.0749,0.0676,10,0.1892,0.6099,0.326,0.5405,72.33,31.3,0.3333,0.3333,87.33,73.05
28,1,CA1-CA3,48.0,0.3456,0.3465,-21.0,6000,0.3047,2,0.0844,-0.0093,0,0.1575,0.6105,0.3218,0.4693,56.13,54.07,0.3333,0.6,85.5,89.25
28,1,CA1-CA3,53.0,0.3824,0.3593,-16.0,6000,0.2933,3,0.1073,-0.0179,0,0.2715,0.6876,0.3766,0.4974,87.21,89.6,0.4545,0.6,61.63,82.37
28,1,CA1-CA3,58.0,0.4191,0.3158,-11.0,6000,0.0243,1,0.0259,-0.0135,0,0.2903,0.9595,0.2997,0.2909,46.05,86.5,0.2308,0.3333,43.11,89.2
28,1,CA1-CA3,63.0,0.4559,0.3796,-6.0,6000,-0.0209,3,0.115,0.0379,0,0.1787,0.902,0.2887,0.2924,65.33,79.02,0.3333,0.6,77.88,33.75
28,1,CA1-CA3,68.0,0.4926,0.476,-1.0,6000,0.2198,2,0.0543,0.0005,0,0.1637,0.6597,0.3124,0.4766,81.16,90.0,0.4545,0.3333,39.3,76.02
28,1,CA1-CA3,73.0,0.5294,0.5182,4.0,6000,0.0408,2,0.0691,0.0027,0,0.191,0.9674,0.2563,0.3388,83.32,89.94,0.3333,0.6,51.15,46.62
28,1,CA1-CA3,78.0,0.5662,0.6613,9.0,6000,0.0464,3,0.1023,-0.005,0,0.2023,0.9389,0.3039,0.3458,47.42,86.21,0.2308,0.6,83.17,75.09
28,1,CA1-CA3,83.0,0.6029,0.7651,14.0,6000,-0.0267,6,0.1406,0.0121,0,0.7056,0.1245,0.2648,0.3003,86.98,79.77,0.6,0.1429,76.13,86.01
28,1,CA1-CA3,88.0,0.6397,0.9155,19.0,6000,0.2329,1,0.0279,0.054,2,0.173,0.2528,0.2656,0.2792,82.48,48.19,0.6,0.3333,78.77,78.02
28,1,CA1-CA3,93.0,0.6765,0.9833,24.0,6000,0.0539,3,0.101,-0.0004,0,0.2847,0.2457,0.2929,0.2385,68.65,72.13,0.3333,0.6,69.78,58.67
