animal,learner,pair,center_trial,trial_frac,performance,lp_rel,n_bins,cc1,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y,gini_pearson_x,gini_pearson_y,rot_x,rot_y,rot_x_cc1,rot_y_cc1,jac_x,jac_y,sh_x,sh_y,sh_x_cc1,sh_y_cc1
28,1,CA1-CA3,8.0,0.0515,0.0162,-61.0,6000,0.0308,0,0.0,-0.0918,-9,0.2277,0.6204,0.2701,0.2716,nan,nan,nan,nan,,,86.81,89.12,87.63,85.08
28,1,CA1-CA3,13.0,0.0882,0.0162,-56.0,6000,0.1472,0,0.0,0.0426,8,0.2938,0.698,0.3099,0.4375,71.61,87.99,51.53,50.27,0.2,1.0,64.64,89.33,76.05,89.8
28,1,CA1-CA3,18.0,0.125,0.0833,-51.0,6000,0.1507,0,0.0,0.0781,0,0.3484,0.6696,0.255,0.3878,76.92,85.86,36.21,27.41,0.5,0.5,88.33,68.14,76.18,63.16
28,1,CA1-CA3,23.0,0.1618,0.1389,-46.0,6000,0.0351,1,0.0262,0.0078,0,0.3386,0.9277,0.2485,0.2736,77.75,90.0,73.77,90.0,1.0,0.2,71.42,74.19,75.75,0.0
28,1,CA1-CA3,28.0,0.1985,0.2667,-41.0,6000,-0.0868,3,0.0664,-0.0398,0,0.2282,0.9277,0.2906,0.3148,56.75,60.89,21.05,0.0,0.7143,1.0,78.33,72.57,36.86,0.0
28,1,CA1-CA3,33.0,0.2353,0.27,-36.0,6000,0.209,1,0.0223,0.015,0,0.2262,0.789,0.267,0.322,56.41,83.82,25.47,89.88,0.5,0.2,70.86,80.83,74.63,9.2
28,1,CA1-CA3,38.0,0.2721,0.3182,-31.0,6000,0.3014,1,0.0476,0.054,5,0.2277,0.8033,0.2864,0.3257,82.43,57.7,34.12,0.46,0.7143,0.5,57.24,75.51,39.41,0.95
28,1,CA1-CA3,43.0,0.3088,0.3746,-26.0,6000,0.2971,1,0.0462,0.0171,0,0.1622,0.9207,0.2883,0.3024,71.71,75.25,45.02,37.83,0.5,0.5,83.17,88.42,24.22,0.0
28,1,CA1-CA3,48.0,0.3456,0.3465,-21.0,6000,0.1689,0,0.0,0.031,0,0.2911,0.9207,0.303,0.3127,86.54,86.43,33.21,0.0,0.3333,0.5,85.89,84.02,6.38,0.0
28,1,CA1-CA3,53.0,0.3824,0.3593,-16.0,6000,0.1184,0,0.0,-0.0024,0,0.3356,0.847,0.2959,0.3453,26.52,85.04,20.14,51.87,0.7143,1.0,79.79,84.65,1.38,61.0
28,1,CA1-CA3,58.0,0.4191,0.3158,-11.0,6000,0.2572,1,0.0342,0.0053,0,0.2734,0.9454,0.27,0.3741,23.63,48.2,24.12,24.51,1.0,1.0,83.22,65.93,30.74,0.0
