animal,learner,pair,center_trial,trial_frac,performance,lp_rel,n_bins,cc1,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y,gini_pearson_x,gini_pearson_y,rot_x,rot_y,jac_x,jac_y,sh_x,sh_y
28,1,CA1-CA3,15.5,0.1066,0.0775,-53.5,6000,0.0228,0,0.0,0.0828,6,0.3239,0.6875,0.3469,0.5503,nan,nan,,,82.5,85.94
28,1,CA1-CA3,30.5,0.2169,0.2285,-38.5,6000,0.0874,0,0.0,0.0465,10,0.1841,0.6476,0.3227,0.4047,87.88,89.3,0.2,0.2,86.37,89.44
28,1,CA1-CA3,45.5,0.3272,0.3387,-23.5,6000,0.1741,1,0.0154,0.103,10,0.1849,0.5883,0.3056,0.5113,73.22,89.61,0.0909,0.0,77.32,89.25
28,1,CA1-CA3,60.5,0.4375,0.4176,-8.5,6000,0.2123,2,0.0414,0.0007,0,0.2945,0.7521,0.4319,0.5678,89.57,87.82,0.2,0.5,64.49,58.42
28,1,CA1-CA3,75.5,0.5478,0.6206,6.5,6000,0.2358,2,0.0423,0.0231,0,0.1729,0.7005,0.302,0.4956,88.58,84.04,0.3333,0.5,89.8,88.8
28,1,CA1-CA3,90.5,0.6581,0.8826,21.5,6000,0.216,3,0.0661,0.0065,0,0.6966,0.1283,0.2681,0.2795,87.53,86.76,0.2,0.0,86.63,82.94
28,1,CA1-CA3,105.5,0.7684,0.8995,36.5,6000,0.3109,1,0.0508,0.0257,0,0.2461,0.2531,0.338,0.2951,89.65,76.85,0.3333,0.5,89.64,82.54
28,1,CA1-CA3,120.5,0.8787,0.7428,51.5,8000,0.1143,1,0.0117,-0.0143,-1,0.2131,0.2246,0.2797,0.3154,84.24,68.51,0.3333,0.5,64.75,78.76
28,1,CA1-DG,15.5,0.1066,0.0775,-53.5,6000,0.2307,2,0.0433,0.001,1,0.3791,0.2264,0.3674,0.3251,nan,nan,,,89.02,52.37
28,1,CA1-DG,30.5,0.2169,0.2285,-38.5,6000,0.2232,3,0.0636,0.0191,1,0.3261,0.5177,0.3516,0.3224,87.42,71.14,0.5,0.3333,89.71,82.85
28,1,CA1-DG,45.5,0.3272,0.3387,-23.5,6000,0.3146,2,0.0642,0.0109,0,0.1829,0.3802,0.3614,0.3019,73.51,73.34,0.2,0.6,80.65,63.85
28,1,CA1-DG,60.5,0.4375,0.4176,-8.5,6000,0.2951,2,0.0556,0.0263,0,0.2056,0.2128,0.3852,0.3134,83.59,88.11,0.2,0.3333,81.56,67.77
28,1,CA1-DG,75.5,0.5478,0.6206,6.5,6000,0.2673,2,0.0527,0.0247,1,0.1349,0.1175,0.3413,0.3008,78.66,63.59,0.5,0.6,74.15,70.44
28,1,CA1-DG,90.5,0.6581,0.8826,21.5,6000,0.4957,7,0.5131,0.0548,0,0.7788,0.2615,0.3708,0.2766,67.83,83.06,0.3333,0.3333,43.49,26.12
28,1,CA1-DG,105.5,0.7684,0.8995,36.5,6000,0.1904,2,0.0503,0.0534,1,0.2477,0.1754,0.2743,0.3113,89.92,89.36,0.5,0.3333,75.79,73.94
28,1,CA1-DG,120.5,0.8787,0.7428,51.5,8000,0.2101,3,0.05,0.0479,1,0.245,0.3579,0.2668,0.2351,77.84,88.9,0.3333,0.3333,58.12,52.34
28,1,CA1-V1,15.5,0.1066,0.0775,-53.5,6000,0.1702,0,0.0,-0.0269,2,0.4005,0.4094,0.2278,0.2465,nan,nan,,,87.64,87.29
28,1,CA1-V1,30.5,0.2169,0.2285,-38.5,6000,0.1813,0,0.0,-0.0038,0,0.3477,0.3676,0.2319,0.2189,68.37,80.2,0.5,0.3077,81.81,72.39
28,1,CA1-V1,45.5,0.3272,0.3387,-23.5,6000,0.2482,1,0.0318,0.001,10,0.2588,0.3278,0.2012,0.2257,82.01,80.53,0.3333,0.3077,89.12,74.87
28,1,CA1-V1,60.5,0.4375,0.4176,-8.5,6000,0.2269,1,0.0264,-0.0307,-5,0.2449,0.321,0.1697,0.1973,80.25,80.21,0.2,0.3077,76.01,75.99
28,1,CA1-V1,75.5,0.5478,0.6206,6.5,6000,0.1426,0,0.0,-0.0012,-9,0.1677,0.282,0.1337,0.1647,65.72,65.04,0.5,0.4167,79.6,83.44
28,1,CA1-V1,90.5,0.6581,0.8826,21.5,6000,0.3297,1,0.0575,0.0193,0,0.7005,0.2915,0.1641,0.1676,87.82,62.64,0.5,0.3077,80.7,78.52
28,1,CA1-V1,105.5,0.7684,0.8995,36.5,6000,0.2433,0,0.0,0.0155,0,0.2467,0.2946,0.1495,0.1795,85.98,64.84,0.3333,0.2143,64.89,77.77
28,1,CA1-V1,120.5,0.8787,0.7428,51.5,8000,0.1129,0,0.0,0.0339,5,0.224,0.3169,0.1371,0.1631,84.08,87.11,0.3333,0.0968,72.58,86.88
28,1,CA3-DG,15.5,0.1066,0.0775,-53.5,6000,0.1643,1,0.0137,0.0186,10,0.6873,0.2806,0.5285,0.2771,nan,nan,,,74.32,76.87
28,1,CA3-DG,30.5,0.2169,0.2285,-38.5,6000,0.3454,2,0.106,0.0329,0,0.654,0.5143,0.6774,0.5154,89.0,89.89,0.2,0.1429,89.17,75.8
28,1,CA3-DG,45.5,0.3272,0.3387,-23.5,6000,0.1292,2,0.0265,-0.097,-1,0.5903,0.4746,0.5824,0.4032,82.49,77.82,0.0,0.6,82.35,69.94
28,1,CA3-DG,60.5,0.4375,0.4176,-8.5,6000,0.2061,3,0.1035,0.0268,0,0.7515,0.2702,0.5173,0.4619,89.19,89.56,0.5,0.3333,75.06,80.85
28,1,CA3-DG,75.5,0.5478,0.6206,6.5,6000,0.2112,1,0.0228,0.0214,0,0.7003,0.1407,0.4539,0.2767,70.14,66.51,0.5,0.3333,55.58,67.68
28,1,CA3-DG,90.5,0.6581,0.8826,21.5,6000,0.1489,1,0.0184,0.0814,0,0.1283,0.2888,0.2281,0.3796,79.06,68.48,0.2,0.3333,87.89,79.25
28,1,CA3-DG,105.5,0.7684,0.8995,36.5,6000,0.166,1,0.014,0.0262,1,0.2514,0.1759,0.2766,0.3133,83.42,88.94,0.2,0.6,86.36,69.83
28,1,CA3-DG,120.5,0.8787,0.7428,51.5,8000,0.2183,1,0.0244,-0.0304,-1,0.2236,0.381,0.3312,0.2849,87.56,88.14,0.5,0.3333,81.35,63.5
34,1,CA1-CA3,15.5,0.1933,0.2201,-32.5,6000,0.3821,2,0.134,0.0129,0,0.9012,0.4714,0.4885,0.3934,nan,nan,,,71.75,63.07
34,1,CA1-CA3,30.5,0.3933,0.4185,-17.5,6000,0.8017,4,0.6135,-0.0035,0,0.9087,0.8831,0.627,0.6036,85.89,87.31,0.7143,1.0,73.97,14.54
34,1,CA1-CA3,45.5,0.5933,0.5921,-2.5,8000,0.2969,1,0.0461,0.0106,0,0.9052,0.1488,0.4354,0.4571,61.08,85.6,0.3333,0.3333,87.85,87.87
34,1,CA1-CA3,60.5,0.7933,0.784,12.5,6000,0.4069,2,0.1018,0.0013,0,0.2898,0.1727,0.5164,0.4528,89.91,33.94,0.2,0.0,82.36,77.38
34,1,CA1-V1,15.5,0.1933,0.2201,-32.5,6000,0.1662,0,0.0,0.0228,0,0.8856,0.401,0.2094,0.2038,nan,nan,,,82.18,77.79
34,1,CA1-V1,30.5,0.3933,0.4185,-17.5,6000,0.0917,0,0.0,0.0025,9,0.5049,0.2758,0.2234,0.1883,90.0,89.66,0.5,0.2381,86.68,81.87
34,1,CA1-V1,45.5,0.5933,0.5921,-2.5,8000,0.0961,0,0.0,-0.0036,2,0.925,0.2816,0.1669,0.184,87.23,80.24,0.5,0.2381,80.37,76.13
34,1,CA1-V1,60.5,0.7933,0.784,12.5,6000,0.378,1,0.0771,-0.0023,-10,0.9189,0.344,0.4722,0.4307,57.36,81.92,0.5,0.1304,61.75,86.36
36,1,CA1-V1,15.5,0.1883,0.2481,-12.5,8000,0.0438,0,0.0,0.0042,6,0.3155,0.0753,0.1694,0.1031,nan,nan,,,84.4,74.57
36,1,CA1-V1,30.5,0.3831,0.4885,2.5,8000,0.0836,0,0.0,-0.0051,-7,0.2351,0.0856,0.1458,0.1146,87.98,86.7,0.6,0.2727,88.61,84.67
36,1,CA1-V1,45.5,0.5779,0.7102,17.5,6000,0.0776,0,0.0,-0.017,-9,0.2029,0.1068,0.1924,0.1439,88.62,74.26,0.3333,0.4,86.28,88.1
36,1,CA1-V1,60.5,0.7727,0.8614,32.5,6000,0.0854,0,0.0,-0.0075,-10,0.2584,0.0699,0.1384,0.1038,88.46,84.53,0.1429,0.1667,84.97,79.56
41,1,CA1-CA3,30.5,0.2783,0.5581,1.5,8000,0.8008,3,0.5634,-0.0179,0,0.8053,0.9251,0.5609,0.5095,nan,nan,,,32.34,55.89
41,1,CA1-CA3,45.5,0.4198,0.7719,16.5,6000,0.3224,2,0.0881,-0.0243,0,0.2533,0.9356,0.4182,0.36,49.19,30.48,0.3333,1.0,59.95,57.25
41,1,CA1-CA3,60.5,0.5613,0.7507,31.5,8000,0.3642,2,0.0932,-0.032,0,0.3145,0.1428,0.5104,0.3885,42.27,76.04,0.6,0.3333,72.24,75.75
41,1,CA1-CA3,75.5,0.7028,0.7212,46.5,8000,0.2596,2,0.0505,0.0001,0,0.1784,0.1193,0.5252,0.3966,62.61,43.6,0.3333,0.6,82.18,48.52
41,1,CA1-CA3,90.5,0.8443,0.7906,61.5,6000,0.4195,3,0.1632,-0.0016,0,0.0944,0.9249,0.4664,0.3223,34.7,85.38,0.3333,0.6,64.79,62.72
