animal,learner,pair,center_trial,trial_frac,performance,lp_rel,n_bins,cc1,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y,gini_pearson_x,gini_pearson_y,rot_x,rot_y,jac_x,jac_y,sh_x,sh_y
28,1,CA1-CA3,15.5,0.1066,0.0775,-53.5,6000,0.236,1,0.0287,0.0417,6,0.3308,0.6698,0.3581,0.551,nan,nan,,,81.73,72.69
28,1,CA1-CA3,30.5,0.2169,0.2285,-38.5,6000,0.2282,1,0.0268,0.0624,0,0.1593,0.5973,0.3395,0.414,77.63,84.02,0.4545,0.1429,80.94,82.17
28,1,CA1-CA3,45.5,0.3272,0.3387,-23.5,6000,0.3283,2,0.0898,0.1049,10,0.1881,0.5258,0.3587,0.5066,85.4,73.64,0.3333,0.1429,56.83,73.26
28,1,CA1-CA3,60.5,0.4375,0.4176,-8.5,6000,0.2933,3,0.1073,-0.0179,0,0.2715,0.6876,0.3766,0.4974,86.06,57.0,0.2308,0.3333,61.63,82.37
28,1,CA1-CA3,75.5,0.5478,0.6206,6.5,6000,0.2198,2,0.0543,0.0005,0,0.1637,0.6597,0.3124,0.4766,85.44,85.23,0.3333,0.6,39.3,76.02
28,1,CA1-CA3,90.5,0.6581,0.8826,21.5,6000,-0.0267,6,0.1406,0.0121,0,0.7056,0.1245,0.2648,0.3003,80.83,47.76,0.2308,0.0,76.13,86.01
28,1,CA1-CA3,105.5,0.7684,0.8995,36.5,6000,0.3221,2,0.0886,0.015,0,0.2257,0.2203,0.2843,0.264,86.67,73.27,0.4545,0.3333,88.95,83.48
28,1,CA1-CA3,120.5,0.8787,0.7428,51.5,8000,0.2395,1,0.0295,-0.0066,0,0.2516,0.2084,0.2982,0.3077,87.98,62.2,0.3333,0.6,88.4,82.78
28,1,CA1-DG,15.5,0.1066,0.0775,-53.5,6000,0.3986,3,0.117,0.0034,0,0.3408,0.2295,0.4594,0.367,nan,nan,,,71.0,35.27
28,1,CA1-DG,30.5,0.2169,0.2285,-38.5,6000,0.3425,3,0.0888,0.0332,0,0.2951,0.5159,0.3439,0.2975,64.37,71.8,0.6,0.3333,79.95,58.53
28,1,CA1-DG,45.5,0.3272,0.3387,-23.5,6000,0.2819,2,0.0597,0.0219,0,0.2094,0.3787,0.3443,0.2756,88.89,70.83,0.3333,0.6,82.01,54.98
28,1,CA1-DG,60.5,0.4375,0.4176,-8.5,6000,0.2196,3,0.0686,0.0523,0,0.2044,0.2214,0.3399,0.2926,75.02,62.09,0.3333,0.3333,87.37,85.38
28,1,CA1-DG,75.5,0.5478,0.6206,6.5,6000,0.2566,3,0.0682,0.0325,0,0.1659,0.1242,0.3397,0.2715,59.35,39.86,0.7778,0.6,47.11,47.64
28,1,CA1-DG,90.5,0.6581,0.8826,21.5,6000,0.3213,6,0.3771,0.057,0,0.7546,0.2607,0.3426,0.2578,75.59,88.12,0.4545,0.1429,43.86,33.94
28,1,CA1-DG,105.5,0.7684,0.8995,36.5,6000,0.2749,3,0.0664,0.0323,0,0.2226,0.1802,0.3154,0.3101,87.49,88.65,0.3333,0.3333,60.05,33.44
28,1,CA1-DG,120.5,0.8787,0.7428,51.5,8000,0.2693,3,0.1097,0.0554,0,0.3049,0.3583,0.3359,0.2645,88.65,88.55,0.3333,0.1429,56.99,41.62
28,1,CA1-V1,15.5,0.1066,0.0775,-53.5,6000,0.1735,0,0.0,-0.0283,-6,0.3631,0.3996,0.2057,0.2269,nan,nan,,,89.56,76.45
28,1,CA1-V1,30.5,0.2169,0.2285,-38.5,6000,0.1973,0,0.0,-0.0027,0,0.3087,0.3619,0.2102,0.2077,82.93,88.98,0.4545,0.3333,85.47,88.86
28,1,CA1-V1,45.5,0.3272,0.3387,-23.5,6000,0.2766,1,0.0398,-0.0098,-2,0.2365,0.3244,0.1849,0.1977,86.85,84.41,0.3333,0.2857,86.09,87.96
28,1,CA1-V1,60.5,0.4375,0.4176,-8.5,6000,0.2301,1,0.0272,-0.0191,-1,0.2176,0.3168,0.153,0.1831,70.95,80.54,0.3333,0.3333,80.8,79.53
28,1,CA1-V1,75.5,0.5478,0.6206,6.5,6000,0.1418,0,0.0,-0.0031,1,0.1501,0.2805,0.1199,0.1512,67.05,69.2,0.4545,0.3846,68.41,77.79
28,1,CA1-V1,90.5,0.6581,0.8826,21.5,6000,0.3437,1,0.0628,0.0228,0,0.6566,0.2949,0.1581,0.1576,86.02,71.01,0.4545,0.44,66.8,79.79
28,1,CA1-V1,105.5,0.7684,0.8995,36.5,6000,0.2646,0,0.0,0.0136,0,0.2224,0.2799,0.1505,0.1602,81.47,63.32,0.3333,0.2857,61.89,80.08
28,1,CA1-V1,120.5,0.8787,0.7428,51.5,8000,0.1319,0,0.0,0.0307,0,0.2525,0.3217,0.1469,0.1542,84.03,87.93,0.3333,0.2,79.2,83.2
28,1,CA3-DG,15.5,0.1066,0.0775,-53.5,6000,0.5504,2,0.1888,-0.0088,0,0.672,0.2229,0.7089,0.4857,nan,nan,,,65.77,66.4
28,1,CA3-DG,30.5,0.2169,0.2285,-38.5,6000,0.4299,3,0.2765,0.0273,0,0.6041,0.4601,0.6574,0.4518,89.7,89.88,0.1429,0.3333,54.25,29.56
28,1,CA3-DG,45.5,0.3272,0.3387,-23.5,6000,0.5907,3,0.2468,-0.0255,-1,0.5282,0.3861,0.6363,0.4249,53.19,31.91,0.1429,0.6,84.26,40.81
28,1,CA3-DG,60.5,0.4375,0.4176,-8.5,6000,0.7015,5,0.4481,0.0136,0,0.6882,0.2146,0.6841,0.502,85.22,89.62,0.3333,0.3333,69.91,85.59
28,1,CA3-DG,75.5,0.5478,0.6206,6.5,6000,0.6178,2,0.2718,0.0257,0,0.6613,0.1196,0.6464,0.4273,58.01,57.55,0.6,0.6,64.27,75.77
28,1,CA3-DG,90.5,0.6581,0.8826,21.5,6000,0.5166,3,0.1957,0.0264,0,0.1433,0.2731,0.4876,0.4433,78.41,63.79,0.0,0.3333,81.9,77.71
28,1,CA3-DG,105.5,0.7684,0.8995,36.5,6000,0.601,2,0.2478,0.0404,0,0.2262,0.1752,0.5506,0.4517,72.02,73.2,1.0,0.1429,89.52,44.9
28,1,CA3-DG,120.5,0.8787,0.7428,51.5,8000,0.5944,2,0.2447,0.021,0,0.2056,0.3629,0.5775,0.4234,67.01,79.69,0.6,0.1429,66.86,40.92
