animal,learner,pair,dim,unc_cc,cue_cc,d_cc,unc_ifi,cue_ifi,d_ifi,unc_lag,cue_lag,unc_sig,cue_sig
41,1,CA1-CA3,0,0.0988,1.0,0.9012,0.1132,-0.003,-0.1162,4,0,1,1
41,1,CA1-CA3,1,0.0759,0.0836,0.0078,0.1158,-0.0197,-0.1355,2,0,0,0
41,1,CA1-CA3,2,-0.0096,0.0752,0.0848,0.079,-0.0988,-0.1778,1,0,0,0
41,1,CA1-CA3,3,0.0005,0.0266,0.0261,0.0849,-0.0433,-0.1283,2,0,0,0
41,1,CA1-CA3,4,0.0066,-0.0041,-0.0108,0.0817,0.0332,-0.0485,2,1,0,0
41,1,CA1-CA3,5,-0.0086,0.0264,0.0351,0.0636,-0.0155,-0.0791,2,-1,0,0
41,1,CA1-CA3,6,0.0156,-0.017,-0.0326,0.0819,-0.032,-0.1139,2,-1,0,0
41,1,CA1-CA3,7,0.0012,-0.0033,-0.0046,0.0675,-0.033,-0.1005,2,-1,0,0
41,1,CA1-CA3,8,-0.0172,0.0025,0.0197,0.0269,-0.0849,-0.1118,2,-1,0,0
41,1,CA1-CA3,9,-0.0075,-0.0155,-0.008,0.04,-0.0003,-0.0403,2,-1,0,0
41,1,CA1-CA3,10,-0.0163,0.0006,0.0168,0.1237,-0.03,-0.1537,2,-1,0,0
41,1,CA1-V1,0,-0.3416,0.0608,0.4025,0.0107,-0.0805,-0.0913,0,-5,0,0
41,1,CA1-V1,1,-0.0032,0.0385,0.0417,0.0184,0.0262,0.0078,2,-5,0,0
41,1,CA1-V1,2,0.4807,0.0153,-0.4654,0.0228,0.0053,-0.0175,3,-5,1,0
41,1,CA1-V1,3,0.0525,0.009,-0.0435,0.0179,0.0192,0.0013,3,-5,0,0
41,1,CA1-V1,4,0.4672,0.0086,-0.4585,0.0111,0.0237,0.0126,1,3,1,0
41,1,CA1-V1,5,0.4892,0.0075,-0.4817,-0.0193,0.0362,0.0556,1,3,1,0
41,1,CA1-V1,6,-0.4963,0.0047,0.501,-0.017,0.0868,0.1038,-1,3,0,0
41,1,CA1-V1,7,0.4759,0.0161,-0.4598,0.0141,0.0952,0.0811,-1,3,1,0
41,1,CA1-V1,8,0.0052,0.021,0.0158,-0.0285,0.0834,0.1119,-1,3,0,0
41,1,CA1-V1,9,0.0209,-0.0166,-0.0376,-0.0148,-0.0198,-0.005,-1,-4,0,0
41,1,CA1-V1,10,0.0413,0.0041,-0.0373,0.0304,0.0528,0.0224,-1,3,0,0
52,1,CA1-RSC,0,0.083,-0.1775,-0.2605,-0.1853,0.1458,0.3311,-3,3,1,0
52,1,CA1-RSC,1,0.0536,-0.167,-0.2205,0.0205,0.044,0.0235,0,1,0,0
52,1,CA1-RSC,2,-0.0252,-0.026,-0.0009,-0.0154,-0.0064,0.009,-3,-1,0,0
52,1,CA1-RSC,3,-0.1111,-0.0951,0.016,-0.0657,0.0934,0.1591,-3,4,0,0
52,1,CA1-RSC,4,0.0866,0.004,-0.0826,-0.0216,0.1055,0.1271,-3,4,1,0
52,1,CA1-RSC,5,0.0297,-0.1482,-0.1779,-0.0174,0.0332,0.0507,-4,-2,0,0
52,1,CA1-RSC,6,-0.0627,0.0747,0.1375,-0.1674,0.0944,0.2618,-4,3,0,0
52,1,CA1-CA3,0,0.1882,0.1102,-0.078,0.0273,-0.0861,-0.1135,0,-1,1,1
52,1,CA1-CA3,1,-0.0095,0.0651,0.0746,0.0019,0.0294,0.0275,0,0,0,0
52,1,CA1-CA3,2,0.1618,0.0615,-0.1003,0.012,0.034,0.022,0,5,1,0
52,1,CA1-CA3,3,-0.0752,0.0484,0.1236,0.0039,-0.0073,-0.0112,0,0,0,0
52,1,CA1-CA3,4,0.0045,0.0479,0.0434,-0.0038,0.0,0.0038,0,0,0,0
52,1,CA1-CA3,5,0.0172,0.0298,0.0126,-0.0166,-0.0003,0.0164,0,0,0,0
52,1,CA1-CA3,6,-0.0561,0.0354,0.0915,-0.022,-0.0038,0.0182,0,0,0,0
52,1,CA1-CA3,7,0.0164,0.0187,0.0023,-0.0304,-0.0263,0.0041,0,2,0,0
52,1,CA1-CA3,8,-0.0269,0.0021,0.0291,0.0103,-0.0024,-0.0127,0,1,0,0
52,1,CA1-CA3,9,-0.0296,0.0194,0.049,0.0136,0.0213,0.0078,0,-5,0,0
52,1,CA1-CA3,10,-0.0518,0.0009,0.0526,-0.0109,-0.005,0.0059,0,-5,0,0
52,1,CA1-CA3,11,0.0864,0.0109,-0.0755,0.0135,-0.0597,-0.0732,-5,-4,1,0
52,1,CA1-CA3,12,-0.1031,-0.0019,0.1012,0.0771,0.0098,-0.0673,0,-5,0,0
52,1,CA1-CA3,13,0.0205,-0.0022,-0.0227,-0.0285,0.1723,0.2009,-4,-5,0,0
52,1,CA1-CA3,14,0.044,0.0071,-0.0369,-0.0763,0.236,0.3123,0,5,0,0
52,1,CA1-DG,0,0.1903,0.3098,0.1196,0.0174,-0.0105,-0.0279,0,0,1,1
52,1,CA1-DG,1,0.0613,0.1258,0.0645,0.0253,0.0974,0.0721,0,2,0,1
52,1,CA1-DG,2,0.0222,0.1796,0.1574,0.0285,0.0643,0.0358,0,3,0,1
52,1,CA1-DG,3,0.1344,0.1109,-0.0235,0.0037,0.007,0.0033,0,3,1,1
52,1,CA1-DG,4,0.0221,0.0402,0.0181,0.0226,0.0619,0.0393,0,3,0,0
52,1,CA1-DG,5,-0.0395,-0.1295,-0.09,0.0287,0.0801,0.0515,0,4,0,0
52,1,CA1-DG,6,0.054,-0.0674,-0.1214,-0.0265,0.0884,0.1149,-3,3,0,0
52,1,CA1-DG,7,-0.0132,0.0361,0.0493,-0.0308,0.0377,0.0685,-1,1,0,0
52,1,CA1-DG,8,-0.0706,0.0039,0.0745,-0.0323,0.0337,0.066,0,3,0,0
52,1,CA1-DG,9,0.0139,-0.1609,-0.1748,0.0523,0.0206,-0.0317,0,3,0,0
52,1,CA1-DG,10,-0.0651,-0.0227,0.0425,-0.0101,0.0014,0.0116,-1,3,0,0
52,1,CA1-DG,11,0.037,0.0723,0.0354,-0.0694,0.0493,0.1187,-1,-1,0,0
52,1,CA1-DG,12,-0.0394,0.2087,0.2481,-0.0292,0.0908,0.12,0,3,0,1
52,1,CA1-DG,13,-0.1301,-0.069,0.0611,-0.1895,0.0554,0.2449,-2,1,0,0
52,1,CA1-DG,14,-0.0596,-0.1473,-0.0877,-0.1545,0.1684,0.3229,-2,1,0,0
52,1,CA1-V1,0,0.0386,0.223,0.1844,0.0122,0.0068,-0.0054,2,0,0,1
52,1,CA1-V1,1,0.0492,0.0758,0.0266,-0.0021,0.0053,0.0074,5,2,0,0
52,1,CA1-V1,2,0.0019,0.0046,0.0027,0.0616,0.0372,-0.0244,4,5,0,0
52,1,CA1-V1,3,0.0038,0.2184,0.2146,0.0231,-0.0174,-0.0405,3,0,0,1
52,1,CA1-V1,4,0.0243,0.073,0.0487,0.0408,-0.0124,-0.0532,0,5,0,0
52,1,CA1-V1,5,0.0019,0.0322,0.0303,0.0305,-0.0304,-0.0609,3,-4,0,0
52,1,CA1-V1,6,0.0155,0.0436,0.0281,0.028,-0.0258,-0.0538,0,-1,0,0
52,1,CA1-V1,7,-0.0032,0.1241,0.1274,0.014,0.0274,0.0134,0,5,0,1
52,1,CA1-V1,8,0.0113,-0.1721,-0.1834,0.0562,0.0159,-0.0403,0,5,0,0
52,1,CA1-V1,9,-0.0255,-0.1242,-0.0986,0.0593,-0.0294,-0.0887,0,-2,0,0
52,1,CA1-V1,10,0.0043,-0.0105,-0.0148,0.0484,-0.011,-0.0594,2,5,0,0
52,1,CA1-V1,11,-0.0008,-0.1631,-0.1623,-0.0503,0.0253,0.0756,0,5,0,0
52,1,CA1-V1,12,0.0104,-0.171,-0.1814,0.0471,0.0419,-0.0052,0,2,0,0
52,1,CA1-V1,13,0.006,-0.134,-0.14,0.0946,0.1284,0.0337,0,2,0,0
52,1,CA1-V1,14,0.0146,-0.029,-0.0436,0.1311,-0.1716,-0.3027,4,-4,0,0
52,1,CA3-DG,0,0.5526,0.521,-0.0316,0.0009,0.0966,0.0957,0,0,1,1
52,1,CA3-DG,1,0.1875,0.3484,0.1608,0.02,0.0568,0.0368,0,0,1,1
52,1,CA3-DG,2,0.1171,0.3798,0.2627,0.0027,0.0062,0.0035,0,0,1,1
52,1,CA3-DG,3,0.0092,0.3435,0.3343,-0.0387,-0.0662,-0.0275,0,0,0,1
52,1,CA3-DG,4,-0.0137,0.3072,0.3209,-0.0404,-0.06,-0.0196,0,0,0,1
52,1,CA3-DG,5,0.0209,0.2826,0.2617,-0.0648,-0.0254,0.0394,0,0,0,1
52,1,CA3-DG,6,0.043,-0.215,-0.258,-0.0568,-0.048,0.0087,0,0,0,0
52,1,CA3-DG,7,-0.1346,0.2512,0.3857,-0.0312,-0.073,-0.0418,0,-1,0,1
52,1,CA3-DG,8,-0.0648,0.2458,0.3106,0.0204,-0.0399,-0.0604,1,1,0,1
52,1,CA3-DG,9,-0.1052,0.244,0.3492,-0.0414,-0.0851,-0.0437,-1,-1,0,1
52,1,CA3-DG,10,-0.1003,0.2576,0.3579,-0.0516,-0.0464,0.0052,0,1,0,1
