animal,learner,pair,n_matched_bins,angle_x,angle_y,jac_x,jac_y,unc_cc1,cue_cc1,d_cc1,unc_n_sig,cue_n_sig,d_n_sig,unc_mi_sig,cue_mi_sig,d_mi_sig,unc_ifi,cue_ifi,d_ifi,unc_optimal_lag,cue_optimal_lag,d_optimal_lag,unc_gini_x,cue_gini_x,d_gini_x,unc_gini_y,cue_gini_y,d_gini_y
41,1,CA1-CA3,6000,90.0,48.7,0.3333,0.3333,0.1467,0.5,0.3533,1.0,10.0,9.0,0.0185,0.4852,0.4667,0.0714,-0.0221,-0.0935,0.0,0.0,0.0,0.6438,0.8258,0.182,0.2835,0.9311,0.6477
41,1,CA1-V1,6000,89.89,87.83,0.1429,0.1471,-0.298,0.1168,0.4148,4.0,0.0,-4.0,0.4623,0.0,-0.4623,-0.0119,-0.0686,-0.0568,0.0,-6.0,-6.0,0.9496,0.2448,-0.7048,0.5748,0.4403,-0.1345
52,1,CA1-RSC,6000,87.69,89.45,0.3333,0.3333,0.0033,-0.0418,-0.0452,0.0,2.0,2.0,0.0,0.034,0.034,0.0091,0.0937,0.0846,-3.0,1.0,4.0,0.542,0.5181,-0.0239,0.3055,0.137,-0.1685
52,1,CA1-CA3,6000,55.34,43.04,0.4,0.4737,0.2324,0.2289,-0.0034,2.0,1.0,-1.0,0.0355,0.0269,-0.0086,-0.0647,-0.0881,-0.0234,0.0,-5.0,-5.0,0.5359,0.5024,-0.0336,0.5245,0.4961,-0.0284
52,1,CA1-DG,6000,67.55,69.22,0.4,0.6364,0.2326,0.2847,0.0521,2.0,6.0,4.0,0.0401,0.1143,0.0742,0.003,0.0073,0.0043,0.0,0.0,0.0,0.541,0.502,-0.0389,0.3594,0.3732,0.0138
52,1,CA1-V1,6000,83.41,85.48,0.4,0.3333,0.0947,0.1134,0.0187,0.0,4.0,4.0,0.0,0.0997,0.0997,-0.0095,-0.0391,-0.0296,0.0,-4.0,-4.0,0.5468,0.504,-0.0428,0.5235,0.3461,-0.1775
52,1,CA3-DG,6000,80.65,81.35,0.4737,0.6364,0.6983,0.6207,-0.0776,6.0,10.0,4.0,0.5673,0.8431,0.2758,-0.0057,0.0164,0.0221,0.0,0.0,0.0,0.525,0.4889,-0.0361,0.3589,0.338,-0.0209
52,1,V1-RSC,6000,82.12,76.44,0.3684,0.3333,0.1544,-0.1564,-0.3109,1.0,1.0,0.0,0.0121,0.0295,0.0174,0.1256,0.0203,-0.1053,3.0,0.0,-3.0,0.5096,0.3637,-0.1459,0.3056,0.1382,-0.1674
61,1,CA1-RSC,4215,82.93,84.18,0.4286,0.3333,0.1775,0.1355,-0.0421,1.0,0.0,-1.0,0.016,0.0,-0.016,-0.0095,0.0311,0.0406,1.0,3.0,2.0,0.5931,0.5912,-0.0019,0.4537,0.3805,-0.0732
61,1,CA1-CA3,4215,88.52,77.92,0.4286,0.4545,0.0214,-0.0726,-0.094,1.0,0.0,-1.0,0.0217,0.0,-0.0217,-0.0806,-0.0578,0.0228,0.0,-5.0,-5.0,0.5885,0.5832,-0.0053,0.4509,0.414,-0.0369
61,1,CA1-DG,4215,87.31,87.57,0.4286,0.0769,0.1481,-0.0134,-0.1616,0.0,0.0,0.0,0.0,0.0,0.0,-0.0108,0.0467,0.0575,0.0,0.0,0.0,0.5875,0.5842,-0.0033,0.4168,0.3693,-0.0475
