animal,learner,pair,n_matched_bins,angle_x,angle_y,jac_x,jac_y,unc_cc1,cue_cc1,d_cc1,unc_n_sig,cue_n_sig,d_n_sig,unc_mi_sig,cue_mi_sig,d_mi_sig,unc_ifi,cue_ifi,d_ifi,unc_optimal_lag,cue_optimal_lag,d_optimal_lag,unc_gini_x,cue_gini_x,d_gini_x,unc_gini_y,cue_gini_y,d_gini_y
41,1,CA1-CA3,15000,90.0,84.09,0.1429,0.3333,0.0988,1.0,0.9012,1.0,1.0,0.0,0.0049,3.1076,3.1026,0.1132,-0.003,-0.1162,4.0,0.0,-4.0,0.4988,0.8561,0.3573,0.2887,0.9358,0.6471
41,1,CA1-V1,15000,89.99,88.9,0.3333,0.0833,-0.3416,0.0608,0.4025,4.0,0.0,-4.0,0.5197,0.0,-0.5197,0.0107,-0.0805,-0.0913,0.0,-5.0,-5.0,0.9697,0.2385,-0.7311,0.6469,0.5589,-0.0881
52,1,CA1-RSC,15000,89.71,72.98,0.3333,0.3333,0.083,-0.1775,-0.2605,2.0,0.0,-2.0,0.0072,0.0,-0.0072,-0.1853,0.1458,0.3311,-3.0,3.0,6.0,0.6353,0.5928,-0.0425,0.2722,0.1274,-0.1448
52,1,CA1-CA3,15000,83.04,58.39,0.3333,0.4,0.1882,0.1102,-0.078,3.0,1.0,-2.0,0.035,0.0061,-0.0289,0.0273,-0.0861,-0.1135,0.0,-1.0,-1.0,0.5982,0.5808,-0.0174,0.5692,0.5437,-0.0255
52,1,CA1-DG,15000,82.87,83.94,0.3333,0.2857,0.1903,0.3098,0.1196,2.0,5.0,3.0,0.0276,0.1033,0.0757,0.0174,-0.0105,-0.0279,0.0,0.0,0.0,0.5982,0.5795,-0.0186,0.397,0.4126,0.0156
52,1,CA1-V1,15000,86.31,86.22,0.3333,0.2683,0.0386,0.223,0.1844,0.0,3.0,3.0,0.0,0.0577,0.0577,0.0122,0.0068,-0.0054,2.0,0.0,-2.0,0.5985,0.5824,-0.0161,0.5979,0.4413,-0.1566
52,1,CA3-DG,15000,86.33,74.89,0.4,0.5,0.5526,0.521,-0.0316,3.0,13.0,10.0,0.207,0.6698,0.4628,0.0009,0.0966,0.0957,0.0,0.0,0.0,0.5672,0.5387,-0.0285,0.3863,0.3948,0.0085
52,1,V1-RSC,15000,85.58,71.63,0.2093,0.3333,0.0628,-0.3667,-0.4295,2.0,1.0,-1.0,0.0143,0.0055,-0.0088,0.0246,0.0041,-0.0206,3.0,0.0,-3.0,0.6066,0.4426,-0.1641,0.2719,0.1276,-0.1443
61,1,CA1-RSC,10534,83.62,88.78,0.3043,0.4857,0.0184,0.0957,0.0773,1.0,1.0,0.0,0.0048,0.0046,-0.0002,0.0149,0.1029,0.088,3.0,4.0,1.0,0.6658,0.6289,-0.0368,0.5549,0.4871,-0.0678
61,1,CA1-CA3,10534,89.84,77.1,0.3043,0.4545,0.0799,0.0091,-0.0708,0.0,0.0,0.0,0.0,0.0,0.0,-0.1048,-0.0362,0.0686,-4.0,-3.0,1.0,0.6653,0.6299,-0.0354,0.4774,0.4373,-0.0401
61,1,CA1-DG,10534,81.69,72.52,0.3043,0.0769,0.0508,-0.0251,-0.0759,0.0,1.0,1.0,0.0,0.0084,0.0084,-0.0215,0.0735,0.095,0.0,3.0,3.0,0.6646,0.6297,-0.0349,0.4409,0.3865,-0.0545
61,1,CA1-V1,10534,85.99,85.73,0.3043,0.2727,-0.0685,-0.0946,-0.0261,3.0,2.0,-1.0,0.0155,0.0201,0.0046,0.0396,-0.0093,-0.0488,5.0,0.0,-5.0,0.6643,0.6317,-0.0327,0.6898,0.635,-0.0548
61,1,CA3-DG,10534,89.49,79.82,0.4545,0.0769,0.3101,0.2483,-0.0619,4.0,2.0,-2.0,0.1534,0.0626,-0.0907,-0.0432,-0.1,-0.0568,0.0,0.0,0.0,0.482,0.4366,-0.0454,0.437,0.3751,-0.062
61,1,V1-RSC,10534,86.13,88.57,0.2727,0.5294,-0.1668,-0.2638,-0.097,3.0,1.0,-2.0,0.0427,0.061,0.0183,-0.0438,0.0162,0.06,-3.0,0.0,3.0,0.6877,0.6318,-0.056,0.5531,0.4814,-0.0717
63,1,CA1-RSC,11192,81.89,83.21,0.2,0.4444,0.0227,0.016,-0.0067,0.0,0.0,0.0,0.0,0.0,0.0,0.0468,0.0492,0.0025,5.0,1.0,-4.0,0.0864,0.1017,0.0152,0.558,0.4976,-0.0604
66,1,CA1-RSC,13557,83.02,78.32,0.1667,0.3333,0.0111,0.0302,0.0191,0.0,0.0,0.0,0.0,0.0,0.0,0.0223,-0.0171,-0.0394,0.0,0.0,0.0,0.5109,0.4721,-0.0389,0.2594,0.2259,-0.0335
66,1,CA1-DG,13557,64.86,88.4,0.1667,0.2857,0.1585,0.2344,0.0758,1.0,2.0,1.0,0.0127,0.0322,0.0195,-0.0281,-0.0141,0.014,-5.0,0.0,5.0,0.5103,0.4686,-0.0417,0.3666,0.3976,0.031
66,1,CA1-V1,13557,83.11,64.49,0.1667,0.1111,-0.0073,0.0186,0.0259,0.0,0.0,0.0,0.0,0.0,0.0,0.024,-0.0029,-0.0269,3.0,2.0,-1.0,0.5104,0.4724,-0.0379,0.2458,0.2243,-0.0215
66,1,CA1-SUB,13557,84.32,78.48,0.1667,0.3333,0.0504,0.0559,0.0055,0.0,0.0,0.0,0.0,0.0,0.0,0.0121,-0.017,-0.0291,0.0,0.0,0.0,0.5145,0.489,-0.0255,0.057,0.0666,0.0096
66,1,RSC-SUB,13557,87.37,88.25,0.3333,0.3333,-0.0583,0.0343,0.0927,1.0,0.0,-1.0,0.0033,0.0,-0.0033,0.0222,-0.0124,-0.0346,1.0,-5.0,-6.0,0.2773,0.2328,-0.0445,0.0571,0.0667,0.0096
66,1,V1-RSC,13557,88.44,87.55,0.1111,0.3333,-0.001,0.069,0.07,0.0,0.0,0.0,0.0,0.0,0.0,-0.0128,0.033,0.0458,0.0,3.0,3.0,0.2474,0.2213,-0.0262,0.2589,0.2258,-0.033
68,1,CA1-RSC,10297,80.2,73.44,0.6,0.2,0.2358,0.0607,-0.1751,1.0,0.0,-1.0,0.0286,0.0,-0.0286,0.0016,0.0841,0.0825,0.0,3.0,3.0,0.3119,0.2277,-0.0842,0.6955,0.1534,-0.542
68,1,CA1-CA3,10297,78.64,88.03,0.3333,0.5,0.3147,0.0133,-0.3015,1.0,5.0,4.0,0.0522,0.1941,0.1419,-0.0211,0.0132,0.0343,0.0,0.0,0.0,0.3382,0.2833,-0.055,0.1861,0.7067,0.5207
68,1,CA1-DG,10297,83.49,87.96,1.0,0.3333,0.203,0.1235,-0.0796,2.0,1.0,-1.0,0.0251,0.0077,-0.0174,-0.0548,-0.0084,0.0464,-2.0,0.0,2.0,0.2799,0.2173,-0.0626,0.3088,0.2868,-0.0221
68,1,CA3-DG,10297,74.94,75.99,0.5,0.3333,0.1633,0.1464,-0.0168,2.0,1.0,-1.0,0.0253,0.0108,-0.0145,-0.0108,0.0217,0.0325,0.0,0.0,0.0,0.1865,0.6992,0.5127,0.3388,0.2762,-0.0626
71,0,CA1-RSC,13056,87.73,89.95,0.25,0.2,0.024,-0.1434,-0.1674,0.0,6.0,6.0,0.0,0.4091,0.4091,-0.0017,0.0203,0.022,0.0,5.0,5.0,0.3558,0.3476,-0.0082,0.7332,0.673,-0.0602
71,0,CA1-CA3,13056,83.08,77.05,0.25,0.6,0.0846,-0.2655,-0.3501,1.0,7.0,6.0,0.0036,0.3403,0.3367,-0.01,-0.0373,-0.0273,0.0,0.0,0.0,0.3567,0.3485,-0.0082,0.603,0.5315,-0.0715
71,0,CA1-DG,13056,53.99,73.8,0.25,0.4762,0.1367,0.3326,0.1959,2.0,8.0,6.0,0.0141,0.2488,0.2348,0.0659,-0.0033,-0.0692,-4.0,-5.0,-1.0,0.359,0.346,-0.013,0.6016,0.6241,0.0224
71,0,CA1-V1,13056,76.08,82.53,0.25,0.3333,-0.0003,-0.0563,-0.056,0.0,10.0,10.0,0.0,0.93,0.93,-0.0422,0.0074,0.0495,-2.0,0.0,2.0,0.3564,0.3481,-0.0082,0.6501,0.5129,-0.1372
71,0,CA3-DG,13056,77.76,86.41,0.5238,0.4762,0.1889,0.4465,0.2576,2.0,7.0,5.0,0.0329,0.2569,0.224,0.0196,0.0528,0.0332,0.0,0.0,0.0,0.583,0.5162,-0.0668,0.5988,0.6192,0.0205
71,0,CA1-SUB,13056,87.82,84.67,0.25,0.2941,-0.4007,0.0635,0.4642,6.0,5.0,-1.0,0.2267,0.3364,0.1097,-0.014,-0.0216,-0.0076,5.0,0.0,-5.0,0.3558,0.3483,-0.0075,0.4212,0.3968,-0.0244
71,0,RSC-SUB,13056,87.63,86.12,0.2245,0.2941,0.5033,0.8706,0.3673,6.0,4.0,-2.0,0.4396,0.8612,0.4216,-0.0181,-0.0493,-0.0312,0.0,0.0,0.0,0.7332,0.672,-0.0612,0.4219,0.3954,-0.0265
71,0,V1-RSC,13056,85.52,85.76,0.3333,0.2,0.041,-0.8278,-0.8689,0.0,11.0,11.0,0.0,0.6459,0.6459,0.0197,-0.0047,-0.0244,0.0,0.0,0.0,0.6466,0.5056,-0.1411,0.7314,0.6701,-0.0613
73,1,CA1-RSC,15000,84.45,89.62,0.2,0.3333,0.0264,0.0308,0.0044,0.0,0.0,0.0,0.0,0.0,0.0,0.0045,-0.0212,-0.0257,3.0,0.0,-3.0,0.4545,0.4118,-0.0427,0.6597,0.6706,0.0109
73,1,CA1-DG,15000,80.31,88.84,0.2,0.4545,0.0108,0.0168,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0507,-0.0484,-0.0991,3.0,-1.0,-4.0,0.4649,0.4177,-0.0472,0.5101,0.5075,-0.0026
73,1,CA1-V1,15000,82.34,79.33,0.2,0.4286,-0.0012,-0.0097,-0.0085,0.0,0.0,0.0,0.0,0.0,0.0,0.0059,0.0428,0.0369,3.0,2.0,-1.0,0.4652,0.4177,-0.0475,0.3438,0.3227,-0.0211
73,1,CA1-SUB,15000,84.17,87.61,0.2,0.5556,0.0137,0.0419,0.0282,0.0,0.0,0.0,0.0,0.0,0.0,-0.0678,-0.0094,0.0584,0.0,0.0,0.0,0.4654,0.4171,-0.0483,0.3322,0.3011,-0.0311
73,1,RSC-SUB,15000,87.46,87.09,0.3333,0.5556,-0.0052,0.0499,0.0551,0.0,0.0,0.0,0.0,0.0,0.0,-0.0183,-0.0061,0.0122,-5.0,-1.0,4.0,0.6603,0.6718,0.0115,0.3292,0.2999,-0.0294
73,1,V1-RSC,15000,80.55,89.57,0.4286,0.3333,0.0605,0.0526,-0.0079,0.0,0.0,0.0,0.0,0.0,0.0,0.0311,0.0336,0.0025,4.0,3.0,-1.0,0.3421,0.3226,-0.0195,0.6605,0.6715,0.011
75,1,CA1-RSC,12835,85.18,89.06,0.0909,0.1111,-0.1192,0.1933,0.3125,0.0,8.0,8.0,0.0,0.3449,0.3449,0.0716,0.0988,0.0272,2.0,4.0,2.0,0.3345,0.3383,0.0038,0.8104,0.726,-0.0845
75,1,CA1-DG,12835,80.92,73.66,0.0909,0.3913,0.1452,0.7512,0.6061,1.0,8.0,7.0,0.0106,0.5726,0.562,-0.1587,-0.1258,0.0329,0.0,0.0,0.0,0.3345,0.3383,0.0038,0.68,0.6044,-0.0757
75,1,CA1-V1,12835,82.26,87.75,0.0909,0.1111,0.0147,0.1622,0.1475,0.0,2.0,2.0,0.0,0.0236,0.0236,0.0201,-0.0296,-0.0497,4.0,-5.0,-9.0,0.334,0.3384,0.0044,0.6295,0.4881,-0.1413
75,1,CA1-SUB,12835,77.21,84.94,0.0909,0.1765,0.0643,0.3799,0.3157,0.0,7.0,7.0,0.0,0.2174,0.2174,-0.0325,-0.0418,-0.0094,0.0,0.0,0.0,0.3346,0.3385,0.0039,0.3599,0.2966,-0.0634
