animal,learner,pair,n_matched_bins,angle_x,angle_y,jac_x,jac_y,unc_cc1,cue_cc1,d_cc1,unc_n_sig,cue_n_sig,d_n_sig,unc_mi_sig,cue_mi_sig,d_mi_sig,unc_ifi,cue_ifi,d_ifi,unc_optimal_lag,cue_optimal_lag,d_optimal_lag,unc_gini_x,cue_gini_x,d_gini_x,unc_gini_y,cue_gini_y,d_gini_y
41,1,CA1-CA3,15000,49.31,58.8,0.2,0.3333,0.4223,0.4308,0.0086,2.0,2.0,0.0,0.1309,0.1351,0.0042,0.0498,0.0302,-0.0197,1.0,2.0,1.0,0.4291,0.3152,-0.1139,0.3651,0.4133,0.0481
41,1,CA1-V1,15000,89.8,87.45,0.2,0.0732,0.5246,0.0537,-0.4709,2.0,0.0,-2.0,0.3072,0.0,-0.3072,-0.0302,0.0252,0.0554,0.0,3.0,3.0,0.4062,0.3162,-0.0899,0.6164,0.5433,-0.0731
52,1,CA1-RSC,15000,87.84,82.88,0.3636,0.5,0.1083,-0.1802,-0.2884,3.0,2.0,-1.0,0.0182,0.0485,0.0302,-0.1084,0.1174,0.2258,-3.0,3.0,6.0,0.6082,0.5924,-0.0158,0.2456,0.1238,-0.1218
52,1,CA1-CA3,15000,61.28,51.51,0.3636,0.5238,0.2721,0.1259,-0.1462,4.0,2.0,-2.0,0.063,0.0137,-0.0493,-0.0319,-0.0815,-0.0496,0.0,-1.0,-1.0,0.5953,0.5824,-0.013,0.5559,0.5272,-0.0288
52,1,CA1-DG,15000,84.52,79.92,0.3636,0.2857,0.2416,0.361,0.1194,6.0,6.0,0.0,0.0543,0.1312,0.0769,0.0262,0.0,-0.0262,0.0,0.0,0.0,0.5966,0.5841,-0.0125,0.3987,0.4157,0.017
52,1,CA1-V1,15000,84.54,88.95,0.3636,0.2727,0.0584,0.3026,0.2442,0.0,3.0,3.0,0.0,0.086,0.086,-0.0009,-0.0168,-0.0159,-3.0,0.0,3.0,0.5953,0.5825,-0.0128,0.5849,0.4292,-0.1557
52,1,CA3-DG,15000,73.87,76.38,0.5238,0.5,0.5189,0.0454,-0.4735,4.0,10.0,6.0,0.2489,0.4662,0.2173,-0.0265,0.0627,0.0892,0.0,0.0,0.0,0.55,0.5225,-0.0275,0.3864,0.3947,0.0083
52,1,V1-RSC,15000,74.14,83.57,0.2727,0.5,0.183,-0.3329,-0.5159,5.0,5.0,0.0,0.0572,0.0839,0.0267,0.0496,-0.0172,-0.0668,0.0,0.0,0.0,0.5747,0.4221,-0.1526,0.2453,0.1245,-0.1209
61,1,CA1-RSC,10534,87.97,86.46,0.3333,0.6111,0.2143,0.0701,-0.1442,1.0,0.0,-1.0,0.0235,0.0,-0.0235,0.1031,0.0775,-0.0256,4.0,4.0,0.0,0.6849,0.6499,-0.035,0.5292,0.4774,-0.0518
61,1,CA1-CA3,10534,88.51,82.31,0.3333,0.6364,0.0776,-0.0936,-0.1713,1.0,0.0,-1.0,0.0059,0.0,-0.0059,-0.0906,-0.0095,0.0811,-3.0,-1.0,2.0,0.6851,0.657,-0.0281,0.5012,0.4491,-0.0522
