animal,learner,pair,cond,area,unit,contrib
41,1,CA1-CA3,uncued,CA1,0,0.986742
41,1,CA1-CA3,uncued,CA1,1,0.886015
41,1,CA1-CA3,uncued,CA1,2,2.771307
41,1,CA1-CA3,uncued,CA1,3,1.217997
41,1,CA1-CA3,uncued,CA1,4,1.202279
41,1,CA1-CA3,uncued,CA1,5,1.305419
41,1,CA1-CA3,uncued,CA1,6,0.91291
41,1,CA1-CA3,uncued,CA1,7,2.509008
41,1,CA1-CA3,uncued,CA1,8,4.433702
41,1,CA1-CA3,uncued,CA1,9,0.0
41,1,CA1-CA3,uncued,CA1,10,2.856479
41,1,CA1-CA3,uncued,CA1,11,0.0
41,1,CA1-CA3,uncued,CA1,12,6.798672
41,1,CA1-CA3,uncued,CA1,13,1.235473
41,1,CA1-CA3,uncued,CA3,0,0.611158
41,1,CA1-CA3,uncued,CA3,1,0.983803
41,1,CA1-CA3,uncued,CA3,2,0.79557
41,1,CA1-CA3,uncued,CA3,3,0.605554
41,1,CA1-CA3,uncued,CA3,4,0.976924
41,1,CA1-CA3,uncued,CA3,5,0.889592
41,1,CA1-CA3,uncued,CA3,6,2.708922
41,1,CA1-CA3,uncued,CA3,7,0.990434
41,1,CA1-CA3,uncued,CA3,8,1.632994
41,1,CA1-CA3,uncued,CA3,9,2.259704
41,1,CA1-CA3,uncued,CA3,10,0.62388
41,1,CA1-CA3,uncued,CA3,11,1.065483
41,1,CA1-CA3,uncued,CA3,12,0.924416
41,1,CA1-CA3,uncued,CA3,13,1.855489
41,1,CA1-CA3,cued,CA1,0,1.029972
41,1,CA1-CA3,cued,CA1,1,0.826568
41,1,CA1-CA3,cued,CA1,2,1.276552
41,1,CA1-CA3,cued,CA1,3,1.069927
41,1,CA1-CA3,cued,CA1,4,1.024427
41,1,CA1-CA3,cued,CA1,5,1.002987
41,1,CA1-CA3,cued,CA1,6,0.844938
41,1,CA1-CA3,cued,CA1,7,1.292522
41,1,CA1-CA3,cued,CA1,8,1.555351
41,1,CA1-CA3,cued,CA1,9,2.700733
41,1,CA1-CA3,cued,CA1,10,1.145046
41,1,CA1-CA3,cued,CA1,11,86.85387
41,1,CA1-CA3,cued,CA1,12,1.248969
41,1,CA1-CA3,cued,CA1,13,1.230659
41,1,CA1-CA3,cued,CA3,0,0.669203
41,1,CA1-CA3,cued,CA3,1,0.973673
41,1,CA1-CA3,cued,CA3,2,1.795353
41,1,CA1-CA3,cued,CA3,3,1.146
41,1,CA1-CA3,cued,CA3,4,3.02526
41,1,CA1-CA3,cued,CA3,5,246.576362
41,1,CA1-CA3,cued,CA3,6,3.983618
41,1,CA1-CA3,cued,CA3,7,0.939304
41,1,CA1-CA3,cued,CA3,8,1.995251
41,1,CA1-CA3,cued,CA3,9,3.487053
41,1,CA1-CA3,cued,CA3,10,0.725786
41,1,CA1-CA3,cued,CA3,11,1.030582
41,1,CA1-CA3,cued,CA3,12,0.859304
41,1,CA1-CA3,cued,CA3,13,2.642317
41,1,CA1-V1,uncued,CA1,0,0.986411
41,1,CA1-V1,uncued,CA1,1,0.885505
41,1,CA1-V1,uncued,CA1,2,2.759978
41,1,CA1-V1,uncued,CA1,3,1.211761
41,1,CA1-V1,uncued,CA1,4,1.196955
41,1,CA1-V1,uncued,CA1,5,1.29905
41,1,CA1-V1,uncued,CA1,6,0.908057
41,1,CA1-V1,uncued,CA1,7,2.497805
41,1,CA1-V1,uncued,CA1,8,4.426802
41,1,CA1-V1,uncued,CA1,9,192141306.232837
41,1,CA1-V1,uncued,CA1,10,2.850277
41,1,CA1-V1,uncued,CA1,11,782137763.438001
41,1,CA1-V1,uncued,CA1,12,6.798077
41,1,CA1-V1,uncued,CA1,13,1.229087
41,1,CA1-V1,uncued,V1,0,0.056656
41,1,CA1-V1,uncued,V1,1,0.41638
41,1,CA1-V1,uncued,V1,2,0.050572
41,1,CA1-V1,uncued,V1,3,0.095463
41,1,CA1-V1,uncued,V1,4,0.084988
41,1,CA1-V1,uncued,V1,5,0.190009
41,1,CA1-V1,uncued,V1,6,0.031485
41,1,CA1-V1,uncued,V1,7,0.018056
41,1,CA1-V1,uncued,V1,8,0.107369
41,1,CA1-V1,uncued,V1,9,0.126234
41,1,CA1-V1,uncued,V1,10,0.050903
41,1,CA1-V1,uncued,V1,11,0.066276
41,1,CA1-V1,uncued,V1,12,0.030297
41,1,CA1-V1,uncued,V1,13,0.114652
41,1,CA1-V1,uncued,V1,14,0.655821
41,1,CA1-V1,uncued,V1,15,0.047716
41,1,CA1-V1,uncued,V1,16,0.296649
41,1,CA1-V1,uncued,V1,17,0.066622
41,1,CA1-V1,uncued,V1,18,0.739041
41,1,CA1-V1,uncued,V1,19,0.201458
41,1,CA1-V1,uncued,V1,20,0.076968
41,1,CA1-V1,uncued,V1,21,0.150804
41,1,CA1-V1,uncued,V1,22,0.046804
41,1,CA1-V1,uncued,V1,23,0.042582
41,1,CA1-V1,uncued,V1,24,0.080996
41,1,CA1-V1,uncued,V1,25,0.18404
41,1,CA1-V1,uncued,V1,26,0.020813
41,1,CA1-V1,uncued,V1,27,0.16637
41,1,CA1-V1,uncued,V1,28,0.041996
41,1,CA1-V1,uncued,V1,29,0.48575
41,1,CA1-V1,uncued,V1,30,0.060716
41,1,CA1-V1,uncued,V1,31,0.11361
41,1,CA1-V1,uncued,V1,32,0.14077
41,1,CA1-V1,uncued,V1,33,0.223165
41,1,CA1-V1,uncued,V1,34,0.187005
41,1,CA1-V1,uncued,V1,35,0.198525
41,1,CA1-V1,uncued,V1,36,0.022947
41,1,CA1-V1,uncued,V1,37,0.218589
41,1,CA1-V1,uncued,V1,38,0.126901
41,1,CA1-V1,uncued,V1,39,0.037315
41,1,CA1-V1,uncued,V1,40,0.042379
41,1,CA1-V1,uncued,V1,41,0.088955
41,1,CA1-V1,uncued,V1,42,0.149846
41,1,CA1-V1,uncued,V1,43,0.023655
41,1,CA1-V1,uncued,V1,44,0.078911
41,1,CA1-V1,uncued,V1,45,0.017666
41,1,CA1-V1,uncued,V1,46,0.023713
41,1,CA1-V1,uncued,V1,47,0.060911
41,1,CA1-V1,uncued,V1,48,0.037956
41,1,CA1-V1,uncued,V1,49,0.008733
41,1,CA1-V1,uncued,V1,50,0.081793
41,1,CA1-V1,uncued,V1,51,0.017146
41,1,CA1-V1,uncued,V1,52,0.015676
41,1,CA1-V1,uncued,V1,53,0.099804
41,1,CA1-V1,uncued,V1,54,0.011153
41,1,CA1-V1,uncued,V1,55,0.02648
41,1,CA1-V1,uncued,V1,56,0.037045
41,1,CA1-V1,uncued,V1,57,0.030045
41,1,CA1-V1,uncued,V1,58,0.012863
41,1,CA1-V1,uncued,V1,59,0.226765
41,1,CA1-V1,uncued,V1,60,0.165866
41,1,CA1-V1,uncued,V1,61,0.006089
41,1,CA1-V1,uncued,V1,62,0.049879
41,1,CA1-V1,uncued,V1,63,0.01917
41,1,CA1-V1,uncued,V1,64,0.067615
41,1,CA1-V1,uncued,V1,65,0.00966
41,1,CA1-V1,uncued,V1,66,0.008676
41,1,CA1-V1,uncued,V1,67,0.014334
41,1,CA1-V1,uncued,V1,68,0.009142
41,1,CA1-V1,uncued,V1,69,0.020846
41,1,CA1-V1,uncued,V1,70,0.014232
41,1,CA1-V1,uncued,V1,71,0.009527
41,1,CA1-V1,uncued,V1,72,0.037568
41,1,CA1-V1,uncued,V1,73,0.006778
41,1,CA1-V1,uncued,V1,74,0.164215
41,1,CA1-V1,uncued,V1,75,0.026164
41,1,CA1-V1,uncued,V1,76,0.018691
41,1,CA1-V1,uncued,V1,77,0.002287
41,1,CA1-V1,uncued,V1,78,0.029192
41,1,CA1-V1,uncued,V1,79,0.641077
41,1,CA1-V1,uncued,V1,80,0.024326
41,1,CA1-V1,uncued,V1,81,0.099132
41,1,CA1-V1,uncued,V1,82,0.098924
41,1,CA1-V1,uncued,V1,83,0.017173
41,1,CA1-V1,uncued,V1,84,0.075044
41,1,CA1-V1,uncued,V1,85,0.032348
41,1,CA1-V1,uncued,V1,86,0.017837
41,1,CA1-V1,uncued,V1,87,0.715335
41,1,CA1-V1,uncued,V1,88,0.008795
41,1,CA1-V1,uncued,V1,89,0.077723
41,1,CA1-V1,uncued,V1,90,0.783491
41,1,CA1-V1,uncued,V1,91,0.121785
41,1,CA1-V1,uncued,V1,92,0.07231
41,1,CA1-V1,uncued,V1,93,0.012789
41,1,CA1-V1,uncued,V1,94,0.016434
41,1,CA1-V1,uncued,V1,95,0.044033
41,1,CA1-V1,uncued,V1,96,0.654152
41,1,CA1-V1,uncued,V1,97,0.026767
41,1,CA1-V1,uncued,V1,98,0.045065
41,1,CA1-V1,uncued,V1,99,0.186869
41,1,CA1-V1,uncued,V1,100,0.315456
41,1,CA1-V1,uncued,V1,101,0.030653
41,1,CA1-V1,uncued,V1,102,0.009505
41,1,CA1-V1,uncued,V1,103,0.638565
41,1,CA1-V1,uncued,V1,104,0.727064
41,1,CA1-V1,uncued,V1,105,0.437053
41,1,CA1-V1,uncued,V1,106,0.04288
41,1,CA1-V1,uncued,V1,107,0.025595
41,1,CA1-V1,uncued,V1,108,0.038258
41,1,CA1-V1,uncued,V1,109,0.162851
41,1,CA1-V1,uncued,V1,110,0.091054
41,1,CA1-V1,uncued,V1,111,0.07616
41,1,CA1-V1,uncued,V1,112,0.048067
41,1,CA1-V1,uncued,V1,113,0.029969
41,1,CA1-V1,uncued,V1,114,0.549467
41,1,CA1-V1,uncued,V1,115,0.013341
41,1,CA1-V1,uncued,V1,116,0.008676
41,1,CA1-V1,uncued,V1,117,0.003687
41,1,CA1-V1,uncued,V1,118,0.02517
41,1,CA1-V1,uncued,V1,119,0.060684
41,1,CA1-V1,uncued,V1,120,0.144736
41,1,CA1-V1,uncued,V1,121,0.688019
41,1,CA1-V1,uncued,V1,122,0.034073
41,1,CA1-V1,uncued,V1,123,0.005649
41,1,CA1-V1,uncued,V1,124,0.006393
41,1,CA1-V1,uncued,V1,125,0.011906
41,1,CA1-V1,uncued,V1,126,0.117637
41,1,CA1-V1,uncued,V1,127,0.05155
41,1,CA1-V1,uncued,V1,128,0.001979
41,1,CA1-V1,uncued,V1,129,0.013666
41,1,CA1-V1,uncued,V1,130,0.011057
41,1,CA1-V1,uncued,V1,131,0.079057
41,1,CA1-V1,uncued,V1,132,0.097753
41,1,CA1-V1,uncued,V1,133,0.176146
41,1,CA1-V1,uncued,V1,134,0.133134
41,1,CA1-V1,uncued,V1,135,0.018361
41,1,CA1-V1,uncued,V1,136,0.240373
41,1,CA1-V1,uncued,V1,137,0.022926
41,1,CA1-V1,uncued,V1,138,0.724873
41,1,CA1-V1,uncued,V1,139,0.016753
41,1,CA1-V1,uncued,V1,140,0.036898
41,1,CA1-V1,uncued,V1,141,0.025084
41,1,CA1-V1,uncued,V1,142,0.622552
41,1,CA1-V1,uncued,V1,143,0.01125
41,1,CA1-V1,uncued,V1,144,0.080966
41,1,CA1-V1,uncued,V1,145,0.044758
41,1,CA1-V1,uncued,V1,146,0.009052
41,1,CA1-V1,uncued,V1,147,0.117588
41,1,CA1-V1,uncued,V1,148,0.64711
41,1,CA1-V1,uncued,V1,149,0.026936
41,1,CA1-V1,uncued,V1,150,0.009019
41,1,CA1-V1,uncued,V1,151,0.040921
41,1,CA1-V1,uncued,V1,152,0.009064
41,1,CA1-V1,uncued,V1,153,0.018691
41,1,CA1-V1,uncued,V1,154,0.030108
41,1,CA1-V1,cued,CA1,0,1.025338
41,1,CA1-V1,cued,CA1,1,0.826733
41,1,CA1-V1,cued,CA1,2,1.268952
41,1,CA1-V1,cued,CA1,3,1.062308
41,1,CA1-V1,cued,CA1,4,1.017394
41,1,CA1-V1,cued,CA1,5,0.998014
41,1,CA1-V1,cued,CA1,6,0.838347
41,1,CA1-V1,cued,CA1,7,1.289738
41,1,CA1-V1,cued,CA1,8,1.546932
41,1,CA1-V1,cued,CA1,9,2.637895
41,1,CA1-V1,cued,CA1,10,1.137822
41,1,CA1-V1,cued,CA1,11,0.0
41,1,CA1-V1,cued,CA1,12,1.242689
41,1,CA1-V1,cued,CA1,13,1.223972
41,1,CA1-V1,cued,V1,0,0.036026
41,1,CA1-V1,cued,V1,1,0.031643
41,1,CA1-V1,cued,V1,2,0.04475
41,1,CA1-V1,cued,V1,3,0.053478
41,1,CA1-V1,cued,V1,4,0.043528
41,1,CA1-V1,cued,V1,5,0.037065
41,1,CA1-V1,cued,V1,6,0.09065
41,1,CA1-V1,cued,V1,7,0.173777
41,1,CA1-V1,cued,V1,8,0.06502
41,1,CA1-V1,cued,V1,9,0.140712
41,1,CA1-V1,cued,V1,10,0.046852
41,1,CA1-V1,cued,V1,11,0.179636
41,1,CA1-V1,cued,V1,12,0.008915
41,1,CA1-V1,cued,V1,13,0.044284
41,1,CA1-V1,cued,V1,14,0.012227
41,1,CA1-V1,cued,V1,15,0.007977
41,1,CA1-V1,cued,V1,16,0.09166
41,1,CA1-V1,cued,V1,17,0.032577
41,1,CA1-V1,cued,V1,18,0.245935
41,1,CA1-V1,cued,V1,19,0.050539
41,1,CA1-V1,cued,V1,20,0.031434
41,1,CA1-V1,cued,V1,21,0.045435
41,1,CA1-V1,cued,V1,22,0.040537
41,1,CA1-V1,cued,V1,23,0.020189
41,1,CA1-V1,cued,V1,24,0.090335
41,1,CA1-V1,cued,V1,25,0.045169
41,1,CA1-V1,cued,V1,26,0.016398
41,1,CA1-V1,cued,V1,27,0.071057
41,1,CA1-V1,cued,V1,28,0.049696
41,1,CA1-V1,cued,V1,29,0.054771
41,1,CA1-V1,cued,V1,30,0.075612
41,1,CA1-V1,cued,V1,31,0.049699
41,1,CA1-V1,cued,V1,32,0.054303
41,1,CA1-V1,cued,V1,33,0.075136
41,1,CA1-V1,cued,V1,34,0.077543
41,1,CA1-V1,cued,V1,35,0.057778
41,1,CA1-V1,cued,V1,36,0.044361
41,1,CA1-V1,cued,V1,37,0.077198
41,1,CA1-V1,cued,V1,38,0.018709
41,1,CA1-V1,cued,V1,39,0.018557
41,1,CA1-V1,cued,V1,40,0.017399
41,1,CA1-V1,cued,V1,41,0.055891
41,1,CA1-V1,cued,V1,42,0.023836
41,1,CA1-V1,cued,V1,43,0.039101
41,1,CA1-V1,cued,V1,44,0.085984
41,1,CA1-V1,cued,V1,45,0.007195
41,1,CA1-V1,cued,V1,46,0.018542
41,1,CA1-V1,cued,V1,47,0.075486
41,1,CA1-V1,cued,V1,48,0.034713
41,1,CA1-V1,cued,V1,49,0.043479
41,1,CA1-V1,cued,V1,50,0.287464
41,1,CA1-V1,cued,V1,51,0.047792
41,1,CA1-V1,cued,V1,52,0.031729
41,1,CA1-V1,cued,V1,53,0.206457
41,1,CA1-V1,cued,V1,54,0.012577
41,1,CA1-V1,cued,V1,55,0.025165
41,1,CA1-V1,cued,V1,56,0.167235
41,1,CA1-V1,cued,V1,57,0.130601
41,1,CA1-V1,cued,V1,58,0.016284
41,1,CA1-V1,cued,V1,59,0.136053
41,1,CA1-V1,cued,V1,60,0.024386
41,1,CA1-V1,cued,V1,61,0.143131
41,1,CA1-V1,cued,V1,62,0.156397
41,1,CA1-V1,cued,V1,63,0.468775
41,1,CA1-V1,cued,V1,64,0.119824
41,1,CA1-V1,cued,V1,65,0.409819
41,1,CA1-V1,cued,V1,66,0.06234
41,1,CA1-V1,cued,V1,67,0.55109
41,1,CA1-V1,cued,V1,68,0.009466
41,1,CA1-V1,cued,V1,69,0.148952
41,1,CA1-V1,cued,V1,70,0.147406
41,1,CA1-V1,cued,V1,71,0.384056
