animal,learner,pair,cond,area,unit,contrib
41,1,CA1-CA3,uncued,CA1,0,1.004472
41,1,CA1-CA3,uncued,CA1,1,0.896206
41,1,CA1-CA3,uncued,CA1,2,0.12889
41,1,CA1-CA3,uncued,CA1,3,1.014381
41,1,CA1-CA3,uncued,CA1,4,0.037948
41,1,CA1-CA3,uncued,CA1,5,1.218811
41,1,CA1-CA3,uncued,CA1,6,0.97922
41,1,CA1-CA3,uncued,CA1,7,1.120307
41,1,CA1-CA3,uncued,CA1,8,1.09792
41,1,CA1-CA3,uncued,CA1,9,1.201889
41,1,CA1-CA3,uncued,CA1,10,1.031552
41,1,CA1-CA3,uncued,CA1,11,1.30583
41,1,CA1-CA3,uncued,CA1,12,0.914594
41,1,CA1-CA3,uncued,CA1,13,2.514144
41,1,CA1-CA3,uncued,CA1,14,1.462628
41,1,CA1-CA3,uncued,CA1,15,0.011284
41,1,CA1-CA3,uncued,CA1,16,0.0
41,1,CA1-CA3,uncued,CA1,17,0.051981
41,1,CA1-CA3,uncued,CA1,18,0.0
41,1,CA1-CA3,uncued,CA1,19,0.001743
41,1,CA1-CA3,uncued,CA1,20,0.716261
41,1,CA1-CA3,uncued,CA1,21,1.236955
41,1,CA1-CA3,uncued,CA3,0,0.615113
41,1,CA1-CA3,uncued,CA3,1,0.990878
41,1,CA1-CA3,uncued,CA3,2,0.518686
41,1,CA1-CA3,uncued,CA3,3,0.810943
41,1,CA1-CA3,uncued,CA3,4,0.540331
41,1,CA1-CA3,uncued,CA3,5,0.613799
41,1,CA1-CA3,uncued,CA3,6,1.038875
41,1,CA1-CA3,uncued,CA3,7,0.29908
41,1,CA1-CA3,uncued,CA3,8,0.023025
41,1,CA1-CA3,uncued,CA3,9,0.013109
41,1,CA1-CA3,uncued,CA3,10,0.992502
41,1,CA1-CA3,uncued,CA3,11,0.886078
41,1,CA1-CA3,uncued,CA3,12,1.08796
41,1,CA1-CA3,uncued,CA3,13,1.059357
41,1,CA1-CA3,uncued,CA3,14,0.093989
41,1,CA1-CA3,uncued,CA3,15,0.574327
41,1,CA1-CA3,uncued,CA3,16,0.013771
41,1,CA1-CA3,uncued,CA3,17,0.630046
41,1,CA1-CA3,uncued,CA3,18,0.954281
41,1,CA1-CA3,uncued,CA3,19,0.133371
41,1,CA1-CA3,uncued,CA3,20,0.961416
41,1,CA1-CA3,uncued,CA3,21,0.93887
41,1,CA1-CA3,uncued,CA3,22,1.108164
41,1,CA1-CA3,uncued,CA3,23,0.030583
41,1,CA1-CA3,cued,CA1,0,1.045382
41,1,CA1-CA3,cued,CA1,1,0.838551
41,1,CA1-CA3,cued,CA1,2,0.734868
41,1,CA1-CA3,cued,CA1,3,0.972683
41,1,CA1-CA3,cued,CA1,4,0.213045
41,1,CA1-CA3,cued,CA1,5,1.066104
41,1,CA1-CA3,cued,CA1,6,1.178492
41,1,CA1-CA3,cued,CA1,7,1.019269
41,1,CA1-CA3,cued,CA1,8,1.039578
41,1,CA1-CA3,cued,CA1,9,1.024851
41,1,CA1-CA3,cued,CA1,10,0.092037
41,1,CA1-CA3,cued,CA1,11,1.002752
41,1,CA1-CA3,cued,CA1,12,0.845553
41,1,CA1-CA3,cued,CA1,13,0.370821
41,1,CA1-CA3,cued,CA1,14,0.977816
41,1,CA1-CA3,cued,CA1,15,0.0839
41,1,CA1-CA3,cued,CA1,16,0.008018
41,1,CA1-CA3,cued,CA1,17,1.138887
41,1,CA1-CA3,cued,CA1,18,0.000321
41,1,CA1-CA3,cued,CA1,19,0.536337
41,1,CA1-CA3,cued,CA1,20,0.646604
41,1,CA1-CA3,cued,CA1,21,1.130346
41,1,CA1-CA3,cued,CA3,0,0.669969
41,1,CA1-CA3,cued,CA3,1,0.985303
41,1,CA1-CA3,cued,CA3,2,0.488132
41,1,CA1-CA3,cued,CA3,3,0.083727
41,1,CA1-CA3,cued,CA3,4,1.125193
41,1,CA1-CA3,cued,CA3,5,1.130057
41,1,CA1-CA3,cued,CA3,6,0.061971
41,1,CA1-CA3,cued,CA3,7,0.00022
41,1,CA1-CA3,cued,CA3,8,0.025974
41,1,CA1-CA3,cued,CA3,9,0.009829
41,1,CA1-CA3,cued,CA3,10,0.941968
41,1,CA1-CA3,cued,CA3,11,0.979695
41,1,CA1-CA3,cued,CA3,12,1.040911
41,1,CA1-CA3,cued,CA3,13,1.027039
41,1,CA1-CA3,cued,CA3,14,0.040336
41,1,CA1-CA3,cued,CA3,15,0.509794
41,1,CA1-CA3,cued,CA3,16,0.009696
41,1,CA1-CA3,cued,CA3,17,0.726312
41,1,CA1-CA3,cued,CA3,18,0.896245
41,1,CA1-CA3,cued,CA3,19,1.030973
41,1,CA1-CA3,cued,CA3,20,0.953086
41,1,CA1-CA3,cued,CA3,21,0.865748
41,1,CA1-CA3,cued,CA3,22,0.841962
41,1,CA1-CA3,cued,CA3,23,0.010255
41,1,CA1-V1,uncued,CA1,0,1.021096
41,1,CA1-V1,uncued,CA1,1,0.919832
41,1,CA1-V1,uncued,CA1,2,0.092116
41,1,CA1-V1,uncued,CA1,3,1.070001
41,1,CA1-V1,uncued,CA1,4,0.17974
41,1,CA1-V1,uncued,CA1,5,1.21191
41,1,CA1-V1,uncued,CA1,6,0.972782
41,1,CA1-V1,uncued,CA1,7,1.120358
41,1,CA1-V1,uncued,CA1,8,1.092325
41,1,CA1-V1,uncued,CA1,9,1.19623
41,1,CA1-V1,uncued,CA1,10,1.027934
41,1,CA1-V1,uncued,CA1,11,1.299271
41,1,CA1-V1,uncued,CA1,12,0.909087
41,1,CA1-V1,uncued,CA1,13,2.472907
41,1,CA1-V1,uncued,CA1,14,1.453046
41,1,CA1-V1,uncued,CA1,15,0.145306
41,1,CA1-V1,uncued,CA1,16,0.038969
41,1,CA1-V1,uncued,CA1,17,0.084565
41,1,CA1-V1,uncued,CA1,18,0.009573
41,1,CA1-V1,uncued,CA1,19,0.022634
41,1,CA1-V1,uncued,CA1,20,0.712373
41,1,CA1-V1,uncued,CA1,21,1.229611
41,1,CA1-V1,uncued,V1,0,0.053711
41,1,CA1-V1,uncued,V1,1,0.455009
41,1,CA1-V1,uncued,V1,2,0.050001
