pair,matched,n_animals,finite_t1,finite_t2,n_deltas
CA1-CA3,0,9,9,9,9
CA1-CA3,1,9,9,9,9
CA1-CA3,2,9,9,9,9
CA1-DG,0,11,10,11,10
CA1-DG,1,11,10,11,10
CA1-DG,2,11,10,11,10
CA1-RSC,0,12,12,12,12
CA1-RSC,1,12,12,12,12
CA1-RSC,2,12,12,12,12
CA1-SUB,0,7,6,7,6
CA1-SUB,1,7,6,7,6
CA1-SUB,2,7,6,7,6
CA1-V1,0,13,12,13,12
CA1-V1,1,13,12,13,12
CA1-V1,2,13,12,13,12
CA3-DG,0,5,5,5,5
CA3-DG,1,5,5,5,5
CA3-DG,2,5,5,5,5
RSC-SUB,0,7,7,7,7
RSC-SUB,1,7,7,7,7
RSC-SUB,2,7,7,7,7
V1-RSC,0,9,9,9,9
V1-RSC,1,9,9,9,9
V1-RSC,2,9,9,9,9
