animal,pair,ordinal,matched,tail_abs_r,degenerate_trial
28,CA1-CA3,1,0,0.02302,0
28,CA1-CA3,1,1,0.02302,0
28,CA1-CA3,1,2,0.023056,0
28,CA1-CA3,2,0,0.028814,0
28,CA1-CA3,2,1,0.028964,0
28,CA1-CA3,2,2,0.029039999999999993,0
28,CA1-CA3,3,0,0.024262,0
28,CA1-CA3,3,2,0.030142000000000002,0
28,CA1-CA3,4,0,0.013668,0
28,CA1-CA3,4,2,0.016672,0
28,CA1-CA3,5,0,0.024562,0
28,CA1-CA3,5,2,0.023493999999999998,0
28,CA1-CA3,6,0,0.020858,0
28,CA1-CA3,6,2,0.019653999999999998,0
28,CA1-CA3,7,0,0.014646000000000001,0
28,CA1-CA3,7,2,0.013697999999999998,0
28,CA1-CA3,8,0,0.012646000000000001,0
28,CA1-CA3,8,2,0.013506,0
28,CA1-CA3,9,0,0.02289,0
28,CA1-CA3,9,2,0.02289,0
28,CA1-CA3,10,0,0.021348,0
28,CA1-CA3,10,2,0.025748,0
28,CA1-DG,1,0,0.011741999999999999,0
28,CA1-DG,1,1,0.011741999999999999,0
28,CA1-DG,1,2,0.009622,0
28,CA1-DG,2,0,0.026336000000000005,0
28,CA1-DG,2,1,0.025508000000000003,0
28,CA1-DG,2,2,0.024998,0
28,CA1-DG,3,0,0.029836,0
28,CA1-DG,3,2,0.033766000000000004,0
28,CA1-DG,4,0,0.010249999999999999,0
28,CA1-DG,4,2,0.010866,0
28,CA1-DG,5,0,0.029004000000000002,0
28,CA1-DG,5,2,0.023688,0
28,CA1-DG,6,0,0.0131,0
28,CA1-DG,6,2,0.016202,0
28,CA1-DG,7,0,0.018142,0
28,CA1-DG,7,2,0.018754000000000003,0
28,CA1-DG,8,0,0.017342,0
28,CA1-DG,8,2,0.016036,0
28,CA1-DG,9,0,0.021062,0
28,CA1-DG,9,2,0.021062,0
28,CA1-DG,10,0,0.021027999999999998,0
28,CA1-DG,10,2,0.026472000000000002,0
28,CA1-V1,1,0,0.024506,0
28,CA1-V1,1,1,0.024506,0
28,CA1-V1,1,2,0.02443,0
28,CA1-V1,2,0,0.017786000000000003,0
28,CA1-V1,2,1,0.020801999999999998,0
28,CA1-V1,2,2,0.020528,0
28,CA1-V1,3,0,0.016034,0
28,CA1-V1,3,2,0.017726,0
28,CA1-V1,4,0,0.006184,0
28,CA1-V1,4,2,0.007906,0
28,CA1-V1,5,0,0.019148,0
28,CA1-V1,5,2,0.021826000000000005,0
28,CA1-V1,6,0,0.020311999999999997,0
28,CA1-V1,6,2,0.021164,0
28,CA1-V1,7,0,0.013281999999999999,0
28,CA1-V1,7,2,0.015682,0
28,CA1-V1,8,0,0.009652,0
28,CA1-V1,8,2,0.01268,0
28,CA1-V1,9,0,0.018330000000000003,0
28,CA1-V1,9,2,0.018330000000000003,0
28,CA1-V1,10,0,0.031334,0
28,CA1-V1,10,2,0.034268,0
28,CA3-DG,1,0,0.030966000000000004,0
28,CA3-DG,1,1,0.030966000000000004,0
28,CA3-DG,1,2,0.031014000000000003,0
28,CA3-DG,2,0,0.025956,0
28,CA3-DG,2,1,0.027592,0
28,CA3-DG,2,2,0.027724,0
28,CA3-DG,3,0,0.006742000000000001,0
28,CA3-DG,3,2,0.007294,0
28,CA3-DG,4,0,0.042796,0
28,CA3-DG,4,2,0.065024,0
28,CA3-DG,5,0,0.025406,0
28,CA3-DG,5,2,0.023662,0
28,CA3-DG,6,0,0.01684,0
28,CA3-DG,6,2,0.020294,0
28,CA3-DG,7,0,0.017047999999999997,0
28,CA3-DG,7,2,0.015704,0
28,CA3-DG,8,0,0.016404000000000002,0
28,CA3-DG,8,2,0.016620000000000003,0
28,CA3-DG,9,0,0.039188,0
28,CA3-DG,9,2,0.039188,0
