animal,pair,ordinal,matched,tail_abs_r,degenerate_trial
28,CA1-CA3,1,0,0.028432000000000002,0
28,CA1-CA3,1,1,0.028432000000000002,0
28,CA1-CA3,1,2,0.028034000000000003,0
28,CA1-CA3,2,0,0.047116000000000005,0
28,CA1-CA3,2,1,0.049072,0
28,CA1-CA3,2,2,0.049628,0
28,CA1-CA3,3,0,0.022924,0
28,CA1-CA3,3,2,0.027308000000000006,0
28,CA1-CA3,4,0,0.026572000000000002,0
28,CA1-CA3,4,2,0.0333,0
28,CA1-CA3,5,0,0.016836,0
28,CA1-CA3,5,2,0.017744000000000003,0
28,CA1-CA3,6,0,0.022754000000000003,0
28,CA1-CA3,6,2,0.024276,0
28,CA1-CA3,7,0,0.029547999999999998,0
28,CA1-CA3,7,2,0.028436,0
28,CA1-CA3,8,0,0.017602,0
28,CA1-CA3,8,2,0.018156,0
28,CA1-CA3,9,0,0.008990000000000001,0
28,CA1-CA3,9,2,0.008990000000000001,0
28,CA1-CA3,10,0,0.018022,0
28,CA1-CA3,10,2,0.016932,0
28,CA1-DG,1,0,0.016815999999999998,0
28,CA1-DG,1,1,0.016815999999999998,0
28,CA1-DG,1,2,0.017268,0
28,CA1-DG,2,0,0.027964,0
28,CA1-DG,2,1,0.028682000000000003,0
28,CA1-DG,2,2,0.029014,0
28,CA1-DG,3,0,0.013640000000000003,0
28,CA1-DG,3,2,0.014826000000000002,0
28,CA1-DG,4,0,0.013914,0
28,CA1-DG,4,2,0.020794,0
28,CA1-DG,5,0,0.023256,0
28,CA1-DG,5,2,0.02733,0
28,CA1-DG,6,0,0.03719,0
28,CA1-DG,6,2,0.037902000000000005,0
28,CA1-DG,7,0,0.037696,0
28,CA1-DG,7,2,0.038852,0
28,CA1-DG,8,0,0.022935999999999998,0
28,CA1-DG,8,2,0.025248,0
28,CA1-DG,9,0,0.026832,0
28,CA1-DG,9,2,0.026832,0
28,CA1-DG,10,0,0.022424,0
28,CA1-DG,10,2,0.029248000000000003,0
28,CA1-V1,1,0,0.022748,0
28,CA1-V1,1,1,0.022748,0
28,CA1-V1,1,2,0.022592,0
28,CA1-V1,2,0,0.010048000000000001,0
28,CA1-V1,2,1,0.01329,0
28,CA1-V1,2,2,0.013943999999999998,0
28,CA1-V1,3,0,0.013648000000000002,0
28,CA1-V1,3,2,0.014407999999999999,0
28,CA1-V1,4,0,0.015,0
28,CA1-V1,4,2,0.018214,0
28,CA1-V1,5,0,0.007996,0
28,CA1-V1,5,2,0.006647999999999999,0
28,CA1-V1,6,0,0.019280000000000002,0
28,CA1-V1,6,2,0.020278,0
28,CA1-V1,7,0,0.021074000000000002,0
28,CA1-V1,7,2,0.022382000000000003,0
28,CA1-V1,8,0,0.02476,0
28,CA1-V1,8,2,0.025197999999999998,0
28,CA1-V1,9,0,0.01487,0
28,CA1-V1,9,2,0.01487,0
28,CA1-V1,10,0,0.037228,0
28,CA1-V1,10,2,0.043534,0
28,CA3-DG,1,0,0.032100000000000004,0
28,CA3-DG,1,1,0.032100000000000004,0
28,CA3-DG,1,2,0.031925999999999996,0
28,CA3-DG,2,0,0.013447999999999998,0
28,CA3-DG,2,1,0.01336,0
28,CA3-DG,2,2,0.013182,0
28,CA3-DG,3,0,0.01961,0
28,CA3-DG,3,2,0.021386,0
28,CA3-DG,4,0,0.0211,0
28,CA3-DG,4,2,0.026961999999999996,0
28,CA3-DG,5,0,0.029893999999999997,0
28,CA3-DG,5,2,0.025717999999999998,0
28,CA3-DG,6,0,0.025623999999999997,0
28,CA3-DG,6,2,0.025935999999999997,0
28,CA3-DG,7,0,0.021015999999999996,0
28,CA3-DG,7,2,0.019328,0
28,CA3-DG,8,0,0.011538,0
28,CA3-DG,8,2,0.01217,0
28,CA3-DG,9,0,0.026216,0
28,CA3-DG,9,2,0.026216,0
28,CA3-DG,10,0,0.018026,0
28,CA3-DG,10,2,0.017602,0
34,CA1-CA3,1,0,0.025754,0
34,CA1-CA3,1,1,0.032078,0
34,CA1-CA3,1,2,0.035574,0
