metric,matched,n_pairs,r,same_sign
absifi_allsig,0,8,0.6773206776192151,8
absifi_allsig,1,8,0.6861087090857403,7
absifi_allsig,2,8,0.6022660874314577,5
absifi_cc1,0,8,0.5838120057549621,6
absifi_cc1,1,8,0.7258790812212974,8
absifi_cc1,2,8,0.6646547708685773,7
d_n_bins,0,8,0.9783334727856877,8
d_n_bins,1,8,,8
d_n_bins,2,8,,8
d_n_gaps,0,8,0.8677913440083179,8
d_n_gaps,1,8,0.8317291807630511,8
d_n_gaps,2,8,0.8142622449134398,8
d_vel_mean,0,8,0.9996124128597687,8
d_vel_mean,1,8,0.9978198388967697,8
d_vel_mean,2,8,0.9818573077015735,8
ifi_allsig,0,8,0.816147673739361,3
ifi_allsig,1,8,0.8893559012932889,6
ifi_allsig,2,8,0.8063654964044272,7
ifi_allsig_w,0,8,0.8337212469195974,4
ifi_allsig_w,1,8,0.9042681038167654,7
ifi_allsig_w,2,8,0.9022638217451634,7
ifi_cc1,0,8,0.4477092846757782,6
ifi_cc1,1,8,0.3956882098221301,4
ifi_cc1,2,8,0.5102827705840914,5
ifi_wide_allsig_w,0,8,0.7141068262481023,6
ifi_wide_allsig_w,1,8,0.7036325317420977,6
ifi_wide_allsig_w,2,8,0.7574811355715005,7
ifi_wide_cc1,0,8,0.5904141946973922,6
ifi_wide_cc1,1,8,0.7303266230005189,5
ifi_wide_cc1,2,8,0.857029279971242,6
r0_allsig,0,8,0.9359007593946939,5
r0_allsig,1,8,0.9499734805557816,6
r0_allsig,2,8,0.9527437825847743,6
r0_allsig_w,0,8,0.9080304511935349,6
r0_allsig_w,1,8,0.9061398459864166,5
r0_allsig_w,2,8,0.9265030268059412,4
r0_cc1,0,8,0.9524655376863755,5
r0_cc1,1,8,0.9256981987729844,6
r0_cc1,2,8,0.9628749863644752,6
