animal,learner,pair,dim,ordinal,trial_id,matched,r0,sig,p_perdim,r_frozen,n_bins,n_gaps,vel_mean,vel_median,n_fit_trials
28,1,CA1-CA3,1,1,1,0,-0.0331,1,0.00498,0.12582,2626,3,19.131,19.779,127
28,1,CA1-CA3,2,1,1,0,-0.01509,1,0.00498,0.07903,2626,3,19.131,19.779,127
28,1,CA1-CA3,3,1,1,0,0.00865,1,0.00498,0.04697,2626,3,19.131,19.779,127
28,1,CA1-CA3,4,1,1,0,-0.00743,1,0.00498,0.03794,2626,3,19.131,19.779,127
28,1,CA1-CA3,5,1,1,0,-0.00509,1,0.00498,0.03739,2626,3,19.131,19.779,127
28,1,CA1-CA3,6,1,1,0,-0.00075,1,0.00498,0.03389,2626,3,19.131,19.779,127
28,1,CA1-CA3,7,1,1,0,-0.03803,1,0.00498,0.02226,2626,3,19.131,19.779,127
28,1,CA1-CA3,8,1,1,0,-0.06562,1,0.00498,0.018,2626,3,19.131,19.779,127
28,1,CA1-CA3,9,1,1,0,-0.00995,1,0.00498,0.01572,2626,3,19.131,19.779,127
28,1,CA1-CA3,10,1,1,0,0.00075,1,0.00498,0.0109,2626,3,19.131,19.779,127
28,1,CA1-CA3,1,1,1,1,-0.0331,1,0.00498,0.12582,2626,3,19.131,19.779,127
28,1,CA1-CA3,2,1,1,1,-0.01509,1,0.00498,0.07903,2626,3,19.131,19.779,127
28,1,CA1-CA3,3,1,1,1,0.00865,1,0.00498,0.04697,2626,3,19.131,19.779,127
28,1,CA1-CA3,4,1,1,1,-0.00743,1,0.00498,0.03794,2626,3,19.131,19.779,127
28,1,CA1-CA3,5,1,1,1,-0.00509,1,0.00498,0.03739,2626,3,19.131,19.779,127
28,1,CA1-CA3,6,1,1,1,-0.00075,1,0.00498,0.03389,2626,3,19.131,19.779,127
28,1,CA1-CA3,7,1,1,1,-0.03803,1,0.00498,0.02226,2626,3,19.131,19.779,127
28,1,CA1-CA3,8,1,1,1,-0.06562,1,0.00498,0.018,2626,3,19.131,19.779,127
28,1,CA1-CA3,9,1,1,1,-0.00995,1,0.00498,0.01572,2626,3,19.131,19.779,127
28,1,CA1-CA3,10,1,1,1,0.00075,1,0.00498,0.0109,2626,3,19.131,19.779,127
28,1,CA1-CA3,1,1,1,2,-0.0333,1,0.00498,0.12582,2612,3,19.1,19.722,127
28,1,CA1-CA3,2,1,1,2,-0.01417,1,0.00498,0.07903,2612,3,19.1,19.722,127
28,1,CA1-CA3,3,1,1,2,0.00815,1,0.00498,0.04697,2612,3,19.1,19.722,127
28,1,CA1-CA3,4,1,1,2,-0.00741,1,0.00498,0.03794,2612,3,19.1,19.722,127
28,1,CA1-CA3,5,1,1,2,-0.00467,1,0.00498,0.03739,2612,3,19.1,19.722,127
28,1,CA1-CA3,6,1,1,2,-0.00047,1,0.00498,0.03389,2612,3,19.1,19.722,127
28,1,CA1-CA3,7,1,1,2,-0.03608,1,0.00498,0.02226,2612,3,19.1,19.722,127
28,1,CA1-CA3,8,1,1,2,-0.06501,1,0.00498,0.018,2612,3,19.1,19.722,127
28,1,CA1-CA3,9,1,1,2,-0.01268,1,0.00498,0.01572,2612,3,19.1,19.722,127
28,1,CA1-CA3,10,1,1,2,0.00104,1,0.00498,0.0109,2612,3,19.1,19.722,127
