animal,learner,pair,dim,ordinal,trial_id,matched,r0,sig,p_perdim,r_frozen,n_bins,n_gaps,vel_mean,vel_median,n_fit_trials
28,1,CA1-CA3,1,1,1,0,0.22479,1,0.00498,0.22234,2626,3,19.131,19.779,127
28,1,CA1-CA3,2,1,1,0,0.16372,1,0.00498,0.17727,2626,3,19.131,19.779,127
28,1,CA1-CA3,3,1,1,0,0.03269,1,0.00498,0.0911,2626,3,19.131,19.779,127
28,1,CA1-CA3,4,1,1,0,0.02498,1,0.00498,0.08305,2626,3,19.131,19.779,127
28,1,CA1-CA3,5,1,1,0,0.02868,1,0.00498,0.04775,2626,3,19.131,19.779,127
28,1,CA1-CA3,6,1,1,0,0.00864,1,0.00498,0.04194,2626,3,19.131,19.779,127
28,1,CA1-CA3,7,1,1,0,0.0059,1,0.00498,0.03915,2626,3,19.131,19.779,127
28,1,CA1-CA3,8,1,1,0,0.04472,1,0.00498,0.03066,2626,3,19.131,19.779,127
28,1,CA1-CA3,9,1,1,0,-0.00988,1,0.00498,0.02517,2626,3,19.131,19.779,127
28,1,CA1-CA3,10,1,1,0,-0.07302,1,0.00498,0.02193,2626,3,19.131,19.779,127
28,1,CA1-CA3,1,1,1,1,0.22479,1,0.00498,0.22234,2626,3,19.131,19.779,127
28,1,CA1-CA3,2,1,1,1,0.16372,1,0.00498,0.17727,2626,3,19.131,19.779,127
28,1,CA1-CA3,3,1,1,1,0.03269,1,0.00498,0.0911,2626,3,19.131,19.779,127
28,1,CA1-CA3,4,1,1,1,0.02498,1,0.00498,0.08305,2626,3,19.131,19.779,127
28,1,CA1-CA3,5,1,1,1,0.02868,1,0.00498,0.04775,2626,3,19.131,19.779,127
28,1,CA1-CA3,6,1,1,1,0.00864,1,0.00498,0.04194,2626,3,19.131,19.779,127
28,1,CA1-CA3,7,1,1,1,0.0059,1,0.00498,0.03915,2626,3,19.131,19.779,127
28,1,CA1-CA3,8,1,1,1,0.04472,1,0.00498,0.03066,2626,3,19.131,19.779,127
28,1,CA1-CA3,9,1,1,1,-0.00988,1,0.00498,0.02517,2626,3,19.131,19.779,127
28,1,CA1-CA3,10,1,1,1,-0.07302,1,0.00498,0.02193,2626,3,19.131,19.779,127
28,1,CA1-CA3,1,1,1,2,0.22577,1,0.00498,0.22234,2612,3,19.1,19.722,127
28,1,CA1-CA3,2,1,1,2,0.16221,1,0.00498,0.17727,2612,3,19.1,19.722,127
28,1,CA1-CA3,3,1,1,2,0.03196,1,0.00498,0.0911,2612,3,19.1,19.722,127
28,1,CA1-CA3,4,1,1,2,0.02693,1,0.00498,0.08305,2612,3,19.1,19.722,127
28,1,CA1-CA3,5,1,1,2,0.02684,1,0.00498,0.04775,2612,3,19.1,19.722,127
28,1,CA1-CA3,6,1,1,2,0.00907,1,0.00498,0.04194,2612,3,19.1,19.722,127
28,1,CA1-CA3,7,1,1,2,0.00354,1,0.00498,0.03915,2612,3,19.1,19.722,127
28,1,CA1-CA3,8,1,1,2,0.04531,1,0.00498,0.03066,2612,3,19.1,19.722,127
28,1,CA1-CA3,9,1,1,2,-0.00951,1,0.00498,0.02517,2612,3,19.1,19.722,127
28,1,CA1-CA3,10,1,1,2,-0.07274,1,0.00498,0.02193,2612,3,19.1,19.722,127
28,1,CA1-CA3,1,2,2,0,0.18793,1,0.00498,0.22234,2822,0,22.195,23.81,127
28,1,CA1-CA3,2,2,2,0,0.14732,1,0.00498,0.17727,2822,0,22.195,23.81,127
28,1,CA1-CA3,3,2,2,0,-0.01804,1,0.00498,0.0911,2822,0,22.195,23.81,127
28,1,CA1-CA3,4,2,2,0,0.00104,1,0.00498,0.08305,2822,0,22.195,23.81,127
28,1,CA1-CA3,5,2,2,0,-0.08077,1,0.00498,0.04775,2822,0,22.195,23.81,127
28,1,CA1-CA3,6,2,2,0,-0.01227,1,0.00498,0.04194,2822,0,22.195,23.81,127
28,1,CA1-CA3,7,2,2,0,0.04367,1,0.00498,0.03915,2822,0,22.195,23.81,127
28,1,CA1-CA3,8,2,2,0,0.09341,1,0.00498,0.03066,2822,0,22.195,23.81,127
28,1,CA1-CA3,9,2,2,0,0.07313,1,0.00498,0.02517,2822,0,22.195,23.81,127
28,1,CA1-CA3,10,2,2,0,0.0131,1,0.00498,0.02193,2822,0,22.195,23.81,127
28,1,CA1-CA3,1,2,2,1,0.20554,1,0.00498,0.22234,2626,0,22.102,23.822,127
28,1,CA1-CA3,2,2,2,1,0.14341,1,0.00498,0.17727,2626,0,22.102,23.822,127
28,1,CA1-CA3,3,2,2,1,-0.02778,1,0.00498,0.0911,2626,0,22.102,23.822,127
28,1,CA1-CA3,4,2,2,1,-0.00011,1,0.00498,0.08305,2626,0,22.102,23.822,127
28,1,CA1-CA3,5,2,2,1,-0.0793,1,0.00498,0.04775,2626,0,22.102,23.822,127
28,1,CA1-CA3,6,2,2,1,-0.0067,1,0.00498,0.04194,2626,0,22.102,23.822,127
28,1,CA1-CA3,7,2,2,1,0.04486,1,0.00498,0.03915,2626,0,22.102,23.822,127
28,1,CA1-CA3,8,2,2,1,0.10344,1,0.00498,0.03066,2626,0,22.102,23.822,127
28,1,CA1-CA3,9,2,2,1,0.07418,1,0.00498,0.02517,2626,0,22.102,23.822,127
28,1,CA1-CA3,10,2,2,1,0.01618,1,0.00498,0.02193,2626,0,22.102,23.822,127
28,1,CA1-CA3,1,2,2,2,0.20492,1,0.00498,0.22234,2612,0,22.122,23.915,127
28,1,CA1-CA3,2,2,2,2,0.14457,1,0.00498,0.17727,2612,0,22.122,23.915,127
28,1,CA1-CA3,3,2,2,2,-0.02868,1,0.00498,0.0911,2612,0,22.122,23.915,127
28,1,CA1-CA3,4,2,2,2,0.00085,1,0.00498,0.08305,2612,0,22.122,23.915,127
28,1,CA1-CA3,5,2,2,2,-0.07921,1,0.00498,0.04775,2612,0,22.122,23.915,127
28,1,CA1-CA3,6,2,2,2,-0.00689,1,0.00498,0.04194,2612,0,22.122,23.915,127
28,1,CA1-CA3,7,2,2,2,0.04596,1,0.00498,0.03915,2612,0,22.122,23.915,127
28,1,CA1-CA3,8,2,2,2,0.10338,1,0.00498,0.03066,2612,0,22.122,23.915,127
28,1,CA1-CA3,9,2,2,2,0.07468,1,0.00498,0.02517,2612,0,22.122,23.915,127
28,1,CA1-CA3,10,2,2,2,0.01723,1,0.00498,0.02193,2612,0,22.122,23.915,127
28,1,CA1-CA3,1,3,3,0,0.18618,1,0.00498,0.22234,2895,2,21.525,23.37,127
28,1,CA1-CA3,2,3,3,0,0.23028,1,0.00498,0.17727,2895,2,21.525,23.37,127
28,1,CA1-CA3,3,3,3,0,-0.04386,1,0.00498,0.0911,2895,2,21.525,23.37,127
28,1,CA1-CA3,4,3,3,0,0.05755,1,0.00498,0.08305,2895,2,21.525,23.37,127
28,1,CA1-CA3,5,3,3,0,0.02301,1,0.00498,0.04775,2895,2,21.525,23.37,127
28,1,CA1-CA3,6,3,3,0,-0.00646,1,0.00498,0.04194,2895,2,21.525,23.37,127
28,1,CA1-CA3,7,3,3,0,0.07042,1,0.00498,0.03915,2895,2,21.525,23.37,127
28,1,CA1-CA3,8,3,3,0,0.0301,1,0.00498,0.03066,2895,2,21.525,23.37,127
28,1,CA1-CA3,9,3,3,0,-0.00722,1,0.00498,0.02517,2895,2,21.525,23.37,127
28,1,CA1-CA3,10,3,3,0,-0.00042,1,0.00498,0.02193,2895,2,21.525,23.37,127
28,1,CA1-CA3,1,3,3,2,0.19117,1,0.00498,0.22234,2612,2,21.34,23.256,127
28,1,CA1-CA3,2,3,3,2,0.22402,1,0.00498,0.17727,2612,2,21.34,23.256,127
28,1,CA1-CA3,3,3,3,2,-0.04671,1,0.00498,0.0911,2612,2,21.34,23.256,127
28,1,CA1-CA3,4,3,3,2,0.05361,1,0.00498,0.08305,2612,2,21.34,23.256,127
28,1,CA1-CA3,5,3,3,2,0.01786,1,0.00498,0.04775,2612,2,21.34,23.256,127
28,1,CA1-CA3,6,3,3,2,-0.00217,1,0.00498,0.04194,2612,2,21.34,23.256,127
28,1,CA1-CA3,7,3,3,2,0.07172,1,0.00498,0.03915,2612,2,21.34,23.256,127
28,1,CA1-CA3,8,3,3,2,0.04249,1,0.00498,0.03066,2612,2,21.34,23.256,127
28,1,CA1-CA3,9,3,3,2,-0.01446,1,0.00498,0.02517,2612,2,21.34,23.256,127
28,1,CA1-CA3,10,3,3,2,-0.0057,1,0.00498,0.02193,2612,2,21.34,23.256,127
28,1,CA1-CA3,1,4,4,0,0.19885,1,0.00498,0.22234,3609,4,16.086,16.155,127
28,1,CA1-CA3,2,4,4,0,0.16343,1,0.00498,0.17727,3609,4,16.086,16.155,127
28,1,CA1-CA3,3,4,4,0,-0.00394,1,0.00498,0.0911,3609,4,16.086,16.155,127
28,1,CA1-CA3,4,4,4,0,0.0414,1,0.00498,0.08305,3609,4,16.086,16.155,127
28,1,CA1-CA3,5,4,4,0,-0.01158,1,0.00498,0.04775,3609,4,16.086,16.155,127
28,1,CA1-CA3,6,4,4,0,-0.01444,1,0.00498,0.04194,3609,4,16.086,16.155,127
28,1,CA1-CA3,7,4,4,0,0.05986,1,0.00498,0.03915,3609,4,16.086,16.155,127
28,1,CA1-CA3,8,4,4,0,0.01173,1,0.00498,0.03066,3609,4,16.086,16.155,127
28,1,CA1-CA3,9,4,4,0,-0.03753,1,0.00498,0.02517,3609,4,16.086,16.155,127
28,1,CA1-CA3,10,4,4,0,0.0093,1,0.00498,0.02193,3609,4,16.086,16.155,127
28,1,CA1-CA3,1,4,4,2,0.18098,1,0.00498,0.22234,2612,4,16.376,16.689,127
28,1,CA1-CA3,2,4,4,2,0.16502,1,0.00498,0.17727,2612,4,16.376,16.689,127
28,1,CA1-CA3,3,4,4,2,-0.02186,1,0.00498,0.0911,2612,4,16.376,16.689,127
28,1,CA1-CA3,4,4,4,2,0.04598,1,0.00498,0.08305,2612,4,16.376,16.689,127
28,1,CA1-CA3,5,4,4,2,-0.01739,1,0.00498,0.04775,2612,4,16.376,16.689,127
28,1,CA1-CA3,6,4,4,2,-0.0214,1,0.00498,0.04194,2612,4,16.376,16.689,127
28,1,CA1-CA3,7,4,4,2,0.07002,1,0.00498,0.03915,2612,4,16.376,16.689,127
28,1,CA1-CA3,8,4,4,2,0.02136,1,0.00498,0.03066,2612,4,16.376,16.689,127
28,1,CA1-CA3,9,4,4,2,-0.02713,1,0.00498,0.02517,2612,4,16.376,16.689,127
28,1,CA1-CA3,10,4,4,2,0.02659,1,0.00498,0.02193,2612,4,16.376,16.689,127
28,1,CA1-CA3,1,5,5,0,0.24433,1,0.00498,0.22234,2921,2,20.195,21.446,127
28,1,CA1-CA3,2,5,5,0,0.22929,1,0.00498,0.17727,2921,2,20.195,21.446,127
28,1,CA1-CA3,3,5,5,0,-0.02109,1,0.00498,0.0911,2921,2,20.195,21.446,127
28,1,CA1-CA3,4,5,5,0,0.04262,1,0.00498,0.08305,2921,2,20.195,21.446,127
28,1,CA1-CA3,5,5,5,0,0.00388,1,0.00498,0.04775,2921,2,20.195,21.446,127
28,1,CA1-CA3,6,5,5,0,0.01032,1,0.00498,0.04194,2921,2,20.195,21.446,127
28,1,CA1-CA3,7,5,5,0,0.01261,1,0.00498,0.03915,2921,2,20.195,21.446,127
28,1,CA1-CA3,8,5,5,0,0.03089,1,0.00498,0.03066,2921,2,20.195,21.446,127
28,1,CA1-CA3,9,5,5,0,0.02805,1,0.00498,0.02517,2921,2,20.195,21.446,127
28,1,CA1-CA3,10,5,5,0,-0.00231,1,0.00498,0.02193,2921,2,20.195,21.446,127
28,1,CA1-CA3,1,5,5,2,0.24785,1,0.00498,0.22234,2612,2,19.855,20.99,127
28,1,CA1-CA3,2,5,5,2,0.23475,1,0.00498,0.17727,2612,2,19.855,20.99,127
28,1,CA1-CA3,3,5,5,2,-0.02923,1,0.00498,0.0911,2612,2,19.855,20.99,127
28,1,CA1-CA3,4,5,5,2,0.06359,1,0.00498,0.08305,2612,2,19.855,20.99,127
28,1,CA1-CA3,5,5,5,2,0.02005,1,0.00498,0.04775,2612,2,19.855,20.99,127
28,1,CA1-CA3,6,5,5,2,0.00613,1,0.00498,0.04194,2612,2,19.855,20.99,127
28,1,CA1-CA3,7,5,5,2,0.0129,1,0.00498,0.03915,2612,2,19.855,20.99,127
28,1,CA1-CA3,8,5,5,2,0.04313,1,0.00498,0.03066,2612,2,19.855,20.99,127
28,1,CA1-CA3,9,5,5,2,0.02406,1,0.00498,0.02517,2612,2,19.855,20.99,127
28,1,CA1-CA3,10,5,5,2,-0.0025,1,0.00498,0.02193,2612,2,19.855,20.99,127
28,1,CA1-CA3,1,6,6,0,0.22676,1,0.00498,0.22234,2892,2,20.451,21.406,127
28,1,CA1-CA3,2,6,6,0,0.16535,1,0.00498,0.17727,2892,2,20.451,21.406,127
28,1,CA1-CA3,3,6,6,0,0.03398,1,0.00498,0.0911,2892,2,20.451,21.406,127
28,1,CA1-CA3,4,6,6,0,0.06697,1,0.00498,0.08305,2892,2,20.451,21.406,127
28,1,CA1-CA3,5,6,6,0,0.04,1,0.00498,0.04775,2892,2,20.451,21.406,127
28,1,CA1-CA3,6,6,6,0,-0.00918,1,0.00498,0.04194,2892,2,20.451,21.406,127
28,1,CA1-CA3,7,6,6,0,0.05893,1,0.00498,0.03915,2892,2,20.451,21.406,127
28,1,CA1-CA3,8,6,6,0,0.021,1,0.00498,0.03066,2892,2,20.451,21.406,127
28,1,CA1-CA3,9,6,6,0,0.00416,1,0.00498,0.02517,2892,2,20.451,21.406,127
28,1,CA1-CA3,10,6,6,0,-0.0205,1,0.00498,0.02193,2892,2,20.451,21.406,127
28,1,CA1-CA3,1,6,6,2,0.24336,1,0.00498,0.22234,2612,1,20.622,21.495,127
28,1,CA1-CA3,2,6,6,2,0.18228,1,0.00498,0.17727,2612,1,20.622,21.495,127
28,1,CA1-CA3,3,6,6,2,0.0256,1,0.00498,0.0911,2612,1,20.622,21.495,127
28,1,CA1-CA3,4,6,6,2,0.06282,1,0.00498,0.08305,2612,1,20.622,21.495,127
28,1,CA1-CA3,5,6,6,2,0.0469,1,0.00498,0.04775,2612,1,20.622,21.495,127
28,1,CA1-CA3,6,6,6,2,-0.02914,1,0.00498,0.04194,2612,1,20.622,21.495,127
28,1,CA1-CA3,7,6,6,2,0.05355,1,0.00498,0.03915,2612,1,20.622,21.495,127
