animal,ordinal,pos_mass,neg_mass
52,1,0.088152,0.05561000000000001
52,2,0.045908000000000004,0.029403999999999996
52,3,0.103994,0.08886400000000001
52,4,0.051042,0.039226
52,5,0.08465,0.07755
52,6,0.06071,0.047646
52,7,0.09456,0.086036
52,8,0.08325,0.080326
52,9,0.044528,0.047049999999999995
52,10,0.049194,0.04282
61,1,0.0,0.0
61,2,0.022786,0.032914
61,3,0.0,0.0
61,4,0.06367999999999999,0.074324
61,5,0.006848000000000002,0.0019060000000000001
61,6,0.120038,0.11517799999999997
61,7,0.029548,0.026647999999999998
61,8,0.171228,0.14946600000000002
61,9,0.251988,0.239764
61,10,0.21389199999999997,0.20545200000000002
66,1,0.212886,0.165876
66,2,0.055504,0.06913799999999999
66,3,0.052225999999999995,0.04600800000000001
66,4,0.063522,0.081436
66,5,0.070616,0.090336
66,6,0.074688,0.0673
66,7,0.042913999999999994,0.04811
66,8,0.062049999999999994,0.02924
66,9,0.02657,0.042188
66,10,0.045405999999999995,0.04587800000000001
70,1,0.10984400000000001,0.12876
70,2,0.13025599999999998,0.13416
70,3,0.173456,0.17629599999999998
70,4,0.19738799999999998,0.194536
70,5,0.208436,0.21062599999999998
70,6,0.13983600000000002,0.146256
70,7,0.150776,0.149758
70,8,0.209136,0.20744599999999996
70,9,0.193368,0.18373599999999998
70,10,0.17012999999999998,0.150426
71,1,0.22051400000000002,0.2101
71,2,0.25239,0.24718
71,3,0.141272,0.109374
71,4,0.15054800000000002,0.117662
71,5,0.154612,0.17302
71,6,0.233588,0.241926
71,7,0.26812199999999997,0.26913200000000004
71,8,0.20148599999999997,0.19654600000000003
71,9,0.225378,0.22081599999999998
71,10,0.135798,0.110066
73,1,0.019776,0.014800000000000002
73,2,0.06339399999999999,0.065598
73,3,0.047858,0.050466
73,4,0.061576,0.068338
73,5,0.024936,0.032001999999999996
73,6,0.033676,0.033102
73,7,0.0766,0.042859999999999995
73,8,0.07846800000000001,0.08023
73,9,0.11081,0.12630199999999997
73,10,0.071238,0.052405999999999994
75,1,0.067052,0.07021999999999999
75,2,0.24384199999999998,0.21572400000000003
75,3,0.3376,0.328796
75,4,0.32766799999999996,0.31664000000000003
75,5,0.29033800000000004,0.27069599999999994
75,6,0.307674,0.30754200000000004
75,7,0.31332,0.317706
75,8,0.300524,0.299302
75,9,0.23609999999999998,0.23278
75,10,0.23261600000000002,0.24497200000000002
77,1,0.129224,0.13162800000000002
77,2,0.19793200000000002,0.192416
77,3,0.198788,0.18542799999999998
77,4,0.176146,0.17658800000000002
77,5,0.20588199999999998,0.18963599999999997
77,6,0.13879,0.116896
77,7,0.247872,0.242374
77,8,0.27109,0.25463
77,9,0.22930999999999999,0.21025200000000002
77,10,0.315934,0.306044
100,1,0.091044,0.07839199999999999
100,2,0.23959199999999997,0.234516
100,3,0.387056,0.400246
100,4,0.27077399999999996,0.26122
100,5,0.39788999999999997,0.399778
100,6,0.20595999999999998,0.187366
100,7,0.046352000000000004,0.058733999999999995
100,8,0.237668,0.23191400000000004
100,9,0.40441399999999994,0.38217
100,10,0.18314,0.15518400000000002
