animal,ordinal,pos_mass,neg_mass
52,1,0.24105400000000002,0.25731200000000004
52,2,0.27058,0.255002
52,3,0.178144,0.17798799999999998
52,4,0.142784,0.14814
52,5,0.143702,0.14429
52,6,0.113374,0.12067000000000001
52,7,0.10423,0.11566000000000001
52,8,0.131394,0.137548
52,9,0.128356,0.125576
52,10,0.159732,0.16382199999999997
61,1,0.021245999999999998,0.030428
61,2,0.13930399999999998,0.141514
61,3,0.020614000000000004,0.009208
61,4,0.108914,0.11667000000000001
61,5,0.163178,0.155782
61,6,0.278022,0.262712
61,7,0.192218,0.192138
61,8,0.266934,0.253662
61,9,0.367432,0.355182
61,10,0.327288,0.30430999999999997
66,1,0.19079,0.15451199999999998
66,2,0.10683399999999998,0.100268
66,3,0.029702,0.02566
66,4,0.08221,0.071716
66,5,0.093668,0.101654
66,6,0.094038,0.078592
66,7,0.078524,0.055358
66,8,0.058586000000000006,0.029182000000000003
66,9,0.033216,0.016148000000000003
66,10,0.072078,0.056416
70,1,0.126868,0.14531999999999998
70,2,0.16513399999999998,0.173372
70,3,0.198412,0.19767600000000002
70,4,0.221834,0.21777600000000003
70,5,0.24557399999999996,0.250068
70,6,0.173722,0.179652
70,7,0.18856,0.188656
70,8,0.24095400000000003,0.24194999999999997
70,9,0.20590999999999998,0.19692199999999999
70,10,0.191714,0.17265000000000003
71,1,0.248292,0.218986
71,2,0.32054799999999994,0.24144800000000002
71,3,0.207952,0.14740000000000003
71,4,0.22308599999999998,0.136728
71,5,0.174678,0.17565399999999998
71,6,0.258792,0.24037800000000004
71,7,0.311152,0.263156
71,8,0.254914,0.228832
71,9,0.250494,0.20557799999999998
71,10,0.21008199999999996,0.140948
73,1,0.053278000000000006,0.06227200000000001
73,2,0.05984600000000001,0.057694
73,3,0.07827200000000001,0.08868799999999999
73,4,0.072544,0.08820599999999999
73,5,0.049024,0.04649
73,6,0.037454,0.036756
73,7,0.08665,0.06904
73,8,0.105782,0.09915399999999999
73,9,0.12628799999999998,0.13935199999999998
73,10,0.067772,0.046262
75,1,0.098204,0.112066
75,2,0.28148799999999996,0.254516
75,3,0.375122,0.365212
75,4,0.36208799999999997,0.331494
75,5,0.349194,0.335416
75,6,0.34454799999999997,0.333576
75,7,0.36310600000000004,0.36052999999999996
75,8,0.340962,0.33894599999999997
75,9,0.28783600000000004,0.27526
75,10,0.297898,0.30705
77,1,0.134308,0.13755
77,2,0.22505999999999998,0.21934599999999999
77,3,0.241048,0.227582
77,4,0.21173000000000003,0.21483400000000002
77,5,0.240286,0.229964
77,6,0.16232,0.15347
77,7,0.27167399999999997,0.263352
77,8,0.28137,0.27515600000000007
77,9,0.246482,0.224842
77,10,0.329056,0.322964
100,1,0.09335600000000001,0.069794
100,2,0.23083599999999999,0.22678199999999998
100,3,0.370662,0.3853
100,4,0.25585800000000003,0.245464
100,5,0.38684,0.39390000000000003
100,6,0.211118,0.1927
100,7,0.035753999999999994,0.044716
100,8,0.254964,0.24336000000000002
100,9,0.393724,0.369168
100,10,0.200918,0.174128
